root_stream_begin,day=1,own_count=236,opponent_count=65,begin=118,end=236
root_stream_action,day=1,index=118,robust=5/17/20,slice_best=5/17/20,improves=1,terminal=28@27,plan=1.2.2.2.4.-7,states=12208685,transitions=22542343882
root_stream_action,day=1,index=119,robust=5/18/18,slice_best=5/18/18,improves=1,terminal=28@22,plan=1.2.2.3.4.5.2.1.-3,states=13092888,transitions=25395811335
root_stream_action,day=1,index=120,robust=5/18/20,slice_best=5/18/20,improves=1,terminal=28@26,plan=3.0.1.2.2.3.-5,states=15031854,transitions=31784756880
root_stream_action,day=1,index=121,robust=5/18/20,slice_best=5/18/20,improves=0,terminal=28@26,plan=3.2.1.1.3.-6,states=18413175,transitions=38360499456
root_stream_action,day=1,index=122,robust=5/18/20,slice_best=5/18/20,improves=0,terminal=28@25,plan=3.2.2.1.0.3.-6,states=18780493,transitions=39884859173
root_stream_action,day=1,index=123,robust=5/19/21,slice_best=5/19/21,improves=1,terminal=28@25,plan=3.2.1.1.2.4.-4,states=18871573,transitions=40333016720
root_stream_action,day=1,index=124,robust=5/19/21,slice_best=5/19/21,improves=0,terminal=28@24,plan=3.2.2.1.0.2.4.-4,states=18918577,transitions=40662274176
root_stream_action,day=1,index=125,robust=5/18/20,slice_best=5/19/21,improves=0,terminal=28@26,plan=1.2.2.3.3.0.-5,states=19155777,transitions=41640586321
root_stream_action,day=1,index=126,robust=5/18/20,slice_best=5/19/21,improves=0,terminal=28@24,plan=1.2.2.3.3.5.1.-4,states=19387736,transitions=42328021891
root_stream_action,day=1,index=127,robust=5/18/18,slice_best=5/19/21,improves=0,terminal=28@22,plan=1.2.2.3.4.2.5.1.-3,states=19648813,transitions=43111134680
root_stream_action,day=1,index=128,robust=5/18/21,slice_best=5/19/21,improves=0,terminal=28@25,plan=1.2.2.2.4.3.0.-3,states=19680426,transitions=43321749685
root_stream_action,day=1,index=129,robust=5/17/18,slice_best=5/19/21,improves=0,terminal=28@19,plan=1.2.2.3.4.2.5.5.2.1,states=19794102,transitions=43738242249
root_stream_action,day=1,index=130,robust=5/19/21,slice_best=5/19/21,improves=0,terminal=28@24,plan=3.0.1.2.2.3.3.0.-1,states=19914982,transitions=44159624097
root_stream_action,day=1,index=131,robust=5/19/21,slice_best=5/19/21,improves=0,terminal=28@24,plan=3.2.1.1.3.3.0.-2,states=19998727,transitions=44513645756
root_stream_action,day=1,index=132,robust=5/19/21,slice_best=5/19/21,improves=0,terminal=28@24,plan=3.2.2.2.0.0.3.-4,states=20008185,transitions=44565665704
root_stream_action,day=1,index=133,robust=5/19/19,slice_best=5/19/21,improves=0,terminal=28@22,plan=3.2.2.2.5.1.0.3.-3,states=20064235,transitions=44785185452
root_stream_action,day=1,index=134,robust=5/17/18,slice_best=5/19/21,improves=0,terminal=28@19,plan=3.2.2.1.0.3.4.2.5.1,states=20115461,transitions=44985816908
root_stream_action,day=1,index=135,robust=5/20/21,slice_best=5/20/21,improves=1,terminal=28@23,plan=3.2.1.1.2.4.3.0,states=20139040,transitions=45122397442
root_stream_action,day=1,index=136,robust=5/20/21,slice_best=5/20/21,improves=0,terminal=28@23,plan=3.2.2.2.0.0.2.4.-2,states=20141003,transitions=45135625278
root_stream_action,day=1,index=137,robust=5/19/20,slice_best=5/20/21,improves=0,terminal=28@21,plan=3.2.2.2.5.1.0.2.4.-1,states=20153734,transitions=45197213609
root_stream_action,day=1,index=138,robust=5/16/18,slice_best=5/20/21,improves=0,terminal=33@31,plan=3.-15,states=27585904,transitions=58656675551
root_stream_action,day=1,index=139,robust=5/17/19,slice_best=5/20/21,improves=0,terminal=33@29,plan=1.4.3.-11,states=27951716,transitions=59981722517
root_stream_action,day=1,index=140,robust=5/17/19,slice_best=5/20/21,improves=0,terminal=33@29,plan=3.2.5.-11,states=28552200,transitions=61968094390
root_stream_action,day=1,index=141,robust=5/17/19,slice_best=5/20/21,improves=0,terminal=33@26,plan=3.2.2.5.5.-8,states=29520831,transitions=64630627836
root_stream_action,day=1,index=142,robust=5/18/20,slice_best=5/20/21,improves=0,terminal=33@27,plan=1.4.3.2.5.-7,states=29581750,transitions=65005517359
root_stream_action,day=1,index=143,robust=5/18/19,slice_best=5/20/21,improves=0,terminal=33@23,plan=3.2.2.2.5.5.5.-5,states=29717067,transitions=65393630428
root_stream_action,day=1,index=144,robust=5/17/18,slice_best=5/20/21,improves=0,terminal=33@20,plan=3.2.2.1.4.2.5.5.5.-2,states=29827417,transitions=65724109903
root_stream_action,day=1,index=145,robust=5/19/21,slice_best=5/20/21,improves=0,terminal=33@25,plan=1.2.2.4.4.5.-4,states=29842048,transitions=65783056544
root_stream_action,day=1,index=146,robust=5/19/21,slice_best=5/20/21,improves=0,terminal=33@24,plan=1.2.2.3.4.5.5.-4,states=29857515,transitions=65844516149
root_stream_action,day=1,index=147,robust=5/19/21,slice_best=5/20/21,improves=0,terminal=33@23,plan=1.2.2.2.4.5.4.5,states=29878515,transitions=65947448724
root_stream_action,day=1,index=148,robust=5/20/21,slice_best=5/20/21,improves=0,terminal=33@23,plan=1.2.2.3.3.5.5.5.-2,states=29890555,transitions=65986117629
root_stream_action,day=1,index=149,robust=5/20/20,slice_best=5/20/21,improves=0,terminal=33@21,plan=1.2.2.3.4.2.5.5.5.-1,states=29892775,transitions=65996968109
root_stream_action,day=1,index=150,robust=5/20/22,slice_best=5/20/22,improves=1,terminal=33@22,plan=1.2.2.2.4.3.5.5.5,states=29895568,transitions=66014202946
root_stream_action,day=1,index=151,robust=5/17/19,slice_best=5/20/22,improves=0,terminal=34@30,plan=3.2.-13,states=29913896,transitions=66118115515
root_stream_action,day=1,index=152,robust=5/17/19,slice_best=5/20/22,improves=0,terminal=34@27,plan=3.2.2.5.-10,states=30007409,transitions=66698338519
root_stream_action,day=1,index=153,robust=5/18/20,slice_best=5/20/22,improves=0,terminal=34@28,plan=1.4.3.2.-9,states=30014941,transitions=66743557381
root_stream_action,day=1,index=154,robust=5/18/20,slice_best=5/20/22,improves=0,terminal=34@25,plan=1.4.3.2.2.5.-6,states=30057484,transitions=66973232975
root_stream_action,day=1,index=155,robust=5/18/20,slice_best=5/20/22,improves=0,terminal=34@23,plan=3.2.1.2.3.5.5.-3,states=30164092,transitions=67510102810
root_stream_action,day=1,index=156,robust=5/18/20,slice_best=5/20/22,improves=0,terminal=34@24,plan=3.2.2.2.5.5.-7,states=30186912,transitions=67642474507
root_stream_action,day=1,index=157,robust=5/18/18,slice_best=5/20/22,improves=0,terminal=34@21,plan=3.2.2.1.4.2.5.5.-4,states=30211217,transitions=67750984450
root_stream_action,day=1,index=158,robust=5/16/17,slice_best=5/20/22,improves=0,terminal=34@18,plan=3.2.2.1.4.1.4.2.5.5.-1,states=30262795,transitions=67969771865
root_stream_action,day=1,index=159,robust=5/19/20,slice_best=5/20/22,improves=0,terminal=34@22,plan=1.4.3.2.2.2.5.5.-3,states=30277484,transitions=68053368923
root_stream_action,day=1,index=160,robust=5/18/18,slice_best=5/20/22,improves=0,terminal=34@19,plan=1.4.3.2.2.1.4.2.5.5,states=30295531,transitions=68140069511
root_stream_action,day=1,index=161,robust=5/18/20,slice_best=5/20/22,improves=0,terminal=34@26,plan=1.2.2.4.4.-6,states=30526569,transitions=68972708225
root_stream_action,day=1,index=162,robust=5/18/20,slice_best=5/20/22,improves=0,terminal=34@25,plan=1.2.2.3.4.5.-6,states=30570233,transitions=69203085268
root_stream_action,day=1,index=163,robust=5/18/19,slice_best=5/20/22,improves=0,terminal=34@22,plan=3.2.2.1.0.3.4.5.-3,states=30678872,transitions=69676345699
root_stream_action,day=1,index=164,robust=5/19/21,slice_best=5/20/22,improves=0,terminal=34@24,plan=1.2.2.4.4.5.2.-2,states=30679448,transitions=69681654833
root_stream_action,day=1,index=165,robust=5/19/21,slice_best=5/20/22,improves=0,terminal=34@23,plan=1.2.2.3.4.5.5.2.-2,states=30681017,transitions=69692893147
