"suite_id","fixture","family","fuel_regime","lane","outcome_udon","first_differing_tier","delta_at_first_tier","udon_score","peer_score","udon_valid","peer_valid","peer_self_semantic_parity","peer_self_semantic_mismatch_days","peer_local_cap_observed","udon_local_cap_observed"
"ATTR-OPPONENT-067","attr-opponent-066-default-btc-large-balanced-seed-72000","balanced","default","fixed","W","3","18","6/60/409","6/60/391","1","1","0","9","0","0"
"ATTR-OPPONENT-067","attr-opponent-066-default-btc-large-balanced-seed-72000","balanced","default","native","W","3","29","6/60/406","6/60/377","1","1","0","9","0","0"
"ATTR-OPPONENT-067","attr-opponent-066-default-btc-large-fuel-tight-seed-72003","fuel-tight","default","fixed","W","3","44","6/60/355","6/60/311","1","1","0","10","0","0"
"ATTR-OPPONENT-067","attr-opponent-066-default-btc-large-fuel-tight-seed-72003","fuel-tight","default","native","W","3","33","6/60/355","6/60/322","1","1","0","9","0","0"
"ATTR-OPPONENT-067","attr-opponent-066-default-btc-large-high-stock-seed-72004","high-stock","default","fixed","W","3","54","6/60/489","6/60/435","1","1","0","9","1","0"
"ATTR-OPPONENT-067","attr-opponent-066-default-btc-large-high-stock-seed-72004","high-stock","default","native","W","3","68","6/60/494","6/60/426","1","1","0","9","1","0"
"ATTR-OPPONENT-067","attr-opponent-066-default-btc-large-overnight-seed-72005","overnight","default","fixed","L","3","-1","6/60/448","6/60/449","1","1","0","10","1","0"
"ATTR-OPPONENT-067","attr-opponent-066-default-btc-large-overnight-seed-72005","overnight","default","native","L","3","-6","6/60/445","6/60/451","1","1","0","10","1","0"
"ATTR-OPPONENT-067","attr-opponent-066-default-btc-large-rare-brand-seed-72001","rare-brand","default","fixed","W","3","13","6/60/446","6/60/433","1","1","0","9","1","0"
"ATTR-OPPONENT-067","attr-opponent-066-default-btc-large-rare-brand-seed-72001","rare-brand","default","native","W","3","22","6/60/442","6/60/420","1","1","0","9","1","0"
"ATTR-OPPONENT-067","attr-opponent-066-default-btc-large-threshold-corridor-seed-72002","threshold-corridor","default","fixed","W","3","29","6/60/376","6/60/347","1","1","0","9","0","0"
"ATTR-OPPONENT-067","attr-opponent-066-default-btc-large-threshold-corridor-seed-72002","threshold-corridor","default","native","W","3","28","6/60/386","6/60/358","1","1","0","8","1","0"
"ATTR-OPPONENT-067","fuel-tight-seed-36003","fuel-tight","fixture","fixed","W","-1","0","7/27/31","0/0/0","1","0","0","1","0","0"
"ATTR-OPPONENT-067","fuel-tight-seed-36003","fuel-tight","fixture","native","W","-1","0","7/27/31","0/0/0","1","0","0","1","0","0"
"ATTR-OPPONENT-067","high-stock-seed-36004","high-stock","fixture","fixed","W","-1","0","7/28/52","0/0/0","1","0","1","0","0","0"
"ATTR-OPPONENT-067","high-stock-seed-36004","high-stock","fixture","native","W","2","2","7/28/52","7/26/53","1","1","0","3","0","0"
"ATTR-OPPONENT-067","overnight-seed-36005","overnight","fixture","fixed","W","2","1","5/25/55","5/24/45","1","1","0","4","0","0"
"ATTR-OPPONENT-067","overnight-seed-36005","overnight","fixture","native","W","3","6","5/25/56","5/25/50","1","1","0","5","0","0"
"ATTR-OPPONENT-067","rare-brand-seed-36001","rare-brand","fixture","fixed","W","2","3","7/28/45","7/25/40","1","1","0","2","0","0"
"ATTR-OPPONENT-067","rare-brand-seed-36001","rare-brand","fixture","native","W","2","3","7/28/45","7/25/40","1","1","0","2","0","0"
"ATTR-OPPONENT-067","threshold-corridor-seed-36002","threshold-corridor","fixture","fixed","W","2","1","6/24/36","6/23/34","1","1","0","3","0","0"
"ATTR-OPPONENT-067","threshold-corridor-seed-36002","threshold-corridor","fixture","native","W","2","1","6/24/36","6/23/34","1","1","0","2","0","0"
"ATTR-OPPONENT-067","attr-opponent-066-high-btc-large-balanced-seed-72000","balanced","high","fixed","W","3","69","6/60/449","6/60/380","1","1","0","10","1","0"
"ATTR-OPPONENT-067","attr-opponent-066-high-btc-large-balanced-seed-72000","balanced","high","native","W","3","75","6/60/445","6/60/370","1","1","0","9","1","0"
"ATTR-OPPONENT-067","attr-opponent-066-high-btc-large-fuel-tight-seed-72003","fuel-tight","high","fixed","W","3","86","6/60/390","6/60/304","1","1","0","10","1","0"
"ATTR-OPPONENT-067","attr-opponent-066-high-btc-large-fuel-tight-seed-72003","fuel-tight","high","native","W","3","67","6/60/387","6/60/320","1","1","0","9","1","0"
"ATTR-OPPONENT-067","attr-opponent-066-high-btc-large-high-stock-seed-72004","high-stock","high","fixed","W","3","108","6/60/534","6/60/426","1","1","0","9","1","0"
"ATTR-OPPONENT-067","attr-opponent-066-high-btc-large-high-stock-seed-72004","high-stock","high","native","W","3","118","6/60/541","6/60/423","1","1","0","9","1","0"
"ATTR-OPPONENT-067","attr-opponent-066-high-btc-large-overnight-seed-72005","overnight","high","fixed","W","3","77","6/60/526","6/60/449","1","1","0","10","1","0"
"ATTR-OPPONENT-067","attr-opponent-066-high-btc-large-overnight-seed-72005","overnight","high","native","W","3","74","6/60/527","6/60/453","1","1","0","10","1","0"
"ATTR-OPPONENT-067","attr-opponent-066-high-btc-large-rare-brand-seed-72001","rare-brand","high","fixed","W","3","65","6/60/505","6/60/440","1","1","0","9","1","0"
"ATTR-OPPONENT-067","attr-opponent-066-high-btc-large-rare-brand-seed-72001","rare-brand","high","native","W","3","79","6/60/515","6/60/436","1","1","0","9","1","0"
"ATTR-OPPONENT-067","attr-opponent-066-high-btc-large-threshold-corridor-seed-72002","threshold-corridor","high","fixed","W","-1","0","6/60/440","0/0/0","1","0","0","8","1","0"
"ATTR-OPPONENT-067","attr-opponent-066-high-btc-large-threshold-corridor-seed-72002","threshold-corridor","high","native","W","3","95","6/60/449","6/60/354","1","1","0","8","1","0"
"ATTR-OPPONENT-067","attr-opponent-066-low-btc-large-balanced-seed-72000","balanced","low","fixed","W","-1","0","6/60/402","0/0/0","1","0","0","4","0","0"
"ATTR-OPPONENT-067","attr-opponent-066-low-btc-large-balanced-seed-72000","balanced","low","native","W","-1","0","6/60/365","0/0/0","1","0","0","7","0","0"
"ATTR-OPPONENT-067","attr-opponent-066-low-btc-large-fuel-tight-seed-72003","fuel-tight","low","fixed","W","3","50","6/60/337","6/60/287","1","1","0","10","0","0"
"ATTR-OPPONENT-067","attr-opponent-066-low-btc-large-fuel-tight-seed-72003","fuel-tight","low","native","W","3","43","6/60/345","6/60/302","1","1","0","9","0","0"
"ATTR-OPPONENT-067","attr-opponent-066-low-btc-large-high-stock-seed-72004","high-stock","low","fixed","W","3","12","6/60/416","6/60/404","1","1","0","7","0","0"
"ATTR-OPPONENT-067","attr-opponent-066-low-btc-large-high-stock-seed-72004","high-stock","low","native","W","-1","0","6/60/496","0/0/0","1","0","0","4","0","0"
"ATTR-OPPONENT-067","attr-opponent-066-low-btc-large-overnight-seed-72005","overnight","low","fixed","L","3","-59","6/60/379","6/60/438","1","1","0","9","0","0"
"ATTR-OPPONENT-067","attr-opponent-066-low-btc-large-overnight-seed-72005","overnight","low","native","L","3","-18","6/60/416","6/60/434","1","1","0","8","0","0"
"ATTR-OPPONENT-067","attr-opponent-066-low-btc-large-rare-brand-seed-72001","rare-brand","low","fixed","L","3","-29","6/60/400","6/60/429","1","1","0","9","1","0"
"ATTR-OPPONENT-067","attr-opponent-066-low-btc-large-rare-brand-seed-72001","rare-brand","low","native","W","3","13","6/60/428","6/60/415","1","1","0","10","0","0"
"ATTR-OPPONENT-067","attr-opponent-066-low-btc-large-threshold-corridor-seed-72002","threshold-corridor","low","fixed","L","3","-35","6/60/313","6/60/348","1","1","0","9","0","0"
"ATTR-OPPONENT-067","attr-opponent-066-low-btc-large-threshold-corridor-seed-72002","threshold-corridor","low","native","W","3","32","6/60/369","6/60/337","1","1","0","9","0","0"
