suite_id,fixture_class,fixture,seed,family,width,height,days,steps_per_day,fuel_limit,fuel_regime,lane,solver,lifetime_distinct,total_daily_distinct,total_servings,valid,peer_self_semantic_parity,peer_self_semantic_mismatch_days,hard_cap_observed,role_ms,max_day_ms,roles,peer_self_semantic_mismatches,failure
ATTR-OPPONENT-067,generated-small,rare-brand-seed-36001,36001,rare-brand,8,8,4,18,16,fixture,fixed,udon-shield,7,28,45,1,1,0,0,0,603,0|0|0|1,,
ATTR-OPPONENT-067,generated-small,rare-brand-seed-36001,36001,rare-brand,8,8,4,18,16,fixture,fixed,thing-or-think-hexudon-procon,7,25,40,1,0,2,0,0,229,0|0|0|1,d3:daily score mismatch peer=7/11 udon=5/8|d4:daily score mismatch peer=7/12 udon=6/10,
ATTR-OPPONENT-067,generated-small,rare-brand-seed-36001,36001,rare-brand,8,8,4,18,16,fixture,native,thing-or-think-hexudon-procon,7,25,40,1,0,2,0,4382,92,0|0|0|1,d3:daily score mismatch peer=7/11 udon=5/8|d4:daily score mismatch peer=7/12 udon=6/10,
ATTR-OPPONENT-067,generated-small,rare-brand-seed-36001,36001,rare-brand,8,8,4,18,16,fixture,native,udon-shield,7,28,45,1,1,0,0,1371,1387,0|0|1|0,,
ATTR-OPPONENT-067,generated-small,threshold-corridor-seed-36002,36002,threshold-corridor,8,8,4,20,14,fixture,fixed,thing-or-think-hexudon-procon,6,23,34,1,0,3,0,0,78,0|0|0|1,d2:daily score mismatch peer=6/9 udon=5/7|d3:final agent state mismatch|d4:final agent state mismatch,
ATTR-OPPONENT-067,generated-small,threshold-corridor-seed-36002,36002,threshold-corridor,8,8,4,20,14,fixture,fixed,udon-shield,6,24,36,1,1,0,0,0,276,0|0|0|1,,
ATTR-OPPONENT-067,generated-small,threshold-corridor-seed-36002,36002,threshold-corridor,8,8,4,20,14,fixture,native,udon-shield,6,24,36,1,1,0,0,1356,881,0|1|0|0,,
ATTR-OPPONENT-067,generated-small,threshold-corridor-seed-36002,36002,threshold-corridor,8,8,4,20,14,fixture,native,thing-or-think-hexudon-procon,6,23,34,1,0,2,0,4372,80,0|1|0|0,d1:final agent state mismatch|d2:daily score mismatch peer=6/9 udon=5/7,
ATTR-OPPONENT-067,generated-small,fuel-tight-seed-36003,36003,fuel-tight,8,8,4,19,9,fixture,fixed,udon-shield,7,27,31,1,1,0,0,0,807,0|0|0|1,,
ATTR-OPPONENT-067,generated-small,fuel-tight-seed-36003,36003,fuel-tight,8,8,4,19,9,fixture,fixed,thing-or-think-hexudon-procon,0,0,0,0,0,1,0,0,54,0|0|0|1,d1:final agent state mismatch,UDON evaluator rejected peer action day 2:
