"experiment","suite","lane","seed","family","udon_lifetime","udon_daily","udon_servings","udon_role_mask","peer_lifetime","peer_daily","peer_servings","peer_role_mask","peer_tick","verdict","first_tier","delta"
"ATTR-OPPONENT-QUOTA-171","btc-highfuel","fixed","171312","high-fuel-balanced","6","60","417","128","6","59","284","128","20","W","2","1"
"ATTR-OPPONENT-QUOTA-171","btc-highfuel","fixed","171313","high-fuel-rare-brand","6","60","549","128","6","60","394","128","20","W","3","155"
"ATTR-OPPONENT-QUOTA-171","btc-highfuel","fixed","171314","high-fuel-threshold-corridor","6","60","491","128","6","59","305","128","10","W","2","1"
"ATTR-OPPONENT-QUOTA-171","btc-highfuel","fixed","171315","high-fuel-fuel-tight","6","60","417","128","6","58","271","128","20","W","2","2"
"ATTR-OPPONENT-QUOTA-171","btc-highfuel","fixed","171316","high-fuel-high-stock","6","60","617","128","6","60","418","128","20","W","3","199"
"ATTR-OPPONENT-QUOTA-171","btc-highfuel","fixed","171317","high-fuel-overnight","6","60","534","128","6","58","355","128","10","W","2","2"
"ATTR-OPPONENT-QUOTA-171","btc-highfuel","native","171312","high-fuel-balanced","6","60","417","128","6","60","305","1","20","W","3","112"
"ATTR-OPPONENT-QUOTA-171","btc-highfuel","native","171313","high-fuel-rare-brand","6","60","549","128","6","60","443","4","10","W","3","106"
"ATTR-OPPONENT-QUOTA-171","btc-highfuel","native","171314","high-fuel-threshold-corridor","6","60","490","32","6","60","345","64","20","W","3","145"
"ATTR-OPPONENT-QUOTA-171","btc-highfuel","native","171315","high-fuel-fuel-tight","6","60","417","128","6","60","338","16","10","W","3","79"
"ATTR-OPPONENT-QUOTA-171","btc-highfuel","native","171316","high-fuel-high-stock","6","60","646","8","6","60","528","16","5","W","3","118"
"ATTR-OPPONENT-QUOTA-171","btc-highfuel","native","171317","high-fuel-overnight","6","60","536","4","6","60","382","4","5","W","3","154"
"ATTR-OPPONENT-QUOTA-171","btc-large","fixed","171210","balanced","6","60","354","128","6","60","271","128","5","W","3","83"
"ATTR-OPPONENT-QUOTA-171","btc-large","fixed","171211","rare-brand","6","60","347","128","6","59","304","128","10","W","2","1"
"ATTR-OPPONENT-QUOTA-171","btc-large","fixed","171212","threshold-corridor","6","60","481","128","6","60","322","128","20","W","3","159"
"ATTR-OPPONENT-QUOTA-171","btc-large","fixed","171213","fuel-tight","6","60","309","128","6","60","234","128","5","W","3","75"
"ATTR-OPPONENT-QUOTA-171","btc-large","fixed","171214","high-stock","6","60","525","128","6","60","525","128","20","T","0","0"
"ATTR-OPPONENT-QUOTA-171","btc-large","fixed","171215","overnight","6","60","413","128","6","59","272","128","5","W","2","1"
"ATTR-OPPONENT-QUOTA-171","btc-large","native","171210","balanced","6","60","346","16","6","59","267","16","5","W","2","1"
"ATTR-OPPONENT-QUOTA-171","btc-large","native","171211","rare-brand","6","60","347","8","6","60","322","8","5","W","3","25"
"ATTR-OPPONENT-QUOTA-171","btc-large","native","171212","threshold-corridor","6","60","473","4","6","60","402","4","5","W","3","71"
"ATTR-OPPONENT-QUOTA-171","btc-large","native","171213","fuel-tight","6","60","342","8","6","59","233","4","5","W","2","1"
"ATTR-OPPONENT-QUOTA-171","btc-large","native","171214","high-stock","6","60","507","4","6","60","369","4","5","W","3","138"
"ATTR-OPPONENT-QUOTA-171","btc-large","native","171215","overnight","6","60","411","1","6","60","324","32","5","W","3","87"
"ATTR-OPPONENT-QUOTA-171","btc-lowfuel","fixed","171108","low-fuel-balanced","6","60","308","128","6","59","226","128","10","W","2","1"
"ATTR-OPPONENT-QUOTA-171","btc-lowfuel","fixed","171109","low-fuel-rare-brand","6","60","318","128","6","60","305","128","20","W","3","13"
"ATTR-OPPONENT-QUOTA-171","btc-lowfuel","fixed","171110","low-fuel-threshold-corridor","6","60","342","128","6","60","294","128","10","W","3","48"
"ATTR-OPPONENT-QUOTA-171","btc-lowfuel","fixed","171111","low-fuel-fuel-tight","6","60","432","128","6","59","324","128","20","W","2","1"
"ATTR-OPPONENT-QUOTA-171","btc-lowfuel","fixed","171112","low-fuel-high-stock","6","60","465","128","6","60","403","128","20","W","3","62"
"ATTR-OPPONENT-QUOTA-171","btc-lowfuel","fixed","171113","low-fuel-overnight","6","60","325","128","6","60","260","128","10","W","3","65"
"ATTR-OPPONENT-QUOTA-171","btc-lowfuel","native","171108","low-fuel-balanced","6","60","308","128","6","59","244","16","10","W","2","1"
"ATTR-OPPONENT-QUOTA-171","btc-lowfuel","native","171109","low-fuel-rare-brand","6","60","357","8","6","60","307","4","5","W","3","50"
"ATTR-OPPONENT-QUOTA-171","btc-lowfuel","native","171110","low-fuel-threshold-corridor","6","60","362","80","6","60","356","2","5","W","3","6"
"ATTR-OPPONENT-QUOTA-171","btc-lowfuel","native","171111","low-fuel-fuel-tight","6","60","459","4","6","60","343","1","10","W","3","116"
"ATTR-OPPONENT-QUOTA-171","btc-lowfuel","native","171112","low-fuel-high-stock","6","60","497","16","6","60","411","8","10","W","3","86"
"ATTR-OPPONENT-QUOTA-171","btc-lowfuel","native","171113","low-fuel-overnight","6","60","346","128","6","60","279","64","20","W","3","67"
"ATTR-OPPONENT-QUOTA-171","general","fixed","171006","balanced","6","24","55","8","6","23","49","8","20","W","2","1"
"ATTR-OPPONENT-QUOTA-171","general","fixed","171007","rare-brand","5","20","40","8","5","16","32","8","20","W","2","4"
"ATTR-OPPONENT-QUOTA-171","general","fixed","171008","threshold-corridor","7","28","35","8","7","25","30","8","20","W","2","3"
"ATTR-OPPONENT-QUOTA-171","general","fixed","171009","fuel-tight","6","21","22","8","6","18","19","8","20","W","2","3"
"ATTR-OPPONENT-QUOTA-171","general","fixed","171010","high-stock","5","20","57","8","5","19","54","8","20","W","2","1"
"ATTR-OPPONENT-QUOTA-171","general","fixed","171011","overnight","5","25","52","8","5","22","37","8","20","W","2","3"
"ATTR-OPPONENT-QUOTA-171","general","native","171006","balanced","6","24","55","8","6","23","49","8","20","W","2","1"
"ATTR-OPPONENT-QUOTA-171","general","native","171007","rare-brand","5","20","38","2","5","18","32","2","20","W","2","2"
"ATTR-OPPONENT-QUOTA-171","general","native","171008","threshold-corridor","7","28","36","2","7","24","30","2","20","W","2","4"
"ATTR-OPPONENT-QUOTA-171","general","native","171009","fuel-tight","6","22","24","2","6","18","18","1","20","W","2","4"
"ATTR-OPPONENT-QUOTA-171","general","native","171010","high-stock","5","20","57","4","5","20","49","2","20","W","3","8"
"ATTR-OPPONENT-QUOTA-171","general","native","171011","overnight","5","25","53","4","5","23","42","4","20","W","2","2"
