ATTR-QUEUE-053 opened-counterexample attribution
date=2026-08-09
parent=afcd2da
candidate_sha256=CE37B6D06F5AD92CDB3921DCCA6CAE21A4D6E688431232A78A7E25DDEF2EE6CF
manifest_sha256=D017068D6F47C73D22164265A235D545A24C2EB3396463264CB7D30AF8AA5359
lane=btc-low-two-tanker
seed=982008
family=balanced
same_binary=1
stable=1
dual_valid=1
shallow_score=6/60/96
cardinality_score=6/60/95
union_score=6/60/96
first_differing_tier=3
delta=-1

policy,agent,mask,in_shallow,in_cardinality
shallow,0,0x3B9,1,1
shallow,1,0x27C,1,1
shallow,2,0xF52,1,1
shallow,3,0xF23,1,1
shallow,4,0x27C,1,0
shallow,5,0x547,1,1
cardinality,0,0x77A,0,1
cardinality,1,0x27C,1,1
cardinality,2,0xF23,0,1
cardinality,3,0xF72,0,1
cardinality,4,0x2F9,1,1
cardinality,5,0x275,1,1
union,0,0x73B,0,1
union,1,0x27C,1,1
union,2,0xF23,0,1
union,3,0xF33,0,1
union,4,0x27C,1,0
union,5,0x2F4,1,1

verdict=accepted-attribution
interpretation=The one-serving regression is an intrinsic capped-frontier loss: patrol 4's shallow-only mask 0x27C is required by both the shallow and union 96-serving witnesses. The union does not exceed shallow, so no hidden larger opportunity is exposed. This single opened seed cannot authorize a mixed queue or dispatcher.
