replicate,fuel,match,config_ok,decisions,valid_actions,reconciled,emergency,deadline_skips,server_waits,fallbacks,transport_retries,max_total_ms,max_exact_overrun_ms,lifetime,daily,servings,replay_sha256
1,low,m-1873,1,10,10,9,0,0,0,0,0,1959,0,6,60,332,EBDE2F84E8BEE137EE8431B59C0B4083A47FA5AC296241B7AC19253A6BDF5666
2,low,m-1874,1,10,10,9,0,0,0,0,0,2211,0,6,60,308,AAFC7D626D540DDAA1E9DDEF01B955E7EAC5FE2567C0C0ABA3C8C83CF38E8CC8
3,low,m-1875,1,10,10,9,0,0,0,0,0,2433,0,6,60,233,A63CAD7072155362BD6C41C38A0657665807134ADEFF3FCC38CD7C60FE6E95EE
4,low,m-1877,1,10,10,9,0,0,0,0,0,1984,0,6,60,297,0EA71CCF311172A4A10A806EADA76049143C96F97CFA4BCC91120EC2E7966320
1,default,m-1879,1,10,10,9,0,0,0,0,0,2413,0,6,60,384,4B40EB9DDCDF6EC2567E41F472E94523160A6A69A3C4D3FCDBFB7E4BE8AD03FF
2,default,m-1880,1,10,10,9,0,0,0,0,0,2753,0,6,60,353,587C170D25E0AFA4C065EF2AFF761DED5194E9F704D4488C004EF794CBA11F70
3,default,m-1881,1,10,10,9,0,0,0,0,0,1925,0,6,60,394,6431FD747B86AEE0CFFDA145BECC995E093A4AB374166308C7A9F7FB15DFF1B7
4,default,m-1882,1,10,10,9,0,0,0,0,0,2195,0,6,60,396,4309AC14B11505E5974FEA9295ED4A374B1542D4AFA7BD0CDC40B06926C74E76
1,high,m-1884,1,10,10,9,0,0,0,0,0,1863,0,6,60,416,1DA45E46868582A48F498224A2C57F85D7F29244767A3E5BD129A7FEE88EB511
2,high,m-1885,1,10,10,9,0,0,0,0,0,1949,6,6,60,386,E3395825ACE777CBF9511178FEA9E3FA3DECB15029A03E043A0CE98AE98BB9C0
3,high,m-1886,1,10,10,9,0,0,0,0,0,2664,0,6,60,408,5F343054C8A8B8721885E8004D79B4D42D80C89A3D6908468911618801E058BC
4,high,m-1888,1,10,10,9,0,0,0,0,0,1960,0,6,60,375,1CC18A1205333E47897AEB905FA9FE9AB7FB7BD73B26880CE266AB3A8B1F5B50
