replicate,fuel,match,replay_sha256,config_ok,decisions,valid,transitions_reconciled,response_p50_ms,response_p95_ms,response_p99_ms,response_max_ms,decision_max_ms,emergency,exact_overrun_ms,fallback_actions,hard_cap_breaches,deadline_skips,server_wait_actions
1,low,m-1803,FFF3C3A4E714894EE4A4E5F097815DDF63E5643E8CF89EC361CFAF732FD16E8B,1,10,10,9,2751,2802,2802,2802,2718,0,0,0,0,0,0
2,low,m-1804,2412D3F13F33868EA39A48B26DC73C16F088A386CCDAF00EF25977E297CED5C5,1,10,10,9,2978,2990,2990,2990,2956,0,0,0,0,0,0
3,low,m-1805,DA0391028745A6E9F62F1A985039B17E23A7578CE78549513037F6CB9093912D,1,10,10,9,2625,3626,3626,3626,3224,0,0,0,0,0,0
4,low,m-1806,1892A410520B9B6969A27FE5C8BD02FBC7F6165FBD1F0E915EF2FD74E7C2BC7D,1,10,10,9,2940,3965,3965,3965,3075,0,0,0,0,0,0
5,low,m-1807,4FFE03388DB0CFFD22F3D5A991C16F499EF4A04DA108E0864B341DA3F70B1DAE,1,10,10,9,2954,3000,3000,3000,2903,0,0,0,0,0,0
6,low,m-1808,FDEDAE91D754918073DE2F4A155E81470107E0834994DF2F7A8536F346C37AE1,1,10,10,9,2946,2966,2966,2966,2901,0,0,0,0,0,0
7,low,m-1809,85C7AD4E35B4242C1F98064E7E214284D9A3E3B5F7E44AE83E8C5FE2690FBB1C,1,10,10,9,3204,3534,3534,3534,3358,0,0,0,0,0,0
8,low,m-1810,9F7CCE67FC5159B0FE6F2D7CF530771087E653E35253DACB3BF50C60457225A0,1,10,10,9,3282,3287,3287,3287,3254,0,0,0,0,0,0
9,low,m-1811,CCA365C371065E39DCDACDCEAF88E25F7F814D2E295870794CD12EDE502DA3FE,1,10,10,9,3071,3113,3113,3113,3039,0,0,0,0,0,0
10,low,m-1812,7FFC39E65A85BE5778390D17307AEDC72497E0AA88F3CF66D82E017C508C10E6,1,10,10,9,2781,2853,2853,2853,2754,0,0,0,0,0,0
1,default,m-1813,64260E7F7F1FB75D236F4BB6CE9793308E7EFD061DE4EE8BBA71FE2E1B5658A2,1,10,10,9,3474,3492,3492,3492,3363,0,0,0,0,0,0
2,default,m-1814,62DDACB9B81F132C59EAAD1F131CEC844543517817D0AA118AA1627417DE422A,1,10,10,9,3164,3184,3184,3184,3141,0,0,0,0,0,0
3,default,m-1815,9353ED6FD18D7252BE342AFAB5F27F338694DE4D29A9179A38B920A8C27951E3,1,10,10,9,3164,3182,3182,3182,3130,0,0,0,0,0,0
4,default,m-1816,63105967BBEB6462A691B4FD8D076098821D92865E1457036C56ACDB90AB176C,1,10,10,9,2821,2849,2849,2849,2827,0,0,0,0,0,0
5,default,m-1817,14C1914FDA06A82CEE8745E464C5ED442FFF1BD25A5ABA7C2ACC881FE67088E3,1,10,10,9,2646,2725,2725,2725,2709,0,0,0,0,0,0
6,default,m-1818,ED082C380BFC00F7D185FB432F6333CC7D245D2745C04A5548895ABD8050CD1B,1,10,10,9,3314,3351,3351,3351,3311,0,0,0,0,0,0
7,default,m-1819,2364A1A8DD42EC07288AC8915BEECFB5D0B2F5CB0AA3835D75E227BF0C5B66BE,1,10,10,9,3283,3574,3574,3574,3514,0,0,0,0,0,0
8,default,m-1820,5B988225241FEC0E126785DBA25E6379EC17BD257E2B3151D5DE29AEAB586DF1,1,10,10,9,2659,2671,2671,2671,2639,0,0,0,0,0,0
9,default,m-1821,E42C429289F3F3F7B087787BBE575C440F8F797621271FBBF7A181A196A94984,1,10,10,9,3267,3309,3309,3309,3241,0,0,0,0,0,0
10,default,m-1822,8A4E5BF010E57B3640783ED99C29060BFB2EE2571649F165DF79B9CD99BABF29,1,10,10,9,3231,3242,3242,3242,3207,0,0,0,0,0,0
1,high,m-1823,77174E2DE1E549B8C02087B3E4D33401B0210B67B6DD3C2C0648F40BAD93E915,1,10,10,9,3411,3669,3669,3669,3561,0,0,0,0,0,0
2,high,m-1824,AC21DACD42565F1CDF4B8A08068E2D78518332ADAC4DD1A8B0BC7F26A9E2E2E6,1,10,10,9,3312,3342,3342,3342,3306,0,0,0,0,0,0
3,high,m-1825,9230F25DAB80A2345B5D9A2DAAE1011E6ADB1C900BAA70E90148359BE60142AE,1,10,10,9,2590,3597,3597,3597,3350,0,0,0,0,0,0
4,high,m-1826,D1A784B35B9976FD7AF621C24B9F2B971305B16B02B6223329B49C4C543E893E,1,10,10,9,3371,4328,4328,4328,3284,0,0,0,0,0,0
5,high,m-1827,DEE166C2D70D3CB8CEE4B5A55BE914DAB46DECE1F4DCB031D036DDFF7092DBB2,1,10,9,9,3038,4278,4278,4278,3842,0,0,0,0,1,1
6,high,m-1828,8FC152F96837B7CA16027226B60A76E8F02BC3F17F75E969182C2F4CE90976B7,1,10,10,9,2616,3549,3549,3549,3301,0,0,0,0,0,0
7,high,m-1829,FDCAE3704CA72BECEDB4A61DB0333C2E0A94461FC675F22047ED3DAD1A9D4AB0,1,10,10,9,3500,3536,3536,3536,3330,0,0,0,0,0,0
8,high,m-1830,FA7C36757FD81E96E4B91643E13F4C2A56CDB0570B476511FD88286FE1D1154E,1,10,10,9,3262,3861,3861,3861,3790,0,0,0,0,0,0
9,high,m-1831,738FFD28E7D95DC17796AA0BEA2F92038C34BB4F83EA9A9A2BAB9FBE3E0808B1,1,10,10,9,2878,3575,3575,3575,3459,0,0,0,0,0,0
10,high,m-1832,3C06B1C57B9B2F742095174D5EBAA7F8D668AD4DAAB13265F85D20D5A9A73196,1,10,8,9,2652,3127,3127,3127,4171,0,0,0,0,2,2
