split,lane,seed,family,verdict,tier,delta,shallow_score,cardinality_score,full_score,stable,valid,shallow_settled,cardinality_settled,shallow_signature,cardinality_signature,shallow_recall,cardinality_recall,shallow_nodes,cardinality_nodes,full_nodes
development,small-proof-balanced,980000,threshold-corridor,T,0,0,4/16/28,4/16/28,4/16/28,1,1,8867,14605,6258933534408965893,7208844131381653051,23/36,24/36,1387,1387,264
development,small-proof-balanced,980001,fuel-tight,T,0,0,4/16/32,4/16/32,4/16/32,1,1,61130,100177,6010827511411015521,7789046975110475824,10/10,10/10,133,133,11
development,small-proof-balanced,980002,high-stock,T,0,0,4/16/31,4/16/31,4/16/31,1,1,21498,29336,11824399422173708595,15563474689281568139,14/41,15/41,199,199,180
development,small-proof-balanced,980003,overnight,T,0,0,4/16/31,4/16/31,4/16/31,1,1,41739,62060,11166117599789976629,663246827264480233,20/23,20/23,826,793,88
development,small-proof-balanced,980004,balanced,T,0,0,4/16/34,4/16/34,4/16/34,1,1,67317,89441,10698325930175398878,11794611910244675750,6/6,6/6,100,100,7
development,small-proof-balanced,980005,rare-brand,T,0,0,4/16/30,4/16/30,4/16/30,1,1,32935,49555,10212970293267037819,6152751107301228952,25/36,29/36,1189,1189,129
development,small-proof-duplicate-brand,980100,balanced,T,0,0,4/20/34,4/20/34,4/20/34,1,1,52310,84426,3712700589069917721,10469539010862094342,29/35,29/35,298,298,79
development,small-proof-duplicate-brand,980101,rare-brand,T,0,0,4/20/32,4/20/32,4/20/32,1,1,40084,54975,18437695893779124135,12867751790480111869,36/42,36/42,166,166,60
development,small-proof-duplicate-brand,980102,threshold-corridor,T,0,0,4/20/27,4/20/27,4/20/27,1,1,21563,41742,9688980541595986601,13795176007091956996,33/42,36/42,100,100,43
development,small-proof-duplicate-brand,980103,fuel-tight,T,0,0,4/20/28,4/20/28,4/20/28,1,1,34123,50978,16264494153380330093,784529766060029943,14/14,14/14,100,100,15
development,small-proof-duplicate-brand,980104,high-stock,T,0,0,4/20/37,4/20/37,4/20/37,1,1,19893,32476,5182976936182420763,2001771563540531185,16/26,20/26,364,364,45
development,small-proof-duplicate-brand,980105,overnight,T,0,0,4/20/30,4/20/30,4/20/30,1,1,21891,36479,12740705058344151450,186917948278878201,24/24,24/24,133,133,39
development,small-proof-stock-contention,980200,high-stock,T,0,0,4/20/26,4/20/26,4/20/26,1,1,32369,46644,6727832693636784459,10876600923770986799,38/46,38/46,166,166,83
development,small-proof-stock-contention,980201,overnight,T,0,0,4/20/25,4/20/25,4/20/25,1,1,23415,38386,13913471092961384860,8037557681933712338,18/18,18/18,100,100,19
development,small-proof-stock-contention,980202,balanced,T,0,0,4/20/25,4/20/25,4/20/25,1,1,56673,83158,1444657334209344491,12422629828112962928,39/44,39/44,100,100,45
development,small-proof-stock-contention,980203,rare-brand,T,0,0,4/20/26,4/20/26,4/20/26,1,1,17417,26151,6509895683849939452,17450290861308709944,23/30,24/30,100,100,31
development,small-proof-stock-contention,980204,threshold-corridor,T,0,0,4/20/26,4/20/26,4/20/26,1,1,15241,20114,6631255704111555810,9192578385290746399,17/20,17/20,100,100,21
development,small-proof-stock-contention,980205,fuel-tight,T,0,0,4/20/26,4/20/26,4/20/26,1,1,28167,45970,4077205972814555932,16928205897723807238,19/34,19/34,100,100,35
