"split","match","path","sha256","fuel_limit","role_mask","terminal_patrol_min_fuel","terminal_patrol_max_fuel","constrained_patrols","states","accepted","length"
"holdout","m-0583","artifacts/btc/m-0583.jsonl","3D82B389B7E06DD43B1061B27B1823A87588A23E812271AA60E8AE82963A378F","200","2","128","200","6","10","10","35879"
"holdout","m-0594","artifacts/btc/m-0594.jsonl","89A532A8BCD633CB01D14C5F53EE4CE260125A21E204A271D5888820259BF6A9","200","1","171","200","3","10","10","623587"
"holdout","m-0631","artifacts/btc/m-0631.jsonl","88A9CCC9803BD55A0C5D5645329F70976DF21EC5FAC9719B9AE4C42CE711B696","200","64","138","200","4","10","10","767031"
"holdout","m-0650","artifacts/btc/m-0650.jsonl","0C99620E71717879AC55261C556B15AE3C0F301901C6EF77638E8D5A393682D9","200","64","150","200","6","10","10","733319"
"holdout","m-0659","artifacts/btc/m-0659.jsonl","D37A1034B21A80BAE452832823C3AE0C7345A22B5A3016D3A37DE00CF4C0993E","200","4","100","200","5","10","10","737056"
"holdout","m-0664","artifacts/btc/m-0664.jsonl","DBE9BCB412AE1DF1FB40257E71CD20F298A9B2530AB732F89C1F6BD23EF7336D","200","32","92","200","6","10","10","784539"
"holdout","m-0672","artifacts/btc/m-0672.jsonl","5A3959F7DF8F6D4210FED9E351654522BC8D118182EC88975201B33B2CF68283","200","128","121","191","7","10","10","787455"
"holdout","m-0674","artifacts/btc/m-0674.jsonl","5E7CD5255E5DC83578CB21D381DA29B99DBC0EDC6BB89C16555EF005382325D6","200","64","128","200","6","10","10","785285"
"holdout","m-0756","artifacts/btc/m-0756.jsonl","042047349C10DC4904765EAA03242687092E8ECB1ADB77E6F0864FB66F078240","200","1","155","200","6","10","10","772115"
"holdout","m-0759","artifacts/btc/m-0759.jsonl","59E21209AFA12C0C34AECF84EEFA9B1662F607BC66687402A359FC2B618B4B16","200","16","114","200","3","10","10","732788"
"holdout","m-0762","artifacts/btc/m-0762.jsonl","38C1C37B8D5D6B11DBC15D4DB68AD6B5A95BEF4AF0239F4DB8BB2DEE69050CDC","200","2","143","185","7","10","10","764642"
"holdout","m-0763","artifacts/btc/m-0763.jsonl","4048D3EE586BBAA908080DC4F84E668457DE967A832A51F252629DE312487380","200","32","0","200","5","10","10","714481"
"holdout","m-0771","artifacts/btc/m-0771.jsonl","7F7E5FD9AA1C98DA29B0FFEB9FA515C3873507B3C569F05BAA0B7364329CD066","200","0","11","197","8","10","10","660380"
"holdout","m-0773","artifacts/btc/m-0773.jsonl","3FA00F0671D656CB1FE7DB4808A755FD5EBD828B0D3147F23FFFD612975DAB52","200","0","100","200","6","10","10","616658"
"holdout","m-0775","artifacts/btc/m-0775.jsonl","9E3D1442D067309F3A4E78329A603B42A1157A2810182061561D4D576521D35A","200","4","152","200","6","10","10","836612"
"holdout","m-0787","artifacts/btc/m-0787.jsonl","3FF633176A43F6048921DCF4DCABA4AB697176DD215214A125560F15B74E7DD7","200","16","153","160","7","10","10","836552"
"holdout","m-0788","artifacts/btc/m-0788.jsonl","58DDEC03977A7040C242742F2C12427D1EBC9D26A8F9174C484EAE75E8F05F0A","200","64","161","200","2","10","10","818298"
