experiment_id,split,family,width,height,agent_count,spot_count,players,day_steps,fuel_profile,first_seed,count,scope
ATTR-BIDIRECTIONAL-RCSP-FRONTIER-297,development,plain-open,8,8,3,6,8,16,default,10200000,2,targeted-forward-versus-bidirectional-exact-frontier
ATTR-BIDIRECTIONAL-RCSP-FRONTIER-297,development,mixed-terrain,8,8,5,8,9,20,low,10200100,2,targeted-forward-versus-bidirectional-exact-frontier
ATTR-BIDIRECTIONAL-RCSP-FRONTIER-297,development,road-threshold,8,8,8,8,10,24,high,10200200,2,targeted-forward-versus-bidirectional-exact-frontier
ATTR-BIDIRECTIONAL-RCSP-FRONTIER-297,development,pond-bottleneck,12,12,3,8,10,24,default,10200300,2,targeted-forward-versus-bidirectional-exact-frontier
ATTR-BIDIRECTIONAL-RCSP-FRONTIER-297,development,mixed-terrain,12,12,8,10,8,28,low,10200400,2,targeted-forward-versus-bidirectional-exact-frontier
ATTR-BIDIRECTIONAL-RCSP-FRONTIER-297,development,road-threshold,12,12,5,10,9,32,default,10200500,2,targeted-forward-versus-bidirectional-exact-frontier
ATTR-BIDIRECTIONAL-RCSP-FRONTIER-297,verification,plain-open,8,8,8,8,10,20,low,10210000,2,targeted-forward-versus-bidirectional-exact-frontier
ATTR-BIDIRECTIONAL-RCSP-FRONTIER-297,verification,mixed-terrain,8,8,3,8,8,24,default,10210100,2,targeted-forward-versus-bidirectional-exact-frontier
ATTR-BIDIRECTIONAL-RCSP-FRONTIER-297,verification,road-threshold,8,8,5,8,9,24,high,10210200,2,targeted-forward-versus-bidirectional-exact-frontier
ATTR-BIDIRECTIONAL-RCSP-FRONTIER-297,verification,pond-bottleneck,12,12,8,8,9,28,low,10210300,2,targeted-forward-versus-bidirectional-exact-frontier
ATTR-BIDIRECTIONAL-RCSP-FRONTIER-297,verification,mixed-terrain,12,12,5,10,10,32,default,10210400,2,targeted-forward-versus-bidirectional-exact-frontier
ATTR-BIDIRECTIONAL-RCSP-FRONTIER-297,verification,road-threshold,12,12,3,10,8,36,high,10210500,2,targeted-forward-versus-bidirectional-exact-frontier
