case_id,replay,day,replay_sha256,map_width,map_height,agents,purpose
m8135-d1,artifacts/btc/m-8135-ab3d699-series.jsonl,1,0EFC3363DBBCE1868A5195FE41677D358C250718D6FC91B11C602A8E33C5CBB3,24,24,7,consumed-counterexample-attribution
m8135-d2,artifacts/btc/m-8135-ab3d699-series.jsonl,2,0EFC3363DBBCE1868A5195FE41677D358C250718D6FC91B11C602A8E33C5CBB3,24,24,7,consumed-counterexample-attribution
m8135-d3,artifacts/btc/m-8135-ab3d699-series.jsonl,3,0EFC3363DBBCE1868A5195FE41677D358C250718D6FC91B11C602A8E33C5CBB3,24,24,7,consumed-counterexample-attribution
m8135-d4,artifacts/btc/m-8135-ab3d699-series.jsonl,4,0EFC3363DBBCE1868A5195FE41677D358C250718D6FC91B11C602A8E33C5CBB3,24,24,7,consumed-counterexample-attribution
m8135-d5,artifacts/btc/m-8135-ab3d699-series.jsonl,5,0EFC3363DBBCE1868A5195FE41677D358C250718D6FC91B11C602A8E33C5CBB3,24,24,7,consumed-counterexample-attribution
m8385-d1,artifacts/btc/m-8385-ab3d699-series.jsonl,1,D55BF7F372CBF8A6215651E43854DFE329C5BDA64C755A5E819773BC61115734,16,16,6,consumed-counterexample-attribution
m8385-d2,artifacts/btc/m-8385-ab3d699-series.jsonl,2,D55BF7F372CBF8A6215651E43854DFE329C5BDA64C755A5E819773BC61115734,16,16,6,consumed-counterexample-attribution
m8385-d3,artifacts/btc/m-8385-ab3d699-series.jsonl,3,D55BF7F372CBF8A6215651E43854DFE329C5BDA64C755A5E819773BC61115734,16,16,6,consumed-counterexample-attribution
m8385-d4,artifacts/btc/m-8385-ab3d699-series.jsonl,4,D55BF7F372CBF8A6215651E43854DFE329C5BDA64C755A5E819773BC61115734,16,16,6,consumed-counterexample-attribution
m8385-d5,artifacts/btc/m-8385-ab3d699-series.jsonl,5,D55BF7F372CBF8A6215651E43854DFE329C5BDA64C755A5E819773BC61115734,16,16,6,consumed-counterexample-attribution
m8385-d6,artifacts/btc/m-8385-ab3d699-series.jsonl,6,D55BF7F372CBF8A6215651E43854DFE329C5BDA64C755A5E819773BC61115734,16,16,6,consumed-counterexample-attribution
m8385-d7,artifacts/btc/m-8385-ab3d699-series.jsonl,7,D55BF7F372CBF8A6215651E43854DFE329C5BDA64C755A5E819773BC61115734,16,16,6,consumed-counterexample-attribution
m8385-d8,artifacts/btc/m-8385-ab3d699-series.jsonl,8,D55BF7F372CBF8A6215651E43854DFE329C5BDA64C755A5E819773BC61115734,16,16,6,consumed-counterexample-attribution
m8615-d1,artifacts/btc/m-8615-ab3d699-series.jsonl,1,48C567D6922A732F5D8A055CAEB07B603AE66C04B4B5D909A3504EE29F48F784,12,12,5,consumed-counterexample-attribution
m8615-d2,artifacts/btc/m-8615-ab3d699-series.jsonl,2,48C567D6922A732F5D8A055CAEB07B603AE66C04B4B5D909A3504EE29F48F784,12,12,5,consumed-counterexample-attribution
m8615-d3,artifacts/btc/m-8615-ab3d699-series.jsonl,3,48C567D6922A732F5D8A055CAEB07B603AE66C04B4B5D909A3504EE29F48F784,12,12,5,consumed-counterexample-attribution
m8615-d4,artifacts/btc/m-8615-ab3d699-series.jsonl,4,48C567D6922A732F5D8A055CAEB07B603AE66C04B4B5D909A3504EE29F48F784,12,12,5,consumed-counterexample-attribution
m8615-d5,artifacts/btc/m-8615-ab3d699-series.jsonl,5,48C567D6922A732F5D8A055CAEB07B603AE66C04B4B5D909A3504EE29F48F784,12,12,5,consumed-counterexample-attribution
m8615-d6,artifacts/btc/m-8615-ab3d699-series.jsonl,6,48C567D6922A732F5D8A055CAEB07B603AE66C04B4B5D909A3504EE29F48F784,12,12,5,consumed-counterexample-attribution
m9515-d1,artifacts/btc/m-9515-ab3d699-series.jsonl,1,7CAD9466EA007F7C9EBE595A0DC2847EA0461508FAFDC931FE314AD07BA1F243,24,24,7,consumed-counterexample-attribution
m9515-d2,artifacts/btc/m-9515-ab3d699-series.jsonl,2,7CAD9466EA007F7C9EBE595A0DC2847EA0461508FAFDC931FE314AD07BA1F243,24,24,7,consumed-counterexample-attribution
m9515-d3,artifacts/btc/m-9515-ab3d699-series.jsonl,3,7CAD9466EA007F7C9EBE595A0DC2847EA0461508FAFDC931FE314AD07BA1F243,24,24,7,consumed-counterexample-attribution
m9515-d4,artifacts/btc/m-9515-ab3d699-series.jsonl,4,7CAD9466EA007F7C9EBE595A0DC2847EA0461508FAFDC931FE314AD07BA1F243,24,24,7,consumed-counterexample-attribution
m9515-d5,artifacts/btc/m-9515-ab3d699-series.jsonl,5,7CAD9466EA007F7C9EBE595A0DC2847EA0461508FAFDC931FE314AD07BA1F243,24,24,7,consumed-counterexample-attribution
m9515-d6,artifacts/btc/m-9515-ab3d699-series.jsonl,6,7CAD9466EA007F7C9EBE595A0DC2847EA0461508FAFDC931FE314AD07BA1F243,24,24,7,consumed-counterexample-attribution
m9515-d7,artifacts/btc/m-9515-ab3d699-series.jsonl,7,7CAD9466EA007F7C9EBE595A0DC2847EA0461508FAFDC931FE314AD07BA1F243,24,24,7,consumed-counterexample-attribution
m9515-d8,artifacts/btc/m-9515-ab3d699-series.jsonl,8,7CAD9466EA007F7C9EBE595A0DC2847EA0461508FAFDC931FE314AD07BA1F243,24,24,7,consumed-counterexample-attribution
m9515-d9,artifacts/btc/m-9515-ab3d699-series.jsonl,9,7CAD9466EA007F7C9EBE595A0DC2847EA0461508FAFDC931FE314AD07BA1F243,24,24,7,consumed-counterexample-attribution
