suite_id,fixture_class,seed,family,fuel_regime,width,height,days,steps_per_day,role_lane,shared_role_policy,solver_budget_ms,judge,traffic_model,execution_order
ATTR-OPPONENT-066,generated-small,36000,balanced,fixture,8,8,4,16,fixed,one-tanker-last-agent,5000,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-udon-first-by-case
ATTR-OPPONENT-066,generated-small,36001,rare-brand,fixture,8,8,4,16,fixed,one-tanker-last-agent,5000,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-udon-first-by-case
ATTR-OPPONENT-066,generated-small,36002,threshold-corridor,fixture,8,8,4,16,fixed,one-tanker-last-agent,5000,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-udon-first-by-case
ATTR-OPPONENT-066,generated-small,36003,fuel-tight,fixture,8,8,4,16,fixed,one-tanker-last-agent,5000,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-udon-first-by-case
ATTR-OPPONENT-066,generated-small,36004,high-stock,fixture,8,8,4,16,fixed,one-tanker-last-agent,5000,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-udon-first-by-case
ATTR-OPPONENT-066,generated-small,36005,overnight,fixture,8,8,4,16,fixed,one-tanker-last-agent,5000,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-udon-first-by-case
ATTR-OPPONENT-066,generated-btc-large,72000,balanced,low,32,32,10,100,fixed,one-tanker-last-agent,5000,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-udon-first-by-case
ATTR-OPPONENT-066,generated-btc-large,72001,rare-brand,low,32,32,10,100,fixed,one-tanker-last-agent,5000,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-udon-first-by-case
ATTR-OPPONENT-066,generated-btc-large,72002,threshold-corridor,low,32,32,10,100,fixed,one-tanker-last-agent,5000,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-udon-first-by-case
ATTR-OPPONENT-066,generated-btc-large,72003,fuel-tight,low,32,32,10,100,fixed,one-tanker-last-agent,5000,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-udon-first-by-case
ATTR-OPPONENT-066,generated-btc-large,72004,high-stock,low,32,32,10,100,fixed,one-tanker-last-agent,5000,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-udon-first-by-case
ATTR-OPPONENT-066,generated-btc-large,72005,overnight,low,32,32,10,100,fixed,one-tanker-last-agent,5000,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-udon-first-by-case
ATTR-OPPONENT-066,generated-btc-large,72000,balanced,default,32,32,10,100,fixed,one-tanker-last-agent,5000,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-udon-first-by-case
ATTR-OPPONENT-066,generated-btc-large,72001,rare-brand,default,32,32,10,100,fixed,one-tanker-last-agent,5000,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-udon-first-by-case
ATTR-OPPONENT-066,generated-btc-large,72002,threshold-corridor,default,32,32,10,100,fixed,one-tanker-last-agent,5000,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-udon-first-by-case
ATTR-OPPONENT-066,generated-btc-large,72003,fuel-tight,default,32,32,10,100,fixed,one-tanker-last-agent,5000,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-udon-first-by-case
ATTR-OPPONENT-066,generated-btc-large,72004,high-stock,default,32,32,10,100,fixed,one-tanker-last-agent,5000,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-udon-first-by-case
ATTR-OPPONENT-066,generated-btc-large,72005,overnight,default,32,32,10,100,fixed,one-tanker-last-agent,5000,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-udon-first-by-case
ATTR-OPPONENT-066,generated-btc-highfuel,72000,balanced,high,32,32,10,100,fixed,one-tanker-last-agent,5000,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-udon-first-by-case
ATTR-OPPONENT-066,generated-btc-highfuel,72001,rare-brand,high,32,32,10,100,fixed,one-tanker-last-agent,5000,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-udon-first-by-case
ATTR-OPPONENT-066,generated-btc-highfuel,72002,threshold-corridor,high,32,32,10,100,fixed,one-tanker-last-agent,5000,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-udon-first-by-case
ATTR-OPPONENT-066,generated-btc-highfuel,72003,fuel-tight,high,32,32,10,100,fixed,one-tanker-last-agent,5000,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-udon-first-by-case
ATTR-OPPONENT-066,generated-btc-highfuel,72004,high-stock,high,32,32,10,100,fixed,one-tanker-last-agent,5000,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-udon-first-by-case
ATTR-OPPONENT-066,generated-btc-highfuel,72005,overnight,high,32,32,10,100,fixed,one-tanker-last-agent,5000,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-udon-first-by-case
ATTR-OPPONENT-066,all-above,all,all,all,all,all,all,all,native,each-solver-selects-within-own-5000ms-cap,5000,udon-exact-simulator-plus-independent-validator,endogenous-own-plus-common-opponents-two-day,alternate-udon-first-by-case
