experiment_id,suite,first_seed,count,budget_ms,role_ms,role_mode,fuel_profile,spot_count,players,scope,authority
ATTR-PERMUTED-TERMINAL-PAIR-YIELD-252-v2,general,9730000,2,3375,5000,fixed,low,0,8,nonidentity-permuted-terminal-pair-probe-50000,fresh-official-domain-attribution
ATTR-PERMUTED-TERMINAL-PAIR-YIELD-252-v2,general,9730100,2,3375,5000,deadline,generated,0,9,nonidentity-permuted-terminal-pair-probe-50000,fresh-official-domain-attribution
ATTR-PERMUTED-TERMINAL-PAIR-YIELD-252-v2,multiteam-12,9731000,2,3375,5000,fixed,low,12,10,nonidentity-permuted-terminal-pair-probe-50000,fresh-official-domain-attribution
ATTR-PERMUTED-TERMINAL-PAIR-YIELD-252-v2,multiteam-12,9731100,2,3375,5000,deadline,high,12,8,nonidentity-permuted-terminal-pair-probe-50000,fresh-official-domain-attribution
ATTR-PERMUTED-TERMINAL-PAIR-YIELD-252-v2,multiteam-16,9732000,2,3375,5000,fixed,default,16,9,nonidentity-permuted-terminal-pair-probe-50000,fresh-official-domain-attribution
ATTR-PERMUTED-TERMINAL-PAIR-YIELD-252-v2,multiteam-16,9732100,2,3375,5000,deadline,low,16,10,nonidentity-permuted-terminal-pair-probe-50000,fresh-official-domain-attribution
ATTR-PERMUTED-TERMINAL-PAIR-YIELD-252-v2,multiteam-24,9733000,2,3375,5000,fixed,high,24,8,nonidentity-permuted-terminal-pair-probe-50000,fresh-official-domain-attribution
ATTR-PERMUTED-TERMINAL-PAIR-YIELD-252-v2,multiteam-24,9733100,2,3375,5000,deadline,default,24,9,nonidentity-permuted-terminal-pair-probe-50000,fresh-official-domain-attribution
ATTR-PERMUTED-TERMINAL-PAIR-YIELD-252-v2,multiteam-32,9734000,2,3375,5000,fixed,low,30,10,nonidentity-permuted-terminal-pair-probe-50000,fresh-official-domain-attribution
ATTR-PERMUTED-TERMINAL-PAIR-YIELD-252-v2,multiteam-32,9734100,2,3375,5000,deadline,high,30,8,nonidentity-permuted-terminal-pair-probe-50000,fresh-official-domain-attribution
ATTR-PERMUTED-TERMINAL-PAIR-YIELD-252-v2,multiteam-24,9735000,2,3375,5000,fixed,generated,18,10,nonidentity-permuted-terminal-pair-probe-50000,fresh-official-domain-attribution
ATTR-PERMUTED-TERMINAL-PAIR-YIELD-252-v2,multiteam-16,9735100,2,3375,5000,deadline,generated,16,8,nonidentity-permuted-terminal-pair-probe-50000,fresh-official-domain-attribution
