experiment_id,suite,first_seed,count,budget_ms,role_ms,role_mode,fuel_profile,spot_count,players,scope,authority
ATTR-PERMUTED-TERMINAL-PAIR-YIELD-252,general,9720000,2,3375,5000,fixed,low,0,8,permuted-terminal-pair-probe-50000,fresh-official-domain-attribution
ATTR-PERMUTED-TERMINAL-PAIR-YIELD-252,general,9720100,2,3375,5000,deadline,generated,0,9,permuted-terminal-pair-probe-50000,fresh-official-domain-attribution
ATTR-PERMUTED-TERMINAL-PAIR-YIELD-252,multiteam-12,9721000,2,3375,5000,fixed,low,12,10,permuted-terminal-pair-probe-50000,fresh-official-domain-attribution
ATTR-PERMUTED-TERMINAL-PAIR-YIELD-252,multiteam-12,9721100,2,3375,5000,deadline,high,12,8,permuted-terminal-pair-probe-50000,fresh-official-domain-attribution
ATTR-PERMUTED-TERMINAL-PAIR-YIELD-252,multiteam-16,9722000,2,3375,5000,fixed,default,16,9,permuted-terminal-pair-probe-50000,fresh-official-domain-attribution
ATTR-PERMUTED-TERMINAL-PAIR-YIELD-252,multiteam-16,9722100,2,3375,5000,deadline,low,16,10,permuted-terminal-pair-probe-50000,fresh-official-domain-attribution
ATTR-PERMUTED-TERMINAL-PAIR-YIELD-252,multiteam-24,9723000,2,3375,5000,fixed,high,24,8,permuted-terminal-pair-probe-50000,fresh-official-domain-attribution
ATTR-PERMUTED-TERMINAL-PAIR-YIELD-252,multiteam-24,9723100,2,3375,5000,deadline,default,24,9,permuted-terminal-pair-probe-50000,fresh-official-domain-attribution
ATTR-PERMUTED-TERMINAL-PAIR-YIELD-252,multiteam-32,9724000,2,3375,5000,fixed,low,30,10,permuted-terminal-pair-probe-50000,fresh-official-domain-attribution
ATTR-PERMUTED-TERMINAL-PAIR-YIELD-252,multiteam-32,9724100,2,3375,5000,deadline,high,30,8,permuted-terminal-pair-probe-50000,fresh-official-domain-attribution
ATTR-PERMUTED-TERMINAL-PAIR-YIELD-252,multiteam-24,9725000,2,3375,5000,fixed,generated,18,10,permuted-terminal-pair-probe-50000,fresh-official-domain-attribution
ATTR-PERMUTED-TERMINAL-PAIR-YIELD-252,multiteam-16,9725100,2,3375,5000,deadline,generated,16,8,permuted-terminal-pair-probe-50000,fresh-official-domain-attribution
