case_id,day,agent,split
d1-a0,1,0,attribution
d1-a1,1,1,attribution
d1-a2,1,2,attribution
d1-a3,1,3,attribution
d2-a0,2,0,attribution
d2-a1,2,1,attribution
d2-a2,2,2,attribution
d2-a3,2,3,attribution
d3-a0,3,0,attribution
d3-a1,3,1,attribution
d3-a2,3,2,attribution
d3-a3,3,3,attribution
d4-a0,4,0,attribution
d4-a1,4,1,attribution
d4-a2,4,2,attribution
d4-a3,4,3,attribution
d5-a0,5,0,attribution
d5-a1,5,1,attribution
d5-a2,5,2,attribution
d5-a3,5,3,attribution
d6-a0,6,0,attribution
d6-a1,6,1,attribution
d6-a2,6,2,attribution
d6-a3,6,3,attribution
