experiment_id,suite,first_seed,count,budget_ms,role_ms,role_mode,fuel_profile,spot_count,players,scope,authority
ATTR-SPARSE-ROUTE-PREVALENCE-246-v2,general,9610000,2,3375,5000,fixed,low,0,8,sparse50000-vs-parent,fresh-attribution
ATTR-SPARSE-ROUTE-PREVALENCE-246-v2,general,9610100,2,3375,5000,deadline,generated,0,9,sparse50000-vs-parent,fresh-attribution
ATTR-SPARSE-ROUTE-PREVALENCE-246-v2,multiteam-12,9611000,2,3375,5000,fixed,low,12,10,sparse50000-vs-parent,fresh-attribution
ATTR-SPARSE-ROUTE-PREVALENCE-246-v2,multiteam-12,9611100,2,3375,5000,deadline,high,12,8,sparse50000-vs-parent,fresh-attribution
ATTR-SPARSE-ROUTE-PREVALENCE-246-v2,multiteam-16,9612000,2,3375,5000,fixed,default,16,9,sparse50000-vs-parent,fresh-attribution
ATTR-SPARSE-ROUTE-PREVALENCE-246-v2,multiteam-16,9612100,2,3375,5000,deadline,low,16,10,sparse50000-vs-parent,fresh-attribution
ATTR-SPARSE-ROUTE-PREVALENCE-246-v2,multiteam-24,9613000,2,3375,5000,fixed,high,24,8,sparse50000-vs-parent,fresh-attribution
ATTR-SPARSE-ROUTE-PREVALENCE-246-v2,multiteam-24,9613100,2,3375,5000,deadline,default,24,9,sparse50000-vs-parent,fresh-attribution
ATTR-SPARSE-ROUTE-PREVALENCE-246-v2,multiteam-32,9614000,2,3375,5000,fixed,low,30,10,sparse50000-vs-parent,fresh-attribution
ATTR-SPARSE-ROUTE-PREVALENCE-246-v2,multiteam-32,9614100,2,3375,5000,deadline,high,30,8,sparse50000-vs-parent,fresh-attribution
ATTR-SPARSE-ROUTE-PREVALENCE-246-v2,multiteam-24,9615000,2,3375,5000,fixed,generated,18,10,sparse50000-vs-parent,fresh-attribution
ATTR-SPARSE-ROUTE-PREVALENCE-246-v2,multiteam-16,9615100,2,3375,5000,deadline,generated,18,8,sparse50000-vs-parent,fresh-attribution
