experiment_id,split,family,fuel_profile,horizon,first_seed,count,active_agents,total_agents,spot_count,role_mode,oracle_scope
ATTR-W0-CACHE-RETENTION-110,development,branched-balanced,low,4,1900000,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
ATTR-W0-CACHE-RETENTION-110,holdout,branched-balanced,low,4,1900001,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
ATTR-W0-CACHE-RETENTION-110,development,branched-duplicate,low,4,1900100,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
ATTR-W0-CACHE-RETENTION-110,holdout,branched-duplicate,low,4,1900101,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
ATTR-W0-CACHE-RETENTION-110,development,rare-fork,low,4,1900200,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
ATTR-W0-CACHE-RETENTION-110,holdout,rare-fork,low,4,1900201,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
ATTR-W0-CACHE-RETENTION-110,development,stock-race,low,4,1900300,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
ATTR-W0-CACHE-RETENTION-110,holdout,stock-race,low,4,1900301,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
ATTR-W0-CACHE-RETENTION-110,development,fuel-split,low,4,1900400,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
ATTR-W0-CACHE-RETENTION-110,holdout,fuel-split,low,4,1900401,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
ATTR-W0-CACHE-RETENTION-110,development,terminal-fork,low,4,1900500,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
ATTR-W0-CACHE-RETENTION-110,holdout,terminal-fork,low,4,1900501,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
ATTR-W0-CACHE-RETENTION-110,development,branched-balanced,default,4,1910000,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
ATTR-W0-CACHE-RETENTION-110,holdout,branched-balanced,default,4,1910001,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
ATTR-W0-CACHE-RETENTION-110,development,branched-duplicate,default,4,1910100,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
ATTR-W0-CACHE-RETENTION-110,holdout,branched-duplicate,default,4,1910101,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
ATTR-W0-CACHE-RETENTION-110,development,rare-fork,default,4,1910200,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
ATTR-W0-CACHE-RETENTION-110,holdout,rare-fork,default,4,1910201,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
ATTR-W0-CACHE-RETENTION-110,development,stock-race,default,4,1910300,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
ATTR-W0-CACHE-RETENTION-110,holdout,stock-race,default,4,1910301,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
ATTR-W0-CACHE-RETENTION-110,development,fuel-split,default,4,1910400,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
ATTR-W0-CACHE-RETENTION-110,holdout,fuel-split,default,4,1910401,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
ATTR-W0-CACHE-RETENTION-110,development,terminal-fork,default,4,1910500,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
ATTR-W0-CACHE-RETENTION-110,holdout,terminal-fork,default,4,1910501,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
ATTR-W0-CACHE-RETENTION-110,development,branched-balanced,high,4,1920000,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
ATTR-W0-CACHE-RETENTION-110,holdout,branched-balanced,high,4,1920001,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
ATTR-W0-CACHE-RETENTION-110,development,branched-duplicate,high,4,1920100,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
ATTR-W0-CACHE-RETENTION-110,holdout,branched-duplicate,high,4,1920101,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
ATTR-W0-CACHE-RETENTION-110,development,rare-fork,high,4,1920200,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
ATTR-W0-CACHE-RETENTION-110,holdout,rare-fork,high,4,1920201,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
ATTR-W0-CACHE-RETENTION-110,development,stock-race,high,4,1920300,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
ATTR-W0-CACHE-RETENTION-110,holdout,stock-race,high,4,1920301,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
ATTR-W0-CACHE-RETENTION-110,development,fuel-split,high,4,1920400,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
ATTR-W0-CACHE-RETENTION-110,holdout,fuel-split,high,4,1920401,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
ATTR-W0-CACHE-RETENTION-110,development,terminal-fork,high,4,1920500,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
ATTR-W0-CACHE-RETENTION-110,holdout,terminal-fork,high,4,1920501,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
