experiment_id,split,family,fuel_profile,horizon,first_seed,count,active_agents,total_agents,spot_count,role_mode,oracle_scope
CEILING-BOTTLENECK-PATROL-135,development,bottleneck-balanced,low,4,2700000,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BOTTLENECK-PATROL-135,holdout,bottleneck-balanced,low,4,2700001,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BOTTLENECK-PATROL-135,development,bottleneck-duplicate,low,4,2700100,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BOTTLENECK-PATROL-135,holdout,bottleneck-duplicate,low,4,2700101,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BOTTLENECK-PATROL-135,development,rare-bottleneck,low,4,2700200,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BOTTLENECK-PATROL-135,holdout,rare-bottleneck,low,4,2700201,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BOTTLENECK-PATROL-135,development,stock-bottleneck,low,4,2700300,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BOTTLENECK-PATROL-135,holdout,stock-bottleneck,low,4,2700301,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BOTTLENECK-PATROL-135,development,fuel-bottleneck,low,4,2700400,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BOTTLENECK-PATROL-135,holdout,fuel-bottleneck,low,4,2700401,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BOTTLENECK-PATROL-135,development,terminal-bottleneck,low,4,2700500,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BOTTLENECK-PATROL-135,holdout,terminal-bottleneck,low,4,2700501,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BOTTLENECK-PATROL-135,development,bottleneck-balanced,default,4,2710000,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BOTTLENECK-PATROL-135,holdout,bottleneck-balanced,default,4,2710001,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BOTTLENECK-PATROL-135,development,bottleneck-duplicate,default,4,2710100,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BOTTLENECK-PATROL-135,holdout,bottleneck-duplicate,default,4,2710101,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BOTTLENECK-PATROL-135,development,rare-bottleneck,default,4,2710200,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BOTTLENECK-PATROL-135,holdout,rare-bottleneck,default,4,2710201,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BOTTLENECK-PATROL-135,development,stock-bottleneck,default,4,2710300,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BOTTLENECK-PATROL-135,holdout,stock-bottleneck,default,4,2710301,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BOTTLENECK-PATROL-135,development,fuel-bottleneck,default,4,2710400,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BOTTLENECK-PATROL-135,holdout,fuel-bottleneck,default,4,2710401,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BOTTLENECK-PATROL-135,development,terminal-bottleneck,default,4,2710500,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BOTTLENECK-PATROL-135,holdout,terminal-bottleneck,default,4,2710501,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BOTTLENECK-PATROL-135,development,bottleneck-balanced,high,4,2720000,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BOTTLENECK-PATROL-135,holdout,bottleneck-balanced,high,4,2720001,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BOTTLENECK-PATROL-135,development,bottleneck-duplicate,high,4,2720100,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BOTTLENECK-PATROL-135,holdout,bottleneck-duplicate,high,4,2720101,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BOTTLENECK-PATROL-135,development,rare-bottleneck,high,4,2720200,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BOTTLENECK-PATROL-135,holdout,rare-bottleneck,high,4,2720201,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BOTTLENECK-PATROL-135,development,stock-bottleneck,high,4,2720300,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BOTTLENECK-PATROL-135,holdout,stock-bottleneck,high,4,2720301,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BOTTLENECK-PATROL-135,development,fuel-bottleneck,high,4,2720400,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BOTTLENECK-PATROL-135,holdout,fuel-bottleneck,high,4,2720401,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BOTTLENECK-PATROL-135,development,terminal-bottleneck,high,4,2720500,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BOTTLENECK-PATROL-135,holdout,terminal-bottleneck,high,4,2720501,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
