experiment_id,split,family,fuel_profile,horizon,first_seed,count,active_agents,total_agents,spot_count,role_mode,oracle_scope
CEILING-BRANCH-PATROL-089,development,branched-balanced,low,4,1500000,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BRANCH-PATROL-089,holdout,branched-balanced,low,4,1500001,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BRANCH-PATROL-089,development,branched-duplicate,low,4,1500100,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BRANCH-PATROL-089,holdout,branched-duplicate,low,4,1500101,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BRANCH-PATROL-089,development,rare-fork,low,4,1500200,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BRANCH-PATROL-089,holdout,rare-fork,low,4,1500201,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BRANCH-PATROL-089,development,stock-race,low,4,1500300,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BRANCH-PATROL-089,holdout,stock-race,low,4,1500301,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BRANCH-PATROL-089,development,fuel-split,low,4,1500400,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BRANCH-PATROL-089,holdout,fuel-split,low,4,1500401,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BRANCH-PATROL-089,development,terminal-fork,low,4,1500500,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BRANCH-PATROL-089,holdout,terminal-fork,low,4,1500501,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BRANCH-PATROL-089,development,branched-balanced,default,4,1510000,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BRANCH-PATROL-089,holdout,branched-balanced,default,4,1510001,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BRANCH-PATROL-089,development,branched-duplicate,default,4,1510100,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BRANCH-PATROL-089,holdout,branched-duplicate,default,4,1510101,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BRANCH-PATROL-089,development,rare-fork,default,4,1510200,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BRANCH-PATROL-089,holdout,rare-fork,default,4,1510201,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BRANCH-PATROL-089,development,stock-race,default,4,1510300,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BRANCH-PATROL-089,holdout,stock-race,default,4,1510301,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BRANCH-PATROL-089,development,fuel-split,default,4,1510400,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BRANCH-PATROL-089,holdout,fuel-split,default,4,1510401,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BRANCH-PATROL-089,development,terminal-fork,default,4,1510500,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BRANCH-PATROL-089,holdout,terminal-fork,default,4,1510501,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BRANCH-PATROL-089,development,branched-balanced,high,4,1520000,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BRANCH-PATROL-089,holdout,branched-balanced,high,4,1520001,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BRANCH-PATROL-089,development,branched-duplicate,high,4,1520100,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BRANCH-PATROL-089,holdout,branched-duplicate,high,4,1520101,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BRANCH-PATROL-089,development,rare-fork,high,4,1520200,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BRANCH-PATROL-089,holdout,rare-fork,high,4,1520201,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BRANCH-PATROL-089,development,stock-race,high,4,1520300,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BRANCH-PATROL-089,holdout,stock-race,high,4,1520301,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BRANCH-PATROL-089,development,fuel-split,high,4,1520400,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BRANCH-PATROL-089,holdout,fuel-split,high,4,1520401,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BRANCH-PATROL-089,development,terminal-fork,high,4,1520500,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-BRANCH-PATROL-089,holdout,terminal-fork,high,4,1520501,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
