experiment_id,split,family,fuel_profile,horizon,first_seed,count,active_agents,total_agents,spot_count,role_mode,oracle_scope
CEILING-CYCLE-PATROL-095,development,cycle-balanced,low,4,1600000,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-CYCLE-PATROL-095,holdout,cycle-balanced,low,4,1600001,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-CYCLE-PATROL-095,development,cycle-duplicate,low,4,1600100,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-CYCLE-PATROL-095,holdout,cycle-duplicate,low,4,1600101,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-CYCLE-PATROL-095,development,rare-loop,low,4,1600200,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-CYCLE-PATROL-095,holdout,rare-loop,low,4,1600201,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-CYCLE-PATROL-095,development,stock-crossing,low,4,1600300,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-CYCLE-PATROL-095,holdout,stock-crossing,low,4,1600301,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-CYCLE-PATROL-095,development,fuel-circuit,low,4,1600400,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-CYCLE-PATROL-095,holdout,fuel-circuit,low,4,1600401,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-CYCLE-PATROL-095,development,terminal-loop,low,4,1600500,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-CYCLE-PATROL-095,holdout,terminal-loop,low,4,1600501,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-CYCLE-PATROL-095,development,cycle-balanced,default,4,1610000,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-CYCLE-PATROL-095,holdout,cycle-balanced,default,4,1610001,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-CYCLE-PATROL-095,development,cycle-duplicate,default,4,1610100,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-CYCLE-PATROL-095,holdout,cycle-duplicate,default,4,1610101,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-CYCLE-PATROL-095,development,rare-loop,default,4,1610200,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-CYCLE-PATROL-095,holdout,rare-loop,default,4,1610201,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-CYCLE-PATROL-095,development,stock-crossing,default,4,1610300,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-CYCLE-PATROL-095,holdout,stock-crossing,default,4,1610301,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-CYCLE-PATROL-095,development,fuel-circuit,default,4,1610400,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-CYCLE-PATROL-095,holdout,fuel-circuit,default,4,1610401,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-CYCLE-PATROL-095,development,terminal-loop,default,4,1610500,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-CYCLE-PATROL-095,holdout,terminal-loop,default,4,1610501,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-CYCLE-PATROL-095,development,cycle-balanced,high,4,1620000,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-CYCLE-PATROL-095,holdout,cycle-balanced,high,4,1620001,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-CYCLE-PATROL-095,development,cycle-duplicate,high,4,1620100,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-CYCLE-PATROL-095,holdout,cycle-duplicate,high,4,1620101,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-CYCLE-PATROL-095,development,rare-loop,high,4,1620200,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-CYCLE-PATROL-095,holdout,rare-loop,high,4,1620201,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-CYCLE-PATROL-095,development,stock-crossing,high,4,1620300,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-CYCLE-PATROL-095,holdout,stock-crossing,high,4,1620301,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-CYCLE-PATROL-095,development,fuel-circuit,high,4,1620400,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-CYCLE-PATROL-095,holdout,fuel-circuit,high,4,1620401,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-CYCLE-PATROL-095,development,terminal-loop,high,4,1620500,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-CYCLE-PATROL-095,holdout,terminal-loop,high,4,1620501,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
