experiment_id,split,family,fuel_profile,horizon,first_seed,count,active_agents,total_agents,spot_count,role_mode,oracle_scope
CEILING-LADDER-PATROL-101,development,ladder-balanced,low,4,1800000,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-LADDER-PATROL-101,holdout,ladder-balanced,low,4,1800001,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-LADDER-PATROL-101,development,ladder-duplicate,low,4,1800100,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-LADDER-PATROL-101,holdout,ladder-duplicate,low,4,1800101,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-LADDER-PATROL-101,development,rare-ladder,low,4,1800200,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-LADDER-PATROL-101,holdout,rare-ladder,low,4,1800201,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-LADDER-PATROL-101,development,stock-ladder,low,4,1800300,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-LADDER-PATROL-101,holdout,stock-ladder,low,4,1800301,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-LADDER-PATROL-101,development,fuel-ladder,low,4,1800400,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-LADDER-PATROL-101,holdout,fuel-ladder,low,4,1800401,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-LADDER-PATROL-101,development,terminal-ladder,low,4,1800500,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-LADDER-PATROL-101,holdout,terminal-ladder,low,4,1800501,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-LADDER-PATROL-101,development,ladder-balanced,default,4,1810000,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-LADDER-PATROL-101,holdout,ladder-balanced,default,4,1810001,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-LADDER-PATROL-101,development,ladder-duplicate,default,4,1810100,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-LADDER-PATROL-101,holdout,ladder-duplicate,default,4,1810101,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-LADDER-PATROL-101,development,rare-ladder,default,4,1810200,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-LADDER-PATROL-101,holdout,rare-ladder,default,4,1810201,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-LADDER-PATROL-101,development,stock-ladder,default,4,1810300,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-LADDER-PATROL-101,holdout,stock-ladder,default,4,1810301,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-LADDER-PATROL-101,development,fuel-ladder,default,4,1810400,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-LADDER-PATROL-101,holdout,fuel-ladder,default,4,1810401,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-LADDER-PATROL-101,development,terminal-ladder,default,4,1810500,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-LADDER-PATROL-101,holdout,terminal-ladder,default,4,1810501,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-LADDER-PATROL-101,development,ladder-balanced,high,4,1820000,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-LADDER-PATROL-101,holdout,ladder-balanced,high,4,1820001,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-LADDER-PATROL-101,development,ladder-duplicate,high,4,1820100,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-LADDER-PATROL-101,holdout,ladder-duplicate,high,4,1820101,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-LADDER-PATROL-101,development,rare-ladder,high,4,1820200,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-LADDER-PATROL-101,holdout,rare-ladder,high,4,1820201,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-LADDER-PATROL-101,development,stock-ladder,high,4,1820300,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-LADDER-PATROL-101,holdout,stock-ladder,high,4,1820301,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-LADDER-PATROL-101,development,fuel-ladder,high,4,1820400,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-LADDER-PATROL-101,holdout,fuel-ladder,high,4,1820401,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-LADDER-PATROL-101,development,terminal-ladder,high,4,1820500,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-LADDER-PATROL-101,holdout,terminal-ladder,high,4,1820501,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
