experiment_id,split,family,fuel_profile,horizon,first_seed,count,active_agents,total_agents,spot_count,role_mode,oracle_scope
CEILING-MATCH-071,development,balanced,low,4,1300000,1,1,3,5,all-patrol,complete-one-active-patrol-full-match-dp
CEILING-MATCH-071,holdout,balanced,low,4,1300001,3,1,3,5,all-patrol,complete-one-active-patrol-full-match-dp
CEILING-MATCH-071,development,rare-late,low,4,1300100,1,1,3,5,all-patrol,complete-one-active-patrol-full-match-dp
CEILING-MATCH-071,holdout,rare-late,low,4,1300101,3,1,3,5,all-patrol,complete-one-active-patrol-full-match-dp
CEILING-MATCH-071,development,daily-choice,low,4,1300200,1,1,3,5,all-patrol,complete-one-active-patrol-full-match-dp
CEILING-MATCH-071,holdout,daily-choice,low,4,1300201,3,1,3,5,all-patrol,complete-one-active-patrol-full-match-dp
CEILING-MATCH-071,development,fuel-allocation,low,5,1300300,1,1,3,5,all-patrol,complete-one-active-patrol-full-match-dp
CEILING-MATCH-071,holdout,fuel-allocation,low,5,1300301,3,1,3,5,all-patrol,complete-one-active-patrol-full-match-dp
CEILING-MATCH-071,development,terminal-position,low,5,1300400,1,1,3,5,all-patrol,complete-one-active-patrol-full-match-dp
CEILING-MATCH-071,holdout,terminal-position,low,5,1300401,3,1,3,5,all-patrol,complete-one-active-patrol-full-match-dp
CEILING-MATCH-071,development,mountain-detour,low,5,1300500,1,1,3,5,all-patrol,complete-one-active-patrol-full-match-dp
CEILING-MATCH-071,holdout,mountain-detour,low,5,1300501,3,1,3,5,all-patrol,complete-one-active-patrol-full-match-dp
CEILING-MATCH-071,development,balanced,default,4,1310000,1,1,3,5,all-patrol,complete-one-active-patrol-full-match-dp
CEILING-MATCH-071,holdout,balanced,default,4,1310001,3,1,3,5,all-patrol,complete-one-active-patrol-full-match-dp
CEILING-MATCH-071,development,rare-late,default,4,1310100,1,1,3,5,all-patrol,complete-one-active-patrol-full-match-dp
CEILING-MATCH-071,holdout,rare-late,default,4,1310101,3,1,3,5,all-patrol,complete-one-active-patrol-full-match-dp
CEILING-MATCH-071,development,daily-choice,default,4,1310200,1,1,3,5,all-patrol,complete-one-active-patrol-full-match-dp
CEILING-MATCH-071,holdout,daily-choice,default,4,1310201,3,1,3,5,all-patrol,complete-one-active-patrol-full-match-dp
CEILING-MATCH-071,development,fuel-allocation,default,5,1310300,1,1,3,5,all-patrol,complete-one-active-patrol-full-match-dp
CEILING-MATCH-071,holdout,fuel-allocation,default,5,1310301,3,1,3,5,all-patrol,complete-one-active-patrol-full-match-dp
CEILING-MATCH-071,development,terminal-position,default,5,1310400,1,1,3,5,all-patrol,complete-one-active-patrol-full-match-dp
CEILING-MATCH-071,holdout,terminal-position,default,5,1310401,3,1,3,5,all-patrol,complete-one-active-patrol-full-match-dp
CEILING-MATCH-071,development,mountain-detour,default,5,1310500,1,1,3,5,all-patrol,complete-one-active-patrol-full-match-dp
CEILING-MATCH-071,holdout,mountain-detour,default,5,1310501,3,1,3,5,all-patrol,complete-one-active-patrol-full-match-dp
CEILING-MATCH-071,development,balanced,high,4,1320000,1,1,3,5,all-patrol,complete-one-active-patrol-full-match-dp
CEILING-MATCH-071,holdout,balanced,high,4,1320001,3,1,3,5,all-patrol,complete-one-active-patrol-full-match-dp
CEILING-MATCH-071,development,rare-late,high,4,1320100,1,1,3,5,all-patrol,complete-one-active-patrol-full-match-dp
CEILING-MATCH-071,holdout,rare-late,high,4,1320101,3,1,3,5,all-patrol,complete-one-active-patrol-full-match-dp
CEILING-MATCH-071,development,daily-choice,high,4,1320200,1,1,3,5,all-patrol,complete-one-active-patrol-full-match-dp
CEILING-MATCH-071,holdout,daily-choice,high,4,1320201,3,1,3,5,all-patrol,complete-one-active-patrol-full-match-dp
CEILING-MATCH-071,development,fuel-allocation,high,5,1320300,1,1,3,5,all-patrol,complete-one-active-patrol-full-match-dp
CEILING-MATCH-071,holdout,fuel-allocation,high,5,1320301,3,1,3,5,all-patrol,complete-one-active-patrol-full-match-dp
CEILING-MATCH-071,development,terminal-position,high,5,1320400,1,1,3,5,all-patrol,complete-one-active-patrol-full-match-dp
CEILING-MATCH-071,holdout,terminal-position,high,5,1320401,3,1,3,5,all-patrol,complete-one-active-patrol-full-match-dp
CEILING-MATCH-071,development,mountain-detour,high,5,1320500,1,1,3,5,all-patrol,complete-one-active-patrol-full-match-dp
CEILING-MATCH-071,holdout,mountain-detour,high,5,1320501,3,1,3,5,all-patrol,complete-one-active-patrol-full-match-dp
