experiment_id,split,family,fuel_profile,horizon,first_seed,count,active_agents,total_agents,spot_count,role_mode,oracle_scope
CEILING-MULTI-PATROL-085,development,balanced,low,4,1400000,1,2,3,5,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-MULTI-PATROL-085,holdout,balanced,low,4,1400001,3,2,3,5,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-MULTI-PATROL-085,development,duplicate-brand,low,4,1400100,1,2,3,5,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-MULTI-PATROL-085,holdout,duplicate-brand,low,4,1400101,3,2,3,5,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-MULTI-PATROL-085,development,stock-contention,low,4,1400200,1,2,3,5,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-MULTI-PATROL-085,holdout,stock-contention,low,4,1400201,3,2,3,5,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-MULTI-PATROL-085,development,coverage-trap,low,4,1400300,1,2,3,5,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-MULTI-PATROL-085,holdout,coverage-trap,low,4,1400301,3,2,3,5,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-MULTI-PATROL-085,development,fuel-allocation,low,4,1400400,1,2,3,5,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-MULTI-PATROL-085,holdout,fuel-allocation,low,4,1400401,3,2,3,5,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-MULTI-PATROL-085,development,terminal-separation,low,4,1400500,1,2,3,5,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-MULTI-PATROL-085,holdout,terminal-separation,low,4,1400501,3,2,3,5,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-MULTI-PATROL-085,development,balanced,default,4,1410000,1,2,3,5,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-MULTI-PATROL-085,holdout,balanced,default,4,1410001,3,2,3,5,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-MULTI-PATROL-085,development,duplicate-brand,default,4,1410100,1,2,3,5,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-MULTI-PATROL-085,holdout,duplicate-brand,default,4,1410101,3,2,3,5,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-MULTI-PATROL-085,development,stock-contention,default,4,1410200,1,2,3,5,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-MULTI-PATROL-085,holdout,stock-contention,default,4,1410201,3,2,3,5,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-MULTI-PATROL-085,development,coverage-trap,default,4,1410300,1,2,3,5,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-MULTI-PATROL-085,holdout,coverage-trap,default,4,1410301,3,2,3,5,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-MULTI-PATROL-085,development,fuel-allocation,default,4,1410400,1,2,3,5,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-MULTI-PATROL-085,holdout,fuel-allocation,default,4,1410401,3,2,3,5,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-MULTI-PATROL-085,development,terminal-separation,default,4,1410500,1,2,3,5,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-MULTI-PATROL-085,holdout,terminal-separation,default,4,1410501,3,2,3,5,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-MULTI-PATROL-085,development,balanced,high,4,1420000,1,2,3,5,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-MULTI-PATROL-085,holdout,balanced,high,4,1420001,3,2,3,5,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-MULTI-PATROL-085,development,duplicate-brand,high,4,1420100,1,2,3,5,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-MULTI-PATROL-085,holdout,duplicate-brand,high,4,1420101,3,2,3,5,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-MULTI-PATROL-085,development,stock-contention,high,4,1420200,1,2,3,5,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-MULTI-PATROL-085,holdout,stock-contention,high,4,1420201,3,2,3,5,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-MULTI-PATROL-085,development,coverage-trap,high,4,1420300,1,2,3,5,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-MULTI-PATROL-085,holdout,coverage-trap,high,4,1420301,3,2,3,5,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-MULTI-PATROL-085,development,fuel-allocation,high,4,1420400,1,2,3,5,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-MULTI-PATROL-085,holdout,fuel-allocation,high,4,1420401,3,2,3,5,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-MULTI-PATROL-085,development,terminal-separation,high,4,1420500,1,2,3,5,all-patrol,complete-two-active-patrol-full-match-dp
CEILING-MULTI-PATROL-085,holdout,terminal-separation,high,4,1420501,3,2,3,5,all-patrol,complete-two-active-patrol-full-match-dp
