experiment_id,split,family,fuel_profile,horizon,first_seed,count,active_agents,total_agents,spot_count,role_mode,oracle_scope
CEILING-TANKER-MATCH-148,development,rendezvous-chain,low,3,3000000,1,3,3,3,two-patrol-one-tanker,complete-three-agent-full-match-step-dp
CEILING-TANKER-MATCH-148,holdout,rendezvous-chain,low,3,3000001,3,3,3,3,two-patrol-one-tanker,complete-three-agent-full-match-step-dp
CEILING-TANKER-MATCH-148,development,split-duty,low,3,3000100,1,3,3,3,two-patrol-one-tanker,complete-three-agent-full-match-step-dp
CEILING-TANKER-MATCH-148,holdout,split-duty,low,3,3000101,3,3,3,3,two-patrol-one-tanker,complete-three-agent-full-match-step-dp
CEILING-TANKER-MATCH-148,development,stock-cycle,low,3,3000200,1,3,3,3,two-patrol-one-tanker,complete-three-agent-full-match-step-dp
CEILING-TANKER-MATCH-148,holdout,stock-cycle,low,3,3000201,3,3,3,3,two-patrol-one-tanker,complete-three-agent-full-match-step-dp
CEILING-TANKER-MATCH-148,development,rare-return,low,3,3000300,1,3,3,3,two-patrol-one-tanker,complete-three-agent-full-match-step-dp
CEILING-TANKER-MATCH-148,holdout,rare-return,low,3,3000301,3,3,3,3,two-patrol-one-tanker,complete-three-agent-full-match-step-dp
CEILING-TANKER-MATCH-148,development,rendezvous-chain,default,3,3010000,1,3,3,3,two-patrol-one-tanker,complete-three-agent-full-match-step-dp
CEILING-TANKER-MATCH-148,holdout,rendezvous-chain,default,3,3010001,3,3,3,3,two-patrol-one-tanker,complete-three-agent-full-match-step-dp
CEILING-TANKER-MATCH-148,development,split-duty,default,3,3010100,1,3,3,3,two-patrol-one-tanker,complete-three-agent-full-match-step-dp
CEILING-TANKER-MATCH-148,holdout,split-duty,default,3,3010101,3,3,3,3,two-patrol-one-tanker,complete-three-agent-full-match-step-dp
CEILING-TANKER-MATCH-148,development,stock-cycle,default,3,3010200,1,3,3,3,two-patrol-one-tanker,complete-three-agent-full-match-step-dp
CEILING-TANKER-MATCH-148,holdout,stock-cycle,default,3,3010201,3,3,3,3,two-patrol-one-tanker,complete-three-agent-full-match-step-dp
CEILING-TANKER-MATCH-148,development,rare-return,default,3,3010300,1,3,3,3,two-patrol-one-tanker,complete-three-agent-full-match-step-dp
CEILING-TANKER-MATCH-148,holdout,rare-return,default,3,3010301,3,3,3,3,two-patrol-one-tanker,complete-three-agent-full-match-step-dp
CEILING-TANKER-MATCH-148,development,rendezvous-chain,high,3,3020000,1,3,3,3,two-patrol-one-tanker,complete-three-agent-full-match-step-dp
CEILING-TANKER-MATCH-148,holdout,rendezvous-chain,high,3,3020001,3,3,3,3,two-patrol-one-tanker,complete-three-agent-full-match-step-dp
CEILING-TANKER-MATCH-148,development,split-duty,high,3,3020100,1,3,3,3,two-patrol-one-tanker,complete-three-agent-full-match-step-dp
CEILING-TANKER-MATCH-148,holdout,split-duty,high,3,3020101,3,3,3,3,two-patrol-one-tanker,complete-three-agent-full-match-step-dp
CEILING-TANKER-MATCH-148,development,stock-cycle,high,3,3020200,1,3,3,3,two-patrol-one-tanker,complete-three-agent-full-match-step-dp
CEILING-TANKER-MATCH-148,holdout,stock-cycle,high,3,3020201,3,3,3,3,two-patrol-one-tanker,complete-three-agent-full-match-step-dp
CEILING-TANKER-MATCH-148,development,rare-return,high,3,3020300,1,3,3,3,two-patrol-one-tanker,complete-three-agent-full-match-step-dp
CEILING-TANKER-MATCH-148,holdout,rare-return,high,3,3020301,3,3,3,3,two-patrol-one-tanker,complete-three-agent-full-match-step-dp
