experiment_id,split,family,fuel_profile,first_seed,count,agent_count,spot_count,day_count,terminal_day,role_mode,oracle_scope
CEILING-TANKER-TERMINAL-138,development,rendezvous,low,2800000,1,3,4,4,4,two-patrol-one-tanker,complete-terminal-joint-step-dp
CEILING-TANKER-TERMINAL-138,holdout,rendezvous,low,2800001,3,3,4,4,4,two-patrol-one-tanker,complete-terminal-joint-step-dp
CEILING-TANKER-TERMINAL-138,development,split-frontier,low,2800100,1,3,4,4,4,two-patrol-one-tanker,complete-terminal-joint-step-dp
CEILING-TANKER-TERMINAL-138,holdout,split-frontier,low,2800101,3,3,4,4,4,two-patrol-one-tanker,complete-terminal-joint-step-dp
CEILING-TANKER-TERMINAL-138,development,stock-contention,low,2800200,1,3,4,4,4,two-patrol-one-tanker,complete-terminal-joint-step-dp
CEILING-TANKER-TERMINAL-138,holdout,stock-contention,low,2800201,3,3,4,4,4,two-patrol-one-tanker,complete-terminal-joint-step-dp
CEILING-TANKER-TERMINAL-138,development,rare-brand,low,2800300,1,3,4,4,4,two-patrol-one-tanker,complete-terminal-joint-step-dp
CEILING-TANKER-TERMINAL-138,holdout,rare-brand,low,2800301,3,3,4,4,4,two-patrol-one-tanker,complete-terminal-joint-step-dp
CEILING-TANKER-TERMINAL-138,development,mountain-bridge,low,2800400,1,3,4,4,4,two-patrol-one-tanker,complete-terminal-joint-step-dp
CEILING-TANKER-TERMINAL-138,holdout,mountain-bridge,low,2800401,3,3,4,4,4,two-patrol-one-tanker,complete-terminal-joint-step-dp
CEILING-TANKER-TERMINAL-138,development,delayed-claim,low,2800500,1,3,4,4,4,two-patrol-one-tanker,complete-terminal-joint-step-dp
CEILING-TANKER-TERMINAL-138,holdout,delayed-claim,low,2800501,3,3,4,4,4,two-patrol-one-tanker,complete-terminal-joint-step-dp
CEILING-TANKER-TERMINAL-138,development,rendezvous,default,2810000,1,3,4,4,4,two-patrol-one-tanker,complete-terminal-joint-step-dp
CEILING-TANKER-TERMINAL-138,holdout,rendezvous,default,2810001,3,3,4,4,4,two-patrol-one-tanker,complete-terminal-joint-step-dp
CEILING-TANKER-TERMINAL-138,development,split-frontier,default,2810100,1,3,4,4,4,two-patrol-one-tanker,complete-terminal-joint-step-dp
CEILING-TANKER-TERMINAL-138,holdout,split-frontier,default,2810101,3,3,4,4,4,two-patrol-one-tanker,complete-terminal-joint-step-dp
CEILING-TANKER-TERMINAL-138,development,stock-contention,default,2810200,1,3,4,4,4,two-patrol-one-tanker,complete-terminal-joint-step-dp
CEILING-TANKER-TERMINAL-138,holdout,stock-contention,default,2810201,3,3,4,4,4,two-patrol-one-tanker,complete-terminal-joint-step-dp
CEILING-TANKER-TERMINAL-138,development,rare-brand,default,2810300,1,3,4,4,4,two-patrol-one-tanker,complete-terminal-joint-step-dp
CEILING-TANKER-TERMINAL-138,holdout,rare-brand,default,2810301,3,3,4,4,4,two-patrol-one-tanker,complete-terminal-joint-step-dp
CEILING-TANKER-TERMINAL-138,development,mountain-bridge,default,2810400,1,3,4,4,4,two-patrol-one-tanker,complete-terminal-joint-step-dp
CEILING-TANKER-TERMINAL-138,holdout,mountain-bridge,default,2810401,3,3,4,4,4,two-patrol-one-tanker,complete-terminal-joint-step-dp
CEILING-TANKER-TERMINAL-138,development,delayed-claim,default,2810500,1,3,4,4,4,two-patrol-one-tanker,complete-terminal-joint-step-dp
CEILING-TANKER-TERMINAL-138,holdout,delayed-claim,default,2810501,3,3,4,4,4,two-patrol-one-tanker,complete-terminal-joint-step-dp
CEILING-TANKER-TERMINAL-138,development,rendezvous,high,2820000,1,3,4,4,4,two-patrol-one-tanker,complete-terminal-joint-step-dp
CEILING-TANKER-TERMINAL-138,holdout,rendezvous,high,2820001,3,3,4,4,4,two-patrol-one-tanker,complete-terminal-joint-step-dp
CEILING-TANKER-TERMINAL-138,development,split-frontier,high,2820100,1,3,4,4,4,two-patrol-one-tanker,complete-terminal-joint-step-dp
CEILING-TANKER-TERMINAL-138,holdout,split-frontier,high,2820101,3,3,4,4,4,two-patrol-one-tanker,complete-terminal-joint-step-dp
CEILING-TANKER-TERMINAL-138,development,stock-contention,high,2820200,1,3,4,4,4,two-patrol-one-tanker,complete-terminal-joint-step-dp
CEILING-TANKER-TERMINAL-138,holdout,stock-contention,high,2820201,3,3,4,4,4,two-patrol-one-tanker,complete-terminal-joint-step-dp
CEILING-TANKER-TERMINAL-138,development,rare-brand,high,2820300,1,3,4,4,4,two-patrol-one-tanker,complete-terminal-joint-step-dp
CEILING-TANKER-TERMINAL-138,holdout,rare-brand,high,2820301,3,3,4,4,4,two-patrol-one-tanker,complete-terminal-joint-step-dp
CEILING-TANKER-TERMINAL-138,development,mountain-bridge,high,2820400,1,3,4,4,4,two-patrol-one-tanker,complete-terminal-joint-step-dp
CEILING-TANKER-TERMINAL-138,holdout,mountain-bridge,high,2820401,3,3,4,4,4,two-patrol-one-tanker,complete-terminal-joint-step-dp
CEILING-TANKER-TERMINAL-138,development,delayed-claim,high,2820500,1,3,4,4,4,two-patrol-one-tanker,complete-terminal-joint-step-dp
CEILING-TANKER-TERMINAL-138,holdout,delayed-claim,high,2820501,3,3,4,4,4,two-patrol-one-tanker,complete-terminal-joint-step-dp
