experiment_id,split,family,fuel_profile,players,horizon,first_seed,count,active_agents,total_agents,spot_count,role_mode,oracle_scope
CEILING-THREE-ACTIVE-PATROL-306,development,three-balanced,low,8,4,10500000,2,3,3,5,all-patrol,complete-three-active-patrol-roadless-full-match-dp
CEILING-THREE-ACTIVE-PATROL-306,development,three-duplicate,low,9,4,10500100,2,3,3,5,all-patrol,complete-three-active-patrol-roadless-full-match-dp
CEILING-THREE-ACTIVE-PATROL-306,development,three-stock,default,10,4,10500200,2,3,3,5,all-patrol,complete-three-active-patrol-roadless-full-match-dp
CEILING-THREE-ACTIVE-PATROL-306,development,three-coverage,default,8,4,10500300,2,3,3,5,all-patrol,complete-three-active-patrol-roadless-full-match-dp
CEILING-THREE-ACTIVE-PATROL-306,development,three-fuel,high,9,4,10500400,2,3,3,5,all-patrol,complete-three-active-patrol-roadless-full-match-dp
CEILING-THREE-ACTIVE-PATROL-306,development,three-terminal,high,10,4,10500500,2,3,3,5,all-patrol,complete-three-active-patrol-roadless-full-match-dp
CEILING-THREE-ACTIVE-PATROL-306,holdout,three-balanced,low,10,4,10510000,4,3,3,5,all-patrol,complete-three-active-patrol-roadless-full-match-dp
CEILING-THREE-ACTIVE-PATROL-306,holdout,three-duplicate,default,8,4,10510100,4,3,3,5,all-patrol,complete-three-active-patrol-roadless-full-match-dp
CEILING-THREE-ACTIVE-PATROL-306,holdout,three-stock,high,9,4,10510200,4,3,3,5,all-patrol,complete-three-active-patrol-roadless-full-match-dp
CEILING-THREE-ACTIVE-PATROL-306,holdout,three-coverage,low,10,4,10510300,4,3,3,5,all-patrol,complete-three-active-patrol-roadless-full-match-dp
CEILING-THREE-ACTIVE-PATROL-306,holdout,three-fuel,default,8,4,10510400,4,3,3,5,all-patrol,complete-three-active-patrol-roadless-full-match-dp
CEILING-THREE-ACTIVE-PATROL-306,holdout,three-terminal,high,9,4,10510500,4,3,3,5,all-patrol,complete-three-active-patrol-roadless-full-match-dp
