experiment_id,split,family,fuel_profile,players,horizon,first_seed,count,active_agents,total_agents,spot_count,role_mode,oracle_scope
CEILING-THREE-ACTIVE-PATROL-LOW-FUEL-PREVALENCE-312,development,three-balanced,low,8,4,10700000,2,3,3,5,all-patrol,complete-three-active-patrol-roadless-full-match-dp
CEILING-THREE-ACTIVE-PATROL-LOW-FUEL-PREVALENCE-312,development,three-duplicate,low,9,4,10700100,2,3,3,5,all-patrol,complete-three-active-patrol-roadless-full-match-dp
CEILING-THREE-ACTIVE-PATROL-LOW-FUEL-PREVALENCE-312,development,three-stock,low,10,4,10700200,2,3,3,5,all-patrol,complete-three-active-patrol-roadless-full-match-dp
CEILING-THREE-ACTIVE-PATROL-LOW-FUEL-PREVALENCE-312,development,three-coverage,low,8,4,10700300,2,3,3,5,all-patrol,complete-three-active-patrol-roadless-full-match-dp
CEILING-THREE-ACTIVE-PATROL-LOW-FUEL-PREVALENCE-312,development,three-fuel,low,9,4,10700400,2,3,3,5,all-patrol,complete-three-active-patrol-roadless-full-match-dp
CEILING-THREE-ACTIVE-PATROL-LOW-FUEL-PREVALENCE-312,development,three-terminal,low,10,4,10700500,2,3,3,5,all-patrol,complete-three-active-patrol-roadless-full-match-dp
CEILING-THREE-ACTIVE-PATROL-LOW-FUEL-PREVALENCE-312,holdout,three-balanced,low,10,4,10710000,4,3,3,5,all-patrol,complete-three-active-patrol-roadless-full-match-dp
CEILING-THREE-ACTIVE-PATROL-LOW-FUEL-PREVALENCE-312,holdout,three-duplicate,low,8,4,10710100,4,3,3,5,all-patrol,complete-three-active-patrol-roadless-full-match-dp
CEILING-THREE-ACTIVE-PATROL-LOW-FUEL-PREVALENCE-312,holdout,three-stock,low,9,4,10710200,4,3,3,5,all-patrol,complete-three-active-patrol-roadless-full-match-dp
CEILING-THREE-ACTIVE-PATROL-LOW-FUEL-PREVALENCE-312,holdout,three-coverage,low,10,4,10710300,4,3,3,5,all-patrol,complete-three-active-patrol-roadless-full-match-dp
CEILING-THREE-ACTIVE-PATROL-LOW-FUEL-PREVALENCE-312,holdout,three-fuel,low,8,4,10710400,4,3,3,5,all-patrol,complete-three-active-patrol-roadless-full-match-dp
CEILING-THREE-ACTIVE-PATROL-LOW-FUEL-PREVALENCE-312,holdout,three-terminal,low,9,4,10710500,4,3,3,5,all-patrol,complete-three-active-patrol-roadless-full-match-dp
