experiment_id,split,family,fuel_profile,horizon,first_seed,count,active_agents,total_agents,spot_count,role_mode,oracle_scope
CEILING-TRAFFIC-INDEPENDENT-124,development,traffic-balanced,low,4,2300000,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
CEILING-TRAFFIC-INDEPENDENT-124,holdout,traffic-balanced,low,4,2300001,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
CEILING-TRAFFIC-INDEPENDENT-124,development,traffic-duplicate,low,4,2300100,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
CEILING-TRAFFIC-INDEPENDENT-124,holdout,traffic-duplicate,low,4,2300101,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
CEILING-TRAFFIC-INDEPENDENT-124,development,threshold-loop,low,4,2300200,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
CEILING-TRAFFIC-INDEPENDENT-124,holdout,threshold-loop,low,4,2300201,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
CEILING-TRAFFIC-INDEPENDENT-124,development,jam-loop,low,4,2300300,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
CEILING-TRAFFIC-INDEPENDENT-124,holdout,jam-loop,low,4,2300301,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
CEILING-TRAFFIC-INDEPENDENT-124,development,traffic-stock,low,4,2300400,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
CEILING-TRAFFIC-INDEPENDENT-124,holdout,traffic-stock,low,4,2300401,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
CEILING-TRAFFIC-INDEPENDENT-124,development,traffic-terminal,low,4,2300500,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
CEILING-TRAFFIC-INDEPENDENT-124,holdout,traffic-terminal,low,4,2300501,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
