experiment_id,split,family,fuel_profile,horizon,first_seed,count,active_agents,total_agents,spot_count,role_mode,oracle_scope
CEILING-TRAFFIC-PATROL-097,development,traffic-balanced,low,4,1700000,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
CEILING-TRAFFIC-PATROL-097,holdout,traffic-balanced,low,4,1700001,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
CEILING-TRAFFIC-PATROL-097,development,traffic-duplicate,low,4,1700100,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
CEILING-TRAFFIC-PATROL-097,holdout,traffic-duplicate,low,4,1700101,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
CEILING-TRAFFIC-PATROL-097,development,threshold-loop,low,4,1700200,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
CEILING-TRAFFIC-PATROL-097,holdout,threshold-loop,low,4,1700201,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
CEILING-TRAFFIC-PATROL-097,development,jam-loop,low,4,1700300,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
CEILING-TRAFFIC-PATROL-097,holdout,jam-loop,low,4,1700301,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
CEILING-TRAFFIC-PATROL-097,development,traffic-stock,low,4,1700400,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
CEILING-TRAFFIC-PATROL-097,holdout,traffic-stock,low,4,1700401,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
CEILING-TRAFFIC-PATROL-097,development,traffic-terminal,low,4,1700500,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
CEILING-TRAFFIC-PATROL-097,holdout,traffic-terminal,low,4,1700501,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
CEILING-TRAFFIC-PATROL-097,development,traffic-balanced,default,4,1710000,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
CEILING-TRAFFIC-PATROL-097,holdout,traffic-balanced,default,4,1710001,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
CEILING-TRAFFIC-PATROL-097,development,traffic-duplicate,default,4,1710100,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
CEILING-TRAFFIC-PATROL-097,holdout,traffic-duplicate,default,4,1710101,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
CEILING-TRAFFIC-PATROL-097,development,threshold-loop,default,4,1710200,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
CEILING-TRAFFIC-PATROL-097,holdout,threshold-loop,default,4,1710201,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
CEILING-TRAFFIC-PATROL-097,development,jam-loop,default,4,1710300,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
CEILING-TRAFFIC-PATROL-097,holdout,jam-loop,default,4,1710301,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
CEILING-TRAFFIC-PATROL-097,development,traffic-stock,default,4,1710400,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
CEILING-TRAFFIC-PATROL-097,holdout,traffic-stock,default,4,1710401,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
CEILING-TRAFFIC-PATROL-097,development,traffic-terminal,default,4,1710500,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
CEILING-TRAFFIC-PATROL-097,holdout,traffic-terminal,default,4,1710501,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
CEILING-TRAFFIC-PATROL-097,development,traffic-balanced,high,4,1720000,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
CEILING-TRAFFIC-PATROL-097,holdout,traffic-balanced,high,4,1720001,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
CEILING-TRAFFIC-PATROL-097,development,traffic-duplicate,high,4,1720100,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
CEILING-TRAFFIC-PATROL-097,holdout,traffic-duplicate,high,4,1720101,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
CEILING-TRAFFIC-PATROL-097,development,threshold-loop,high,4,1720200,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
CEILING-TRAFFIC-PATROL-097,holdout,threshold-loop,high,4,1720201,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
CEILING-TRAFFIC-PATROL-097,development,jam-loop,high,4,1720300,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
CEILING-TRAFFIC-PATROL-097,holdout,jam-loop,high,4,1720301,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
CEILING-TRAFFIC-PATROL-097,development,traffic-stock,high,4,1720400,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
CEILING-TRAFFIC-PATROL-097,holdout,traffic-stock,high,4,1720401,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
CEILING-TRAFFIC-PATROL-097,development,traffic-terminal,high,4,1720500,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
CEILING-TRAFFIC-PATROL-097,holdout,traffic-terminal,high,4,1720501,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
