track,suite,first_seed,seeds,role_mode,role_mask,budget_ms,role_ms,purpose
general-road-fixed,general,2601000,6,fixed,0,5000,5000,"fresh road-containing 8x8; six families; all patrol"
general-road-native,general,2601000,6,exhaustive,0,5000,5000,"same fresh road-containing 8x8; structural native role protection"
general-roadless-fixed,general-roadless,2602000,6,fixed,0,5000,5000,"fresh roadless 8x8; six families; directly activates deterministic scenario, no-tanker upper and F0 intake"
general-roadless-native,general-roadless,2602000,6,exhaustive,0,5000,5000,"same fresh roadless 8x8; structural native role protection"
btc-low-fixed,btc-lowfuel,2603000,6,fixed,0,5000,5000,"fresh 32x32 ten-day low fuel; six families; all patrol"
btc-low-native,btc-lowfuel,2603000,6,exhaustive,0,5000,5000,"same fresh 32x32 low fuel; structural native role protection"
btc-default-fixed,btc-large,2604000,6,fixed,0,5000,5000,"fresh 32x32 ten-day default fuel; six families; all patrol"
btc-default-native,btc-large,2604000,6,exhaustive,0,5000,5000,"same fresh 32x32 default fuel; structural native role protection"
btc-high-fixed,btc-highfuel,2605000,6,fixed,0,5000,5000,"fresh 32x32 ten-day high fuel; six families; all patrol"
btc-high-native,btc-highfuel,2605000,6,exhaustive,0,5000,5000,"same fresh 32x32 high fuel; structural native role protection"
