experiment_id,split,lane,suite,role_mode,role_mask,first_submission_ms,total_response_ms,first_seed,seeds,authority,gate
DEADLINE-ANYTIME-167,consumed,166-general,general,fixed,8,5000,15000,4300000,6,attribution-only,protect-two-known-losses
DEADLINE-ANYTIME-167,consumed,166-btc-default,btc-large,fixed,128,5000,15000,4310000,1,attribution-only,retain-observed-six-serving-upside-if-certified
DEADLINE-ANYTIME-167,consumed,166-btc-low,btc-lowfuel,fixed,128,5000,15000,4310100,1,attribution-only,retain-observed-one-serving-upside-if-certified
DEADLINE-ANYTIME-167,consumed,166-btc-high,btc-highfuel,fixed,128,5000,15000,4310200,1,attribution-only,do-not-resubmit-score-tie
DEADLINE-ANYTIME-167,development,fresh-general,general,fixed,8,5000,15000,4370000,18,local-falsification,paired-official-score-protected-floor-zero-invalid
DEADLINE-ANYTIME-167,development,fresh-btc-default,btc-large,fixed,128,5000,15000,4371000,2,local-falsification,paired-official-score-protected-floor-zero-invalid
DEADLINE-ANYTIME-167,development,fresh-btc-low,btc-lowfuel,fixed,128,5000,15000,4371100,2,local-falsification,paired-official-score-protected-floor-zero-invalid
DEADLINE-ANYTIME-167,development,fresh-btc-high,btc-highfuel,fixed,128,5000,15000,4371200,2,local-falsification,paired-official-score-protected-floor-zero-invalid
DEADLINE-ANYTIME-167,holdout,general-15s,general,fixed,8,5000,15000,4380000,54,sealed,global-wtl-first-tier-gain-loss-tail
DEADLINE-ANYTIME-167,holdout,general-60s,general,fixed,8,5000,60000,4381000,54,sealed-separate,open-only-after-15s-holdout-and-authoritative-window
DEADLINE-ANYTIME-167,holdout,btc-default-15s,btc-large,fixed,128,5000,15000,4390000,6,sealed,global-wtl-first-tier-gain-loss-tail
DEADLINE-ANYTIME-167,holdout,btc-low-15s,btc-lowfuel,fixed,128,5000,15000,4391000,6,sealed,global-wtl-first-tier-gain-loss-tail
DEADLINE-ANYTIME-167,holdout,btc-high-15s,btc-highfuel,fixed,128,5000,15000,4392000,6,sealed,global-wtl-first-tier-gain-loss-tail
DEADLINE-ANYTIME-167,holdout,btc-default-60s,btc-large,fixed,128,5000,60000,4400000,6,sealed-separate,open-only-after-15s-holdout-and-authoritative-window
DEADLINE-ANYTIME-167,holdout,btc-low-60s,btc-lowfuel,fixed,128,5000,60000,4401000,6,sealed-separate,open-only-after-15s-holdout-and-authoritative-window
DEADLINE-ANYTIME-167,holdout,btc-high-60s,btc-highfuel,fixed,128,5000,60000,4402000,6,sealed-separate,open-only-after-15s-holdout-and-authoritative-window
DEADLINE-ANYTIME-167,btc,target-host-15s,official,fixed-or-assigned,0,5000,15000,0,1,btc-authoritative,all-valid-no-emergency-no-overrun-resubmit-only-on-certificate
