experiment_id,split,family,fuel_profile,horizon,first_seed,count,active_agents,total_agents,spot_count,role_mode,oracle_scope
ORACLE-BOUNDARY-DOMINANCE-175,development,adversarial-balanced,low,4,1720000,1,1,3,6,all-patrol,complete-public-maxmin-boundary-dominance-full-match-dp
ORACLE-BOUNDARY-DOMINANCE-175,holdout,adversarial-balanced,low,4,1720001,3,1,3,6,all-patrol,complete-public-maxmin-boundary-dominance-full-match-dp
ORACLE-BOUNDARY-DOMINANCE-175,development,adversarial-balanced,default,4,1720100,1,1,3,6,all-patrol,complete-public-maxmin-boundary-dominance-full-match-dp
ORACLE-BOUNDARY-DOMINANCE-175,holdout,adversarial-balanced,default,4,1720101,3,1,3,6,all-patrol,complete-public-maxmin-boundary-dominance-full-match-dp
ORACLE-BOUNDARY-DOMINANCE-175,development,adversarial-balanced,high,4,1720200,1,1,3,6,all-patrol,complete-public-maxmin-boundary-dominance-full-match-dp
ORACLE-BOUNDARY-DOMINANCE-175,holdout,adversarial-balanced,high,4,1720201,3,1,3,6,all-patrol,complete-public-maxmin-boundary-dominance-full-match-dp
ORACLE-BOUNDARY-DOMINANCE-175,development,adversarial-threshold,low,4,1721000,1,1,3,6,all-patrol,complete-public-maxmin-boundary-dominance-full-match-dp
ORACLE-BOUNDARY-DOMINANCE-175,holdout,adversarial-threshold,low,4,1721001,3,1,3,6,all-patrol,complete-public-maxmin-boundary-dominance-full-match-dp
ORACLE-BOUNDARY-DOMINANCE-175,development,adversarial-threshold,default,4,1721100,1,1,3,6,all-patrol,complete-public-maxmin-boundary-dominance-full-match-dp
ORACLE-BOUNDARY-DOMINANCE-175,holdout,adversarial-threshold,default,4,1721101,3,1,3,6,all-patrol,complete-public-maxmin-boundary-dominance-full-match-dp
ORACLE-BOUNDARY-DOMINANCE-175,development,adversarial-threshold,high,4,1721200,1,1,3,6,all-patrol,complete-public-maxmin-boundary-dominance-full-match-dp
ORACLE-BOUNDARY-DOMINANCE-175,holdout,adversarial-threshold,high,4,1721201,3,1,3,6,all-patrol,complete-public-maxmin-boundary-dominance-full-match-dp
ORACLE-BOUNDARY-DOMINANCE-175,development,adversarial-terminal,low,4,1722000,1,1,3,6,all-patrol,complete-public-maxmin-boundary-dominance-full-match-dp
ORACLE-BOUNDARY-DOMINANCE-175,holdout,adversarial-terminal,low,4,1722001,3,1,3,6,all-patrol,complete-public-maxmin-boundary-dominance-full-match-dp
ORACLE-BOUNDARY-DOMINANCE-175,development,adversarial-terminal,default,4,1722100,1,1,3,6,all-patrol,complete-public-maxmin-boundary-dominance-full-match-dp
ORACLE-BOUNDARY-DOMINANCE-175,holdout,adversarial-terminal,default,4,1722101,3,1,3,6,all-patrol,complete-public-maxmin-boundary-dominance-full-match-dp
ORACLE-BOUNDARY-DOMINANCE-175,development,adversarial-terminal,high,4,1722200,1,1,3,6,all-patrol,complete-public-maxmin-boundary-dominance-full-match-dp
ORACLE-BOUNDARY-DOMINANCE-175,holdout,adversarial-terminal,high,4,1722201,3,1,3,6,all-patrol,complete-public-maxmin-boundary-dominance-full-match-dp
