experiment_id,split,source,tier,map_side,days,agents,spot_counts,fuel_profiles,role_modes,first_seed,count,scope,authority
PERF-DAY-MASTER-DEDUP-198,equivalence,complete-master,all,0,0,0,configured,configured,fixed,0,1,key-equality-complete-master-stable-id-score-plan-diagnostics,development
PERF-DAY-MASTER-DEDUP-198,equivalence,archived-btc,all,0,0,0,configured,configured,recorded,0,37,replay-validity-transition-reconciliation-byte-actions,opened-archive
PERF-DAY-MASTER-DEDUP-198,attribution,consumed-btc-m3908,very-hard,32,10,8,30,high,fixed-mask2,0,1,protected-reserve-parent-versus-day-only-flat-key,opened-consumed
PERF-DAY-MASTER-DEDUP-198,development,new-stratified,easy,14,5,4,12|14,low|default|high,fixed|native,4860000,12,parent-versus-day-only-flat-membership-key,fresh-development
PERF-DAY-MASTER-DEDUP-198,development,new-stratified,medium,20,7,4,12|18,low|default|high,fixed|native,4861000,12,parent-versus-day-only-flat-membership-key,fresh-development
PERF-DAY-MASTER-DEDUP-198,development,new-stratified,hard,26,8,6,14|18|24,low|default|high,fixed|native,4862000,18,parent-versus-day-only-flat-membership-key,fresh-development
PERF-DAY-MASTER-DEDUP-198,development,new-stratified,very-hard,32,10,8,18|24|30,low|default|high,fixed|native,4863000,18,parent-versus-day-only-flat-membership-key,fresh-development
PERF-DAY-MASTER-DEDUP-198,holdout,new-stratified,easy,14,5,4,12|14,low|default|high,fixed|native,4870000,24,paired-score-validity-tail-and-parent-protection,sealed
PERF-DAY-MASTER-DEDUP-198,holdout,new-stratified,medium,20,7,4,12|18,low|default|high,fixed|native,4871000,24,paired-score-validity-tail-and-parent-protection,sealed
PERF-DAY-MASTER-DEDUP-198,holdout,new-stratified,hard,26,8,6,14|18|24,low|default|high,fixed|native,4872000,30,paired-score-validity-tail-and-parent-protection,sealed
PERF-DAY-MASTER-DEDUP-198,holdout,new-stratified,very-hard,32,10,8,18|24|30,low|default|high,fixed|native,4873000,30,paired-score-validity-tail-and-parent-protection,sealed
PERF-DAY-MASTER-DEDUP-198,btc,target-host,advanced-config,32,10,8,30,high,native,0,2,day-master-throughput-score-lifecycle-and-protected-incumbent,btc-authoritative
