experiment_id,split,suite,first_seed,count,budget_ms,role_ms,role_mode,fuel_profile,spot_count,public_window_ms,scope,authority
PERF-DIVERSITY-DISTANCE-CACHE-235,development,stratified-easy,9430000,8,3375,5000,fixed,generated,12,5000,paired-cache-vs-parent,fresh-development
PERF-DIVERSITY-DISTANCE-CACHE-235,development,stratified-easy,9430100,8,3375,5000,deadline,generated,12,5000,paired-cache-vs-parent,fresh-development
PERF-DIVERSITY-DISTANCE-CACHE-235,development,stratified-medium,9431000,8,3375,5000,fixed,generated,18,5000,paired-cache-vs-parent,fresh-development
PERF-DIVERSITY-DISTANCE-CACHE-235,development,stratified-medium,9431100,8,3375,5000,deadline,generated,18,5000,paired-cache-vs-parent,fresh-development
PERF-DIVERSITY-DISTANCE-CACHE-235,development,stratified-hard,9432000,7,3375,5000,fixed,generated,24,15000,paired-cache-vs-parent,fresh-development
PERF-DIVERSITY-DISTANCE-CACHE-235,development,stratified-hard,9432100,7,3375,5000,deadline,generated,24,15000,paired-cache-vs-parent,fresh-development
PERF-DIVERSITY-DISTANCE-CACHE-235,development,stratified-very-hard,9433000,7,3375,5000,fixed,generated,30,15000,paired-cache-vs-parent,fresh-development
PERF-DIVERSITY-DISTANCE-CACHE-235,development,stratified-very-hard,9433100,7,3375,5000,deadline,generated,30,15000,paired-cache-vs-parent,fresh-development
PERF-DIVERSITY-DISTANCE-CACHE-235,holdout,stratified-easy,9440000,14,3375,5000,fixed,generated,12,5000,paired-cache-vs-parent,sealed-holdout
PERF-DIVERSITY-DISTANCE-CACHE-235,holdout,stratified-easy,9440100,14,3375,5000,deadline,generated,12,5000,paired-cache-vs-parent,sealed-holdout
PERF-DIVERSITY-DISTANCE-CACHE-235,holdout,stratified-medium,9441000,14,3375,5000,fixed,generated,18,5000,paired-cache-vs-parent,sealed-holdout
PERF-DIVERSITY-DISTANCE-CACHE-235,holdout,stratified-medium,9441100,14,3375,5000,deadline,generated,18,5000,paired-cache-vs-parent,sealed-holdout
PERF-DIVERSITY-DISTANCE-CACHE-235,holdout,stratified-hard,9442000,13,3375,5000,fixed,generated,24,15000,paired-cache-vs-parent,sealed-holdout
PERF-DIVERSITY-DISTANCE-CACHE-235,holdout,stratified-hard,9442100,13,3375,5000,deadline,generated,24,15000,paired-cache-vs-parent,sealed-holdout
PERF-DIVERSITY-DISTANCE-CACHE-235,holdout,stratified-very-hard,9443000,13,3375,5000,fixed,generated,30,15000,paired-cache-vs-parent,sealed-holdout
PERF-DIVERSITY-DISTANCE-CACHE-235,holdout,stratified-very-hard,9443100,13,3375,5000,deadline,generated,30,15000,paired-cache-vs-parent,sealed-holdout
