experiment_id,split,suite,first_seed,count,budget_ms,role_ms,role_mode,fuel_profile,spot_count,public_window_ms,scope,authority
PERF-DIVERSITY-SPARSE-SIGNATURE-236,development,stratified-easy,9450000,8,3375,5000,fixed,generated,12,5000,paired-signature-vs-parent,fresh-development
PERF-DIVERSITY-SPARSE-SIGNATURE-236,development,stratified-easy,9450100,8,3375,5000,deadline,generated,12,5000,paired-signature-vs-parent,fresh-development
PERF-DIVERSITY-SPARSE-SIGNATURE-236,development,stratified-medium,9451000,8,3375,5000,fixed,generated,18,5000,paired-signature-vs-parent,fresh-development
PERF-DIVERSITY-SPARSE-SIGNATURE-236,development,stratified-medium,9451100,8,3375,5000,deadline,generated,18,5000,paired-signature-vs-parent,fresh-development
PERF-DIVERSITY-SPARSE-SIGNATURE-236,development,stratified-hard,9452000,7,3375,5000,fixed,generated,24,15000,paired-signature-vs-parent,fresh-development
PERF-DIVERSITY-SPARSE-SIGNATURE-236,development,stratified-hard,9452100,7,3375,5000,deadline,generated,24,15000,paired-signature-vs-parent,fresh-development
PERF-DIVERSITY-SPARSE-SIGNATURE-236,development,stratified-very-hard,9453000,7,3375,5000,fixed,generated,30,15000,paired-signature-vs-parent,fresh-development
PERF-DIVERSITY-SPARSE-SIGNATURE-236,development,stratified-very-hard,9453100,7,3375,5000,deadline,generated,30,15000,paired-signature-vs-parent,fresh-development
PERF-DIVERSITY-SPARSE-SIGNATURE-236,holdout,stratified-easy,9460000,14,3375,5000,fixed,generated,12,5000,paired-signature-vs-parent,sealed-holdout
PERF-DIVERSITY-SPARSE-SIGNATURE-236,holdout,stratified-easy,9460100,14,3375,5000,deadline,generated,12,5000,paired-signature-vs-parent,sealed-holdout
PERF-DIVERSITY-SPARSE-SIGNATURE-236,holdout,stratified-medium,9461000,14,3375,5000,fixed,generated,18,5000,paired-signature-vs-parent,sealed-holdout
PERF-DIVERSITY-SPARSE-SIGNATURE-236,holdout,stratified-medium,9461100,14,3375,5000,deadline,generated,18,5000,paired-signature-vs-parent,sealed-holdout
PERF-DIVERSITY-SPARSE-SIGNATURE-236,holdout,stratified-hard,9462000,13,3375,5000,fixed,generated,24,15000,paired-signature-vs-parent,sealed-holdout
PERF-DIVERSITY-SPARSE-SIGNATURE-236,holdout,stratified-hard,9462100,13,3375,5000,deadline,generated,24,15000,paired-signature-vs-parent,sealed-holdout
PERF-DIVERSITY-SPARSE-SIGNATURE-236,holdout,stratified-very-hard,9463000,13,3375,5000,fixed,generated,30,15000,paired-signature-vs-parent,sealed-holdout
PERF-DIVERSITY-SPARSE-SIGNATURE-236,holdout,stratified-very-hard,9463100,13,3375,5000,deadline,generated,30,15000,paired-signature-vs-parent,sealed-holdout
