experiment_id,split,source,tier,map_side,days,agents,spot_counts,fuel_profiles,role_modes,first_seed,count,scope,authority
PERF-MASTER-DEDUP-194,equivalence,archived-btc,all,0,0,0,configured,configured,recorded,0,37,byte-score-state-validator-and-dedup-membership,opened-archive
PERF-MASTER-DEDUP-194,consumed,btc-replay,very-hard,32,10,8,30,high,native,0,1,m-3897-master-leaf-attribution,opened-191
PERF-MASTER-DEDUP-194,development,new-stratified,easy,14,5,4,12|14,low|default|high,fixed|native,4770000,6,parent-versus-flat-dedup,fresh-development
PERF-MASTER-DEDUP-194,development,new-stratified,medium,20,7,4,12|18,low|default|high,fixed|native,4771000,6,parent-versus-flat-dedup,fresh-development
PERF-MASTER-DEDUP-194,development,new-stratified,hard,26,8,6,14|18|24,low|default|high,fixed|native,4772000,9,parent-versus-flat-dedup,fresh-development
PERF-MASTER-DEDUP-194,development,new-stratified,very-hard,32,10,8,18|24|30,low|default|high,fixed|native,4773000,9,parent-versus-flat-dedup,fresh-development
PERF-MASTER-DEDUP-194,holdout,new-stratified,easy,14,5,4,12|14,low|default|high,fixed|native,4780000,12,paired-equivalence-score-and-tail,sealed
PERF-MASTER-DEDUP-194,holdout,new-stratified,medium,20,7,4,12|18,low|default|high,fixed|native,4781000,12,paired-equivalence-score-and-tail,sealed
PERF-MASTER-DEDUP-194,holdout,new-stratified,hard,26,8,6,14|18|24,low|default|high,fixed|native,4782000,18,paired-equivalence-score-and-tail,sealed
PERF-MASTER-DEDUP-194,holdout,new-stratified,very-hard,32,10,8,18|24|30,low|default|high,fixed|native,4783000,18,paired-equivalence-score-and-tail,sealed
PERF-MASTER-DEDUP-194,btc,target-host,public-match,0,0,0,configured,configured,native,0,1,leaf-throughput-response-and-score,btc-authoritative
