experiment_id,split,source,tier,map_side,days,agents,spot_counts,fuel_profiles,role_modes,first_seed,count,scope,authority
RUNTIME-PROTECTED-RESERVE-197,attribution,consumed-btc-m3908,very-hard,32,10,8,30,high,fixed-mask2,0,1,parent1600-incumbent-plus-protected-refiner,opened-consumed
RUNTIME-PROTECTED-RESERVE-197,development,new-stratified,easy,14,5,4,12|14,low|default|high,fixed|native,4840000,12,parent-incumbent-versus-protected-refiner,fresh-development
RUNTIME-PROTECTED-RESERVE-197,development,new-stratified,medium,20,7,4,12|18,low|default|high,fixed|native,4841000,12,parent-incumbent-versus-protected-refiner,fresh-development
RUNTIME-PROTECTED-RESERVE-197,development,new-stratified,hard,26,8,6,14|18|24,low|default|high,fixed|native,4842000,18,parent-incumbent-versus-protected-refiner,fresh-development
RUNTIME-PROTECTED-RESERVE-197,development,new-stratified,very-hard,32,10,8,18|24|30,low|default|high,fixed|native,4843000,18,parent-incumbent-versus-protected-refiner,fresh-development
RUNTIME-PROTECTED-RESERVE-197,holdout,new-stratified,easy,14,5,4,12|14,low|default|high,fixed|native,4850000,24,paired-score-byte-parent-validity-and-tail,sealed
RUNTIME-PROTECTED-RESERVE-197,holdout,new-stratified,medium,20,7,4,12|18,low|default|high,fixed|native,4851000,24,paired-score-byte-parent-validity-and-tail,sealed
RUNTIME-PROTECTED-RESERVE-197,holdout,new-stratified,hard,26,8,6,14|18|24,low|default|high,fixed|native,4852000,30,paired-score-byte-parent-validity-and-tail,sealed
RUNTIME-PROTECTED-RESERVE-197,holdout,new-stratified,very-hard,32,10,8,18|24|30,low|default|high,fixed|native,4853000,30,paired-score-byte-parent-validity-and-tail,sealed
RUNTIME-PROTECTED-RESERVE-197,btc,target-host,advanced-config,32,10,8,30,high,native,0,2,absolute5000ms-base-identity-refiner-takeover-ack-validity,btc-authoritative
