experiment_id,split,suite,first_seed,count,budget_ms,role_ms,role_mode,role_mask,fuel_profile,spot_count,players,scope,authority
SCORE-ATOMIC-MULTI-WAYPOINT-TANKER-GROUP-287,development,general,9980000,3,3375,5000,fixed,1,low,0,8,atomic-multi-waypoint-tanker-group,fresh-development
SCORE-ATOMIC-MULTI-WAYPOINT-TANKER-GROUP-287,development,general,9980100,3,3375,5000,fixed,2,generated,0,9,atomic-multi-waypoint-tanker-group,fresh-development
SCORE-ATOMIC-MULTI-WAYPOINT-TANKER-GROUP-287,development,multiteam-12,9981000,3,3375,5000,fixed,4,low,12,10,atomic-multi-waypoint-tanker-group,fresh-development
SCORE-ATOMIC-MULTI-WAYPOINT-TANKER-GROUP-287,development,multiteam-12,9981100,3,3375,5000,fixed,8,high,12,8,atomic-multi-waypoint-tanker-group,fresh-development
SCORE-ATOMIC-MULTI-WAYPOINT-TANKER-GROUP-287,development,multiteam-16,9982000,3,3375,5000,fixed,1,default,16,9,atomic-multi-waypoint-tanker-group,fresh-development
SCORE-ATOMIC-MULTI-WAYPOINT-TANKER-GROUP-287,development,multiteam-16,9982100,3,3375,5000,fixed,16,low,16,10,atomic-multi-waypoint-tanker-group,fresh-development
SCORE-ATOMIC-MULTI-WAYPOINT-TANKER-GROUP-287,development,multiteam-24,9983000,2,3375,5000,fixed,2,high,24,8,atomic-multi-waypoint-tanker-group,fresh-development
SCORE-ATOMIC-MULTI-WAYPOINT-TANKER-GROUP-287,development,multiteam-24,9983100,2,3375,5000,fixed,32,default,24,9,atomic-multi-waypoint-tanker-group,fresh-development
SCORE-ATOMIC-MULTI-WAYPOINT-TANKER-GROUP-287,development,multiteam-32,9984000,2,3375,5000,fixed,4,low,30,10,atomic-multi-waypoint-tanker-group,fresh-development
SCORE-ATOMIC-MULTI-WAYPOINT-TANKER-GROUP-287,development,multiteam-32,9984100,2,3375,5000,fixed,64,high,30,8,atomic-multi-waypoint-tanker-group,fresh-development
SCORE-ATOMIC-MULTI-WAYPOINT-TANKER-GROUP-287,development,multiteam-24,9985000,2,3375,5000,fixed,8,generated,18,10,atomic-multi-waypoint-tanker-group,fresh-development
SCORE-ATOMIC-MULTI-WAYPOINT-TANKER-GROUP-287,development,multiteam-16,9985100,2,3375,5000,fixed,2,generated,16,9,atomic-multi-waypoint-tanker-group,fresh-development
SCORE-ATOMIC-MULTI-WAYPOINT-TANKER-GROUP-287,holdout,general,9990000,5,3375,5000,fixed,1,high,0,10,atomic-multi-waypoint-tanker-group,sealed-holdout
SCORE-ATOMIC-MULTI-WAYPOINT-TANKER-GROUP-287,holdout,general,9990100,5,3375,5000,fixed,2,default,0,8,atomic-multi-waypoint-tanker-group,sealed-holdout
SCORE-ATOMIC-MULTI-WAYPOINT-TANKER-GROUP-287,holdout,multiteam-12,9991000,5,3375,5000,fixed,4,low,12,9,atomic-multi-waypoint-tanker-group,sealed-holdout
SCORE-ATOMIC-MULTI-WAYPOINT-TANKER-GROUP-287,holdout,multiteam-12,9991100,5,3375,5000,fixed,8,generated,12,10,atomic-multi-waypoint-tanker-group,sealed-holdout
SCORE-ATOMIC-MULTI-WAYPOINT-TANKER-GROUP-287,holdout,multiteam-16,9992000,5,3375,5000,fixed,16,default,16,8,atomic-multi-waypoint-tanker-group,sealed-holdout
SCORE-ATOMIC-MULTI-WAYPOINT-TANKER-GROUP-287,holdout,multiteam-16,9992100,5,3375,5000,fixed,32,high,16,9,atomic-multi-waypoint-tanker-group,sealed-holdout
SCORE-ATOMIC-MULTI-WAYPOINT-TANKER-GROUP-287,holdout,multiteam-24,9993000,4,3375,5000,fixed,1,low,24,10,atomic-multi-waypoint-tanker-group,sealed-holdout
SCORE-ATOMIC-MULTI-WAYPOINT-TANKER-GROUP-287,holdout,multiteam-24,9993100,4,3375,5000,fixed,64,generated,20,8,atomic-multi-waypoint-tanker-group,sealed-holdout
SCORE-ATOMIC-MULTI-WAYPOINT-TANKER-GROUP-287,holdout,multiteam-32,9994000,4,3375,5000,fixed,2,default,30,9,atomic-multi-waypoint-tanker-group,sealed-holdout
SCORE-ATOMIC-MULTI-WAYPOINT-TANKER-GROUP-287,holdout,multiteam-32,9994100,4,3375,5000,fixed,128,high,30,10,atomic-multi-waypoint-tanker-group,sealed-holdout
SCORE-ATOMIC-MULTI-WAYPOINT-TANKER-GROUP-287,holdout,multiteam-24,9995000,4,3375,5000,fixed,4,default,18,8,atomic-multi-waypoint-tanker-group,sealed-holdout
SCORE-ATOMIC-MULTI-WAYPOINT-TANKER-GROUP-287,holdout,multiteam-16,9995100,4,3375,5000,fixed,8,low,16,10,atomic-multi-waypoint-tanker-group,sealed-holdout
