experiment_id,split,suite,first_seed,count,budget_ms,role_ms,role_mode,fuel_profile,spot_count,players,public_window_ms,scope,authority
SCORE-CAUSAL-PERSISTENT-AGENT-PERMUTATION-254,development,general,9760000,3,3375,5000,fixed,low,0,8,5000,causal-certified-public-continuation-permutation,fresh-development
SCORE-CAUSAL-PERSISTENT-AGENT-PERMUTATION-254,development,general,9760100,3,3375,5000,deadline,generated,0,9,10000,causal-certified-public-continuation-permutation,fresh-development
SCORE-CAUSAL-PERSISTENT-AGENT-PERMUTATION-254,development,multiteam-12,9761000,3,3375,5000,fixed,low,12,10,15000,causal-certified-public-continuation-permutation,fresh-development
SCORE-CAUSAL-PERSISTENT-AGENT-PERMUTATION-254,development,multiteam-12,9761100,3,3375,5000,deadline,high,12,8,5000,causal-certified-public-continuation-permutation,fresh-development
SCORE-CAUSAL-PERSISTENT-AGENT-PERMUTATION-254,development,multiteam-16,9762000,3,3375,5000,fixed,default,16,9,10000,causal-certified-public-continuation-permutation,fresh-development
SCORE-CAUSAL-PERSISTENT-AGENT-PERMUTATION-254,development,multiteam-16,9762100,3,3375,5000,deadline,low,16,10,15000,causal-certified-public-continuation-permutation,fresh-development
SCORE-CAUSAL-PERSISTENT-AGENT-PERMUTATION-254,development,multiteam-24,9763000,2,3375,5000,fixed,high,24,8,5000,causal-certified-public-continuation-permutation,fresh-development
SCORE-CAUSAL-PERSISTENT-AGENT-PERMUTATION-254,development,multiteam-24,9763100,2,3375,5000,deadline,default,24,9,10000,causal-certified-public-continuation-permutation,fresh-development
SCORE-CAUSAL-PERSISTENT-AGENT-PERMUTATION-254,development,multiteam-32,9764000,2,3375,5000,fixed,low,30,10,15000,causal-certified-public-continuation-permutation,fresh-development
SCORE-CAUSAL-PERSISTENT-AGENT-PERMUTATION-254,development,multiteam-32,9764100,2,3375,5000,deadline,high,30,8,5000,causal-certified-public-continuation-permutation,fresh-development
SCORE-CAUSAL-PERSISTENT-AGENT-PERMUTATION-254,development,multiteam-24,9765000,2,3375,5000,fixed,generated,18,10,10000,causal-certified-public-continuation-permutation,fresh-development
SCORE-CAUSAL-PERSISTENT-AGENT-PERMUTATION-254,development,multiteam-16,9765100,2,3375,5000,deadline,generated,16,8,15000,causal-certified-public-continuation-permutation,fresh-development
SCORE-CAUSAL-PERSISTENT-AGENT-PERMUTATION-254,holdout,general,9770000,5,3375,5000,fixed,low,0,8,5000,causal-certified-public-continuation-permutation,sealed-holdout
SCORE-CAUSAL-PERSISTENT-AGENT-PERMUTATION-254,holdout,general,9770100,5,3375,5000,deadline,generated,0,9,10000,causal-certified-public-continuation-permutation,sealed-holdout
SCORE-CAUSAL-PERSISTENT-AGENT-PERMUTATION-254,holdout,multiteam-12,9771000,5,3375,5000,fixed,low,12,10,15000,causal-certified-public-continuation-permutation,sealed-holdout
SCORE-CAUSAL-PERSISTENT-AGENT-PERMUTATION-254,holdout,multiteam-12,9771100,5,3375,5000,deadline,high,12,8,5000,causal-certified-public-continuation-permutation,sealed-holdout
SCORE-CAUSAL-PERSISTENT-AGENT-PERMUTATION-254,holdout,multiteam-16,9772000,5,3375,5000,fixed,default,16,9,10000,causal-certified-public-continuation-permutation,sealed-holdout
SCORE-CAUSAL-PERSISTENT-AGENT-PERMUTATION-254,holdout,multiteam-16,9772100,5,3375,5000,deadline,low,16,10,15000,causal-certified-public-continuation-permutation,sealed-holdout
SCORE-CAUSAL-PERSISTENT-AGENT-PERMUTATION-254,holdout,multiteam-24,9773000,4,3375,5000,fixed,high,24,8,5000,causal-certified-public-continuation-permutation,sealed-holdout
SCORE-CAUSAL-PERSISTENT-AGENT-PERMUTATION-254,holdout,multiteam-24,9773100,4,3375,5000,deadline,default,24,9,10000,causal-certified-public-continuation-permutation,sealed-holdout
SCORE-CAUSAL-PERSISTENT-AGENT-PERMUTATION-254,holdout,multiteam-32,9774000,4,3375,5000,fixed,low,30,10,15000,causal-certified-public-continuation-permutation,sealed-holdout
SCORE-CAUSAL-PERSISTENT-AGENT-PERMUTATION-254,holdout,multiteam-32,9774100,4,3375,5000,deadline,high,30,8,5000,causal-certified-public-continuation-permutation,sealed-holdout
SCORE-CAUSAL-PERSISTENT-AGENT-PERMUTATION-254,holdout,multiteam-24,9775000,4,3375,5000,fixed,generated,18,10,10000,causal-certified-public-continuation-permutation,sealed-holdout
SCORE-CAUSAL-PERSISTENT-AGENT-PERMUTATION-254,holdout,multiteam-16,9775100,4,3375,5000,deadline,generated,16,8,15000,causal-certified-public-continuation-permutation,sealed-holdout
