experiment_id,split,suite,first_seed,count,budget_ms,role_ms,role_mode,fuel_profile,spot_count,players,public_window_ms,scope,authority
SCORE-COORDINATED-EXACT-BUNDLE-FRONTIER-311,development,general,10600000,3,3375,5000,fixed,low,0,8,5000,coordinated-exact-bundle-frontier,fresh-development
SCORE-COORDINATED-EXACT-BUNDLE-FRONTIER-311,development,general,10600100,3,3375,5000,deadline,generated,0,9,10000,coordinated-exact-bundle-frontier,fresh-development
SCORE-COORDINATED-EXACT-BUNDLE-FRONTIER-311,development,multiteam-12,10601000,3,3375,5000,fixed,low,12,10,15000,coordinated-exact-bundle-frontier,fresh-development
SCORE-COORDINATED-EXACT-BUNDLE-FRONTIER-311,development,multiteam-12,10601100,3,3375,5000,deadline,high,12,8,5000,coordinated-exact-bundle-frontier,fresh-development
SCORE-COORDINATED-EXACT-BUNDLE-FRONTIER-311,development,multiteam-16,10602000,3,3375,5000,fixed,default,16,9,10000,coordinated-exact-bundle-frontier,fresh-development
SCORE-COORDINATED-EXACT-BUNDLE-FRONTIER-311,development,multiteam-16,10602100,3,3375,5000,deadline,low,16,10,15000,coordinated-exact-bundle-frontier,fresh-development
SCORE-COORDINATED-EXACT-BUNDLE-FRONTIER-311,development,multiteam-24,10603000,2,3375,5000,fixed,high,24,8,5000,coordinated-exact-bundle-frontier,fresh-development
SCORE-COORDINATED-EXACT-BUNDLE-FRONTIER-311,development,multiteam-24,10603100,2,3375,5000,deadline,default,24,9,10000,coordinated-exact-bundle-frontier,fresh-development
SCORE-COORDINATED-EXACT-BUNDLE-FRONTIER-311,development,multiteam-32,10604000,2,3375,5000,fixed,low,30,10,15000,coordinated-exact-bundle-frontier,fresh-development
SCORE-COORDINATED-EXACT-BUNDLE-FRONTIER-311,development,multiteam-32,10604100,2,3375,5000,deadline,high,30,8,5000,coordinated-exact-bundle-frontier,fresh-development
SCORE-COORDINATED-EXACT-BUNDLE-FRONTIER-311,development,multiteam-24,10605000,2,3375,5000,fixed,generated,18,10,10000,coordinated-exact-bundle-frontier,fresh-development
SCORE-COORDINATED-EXACT-BUNDLE-FRONTIER-311,development,multiteam-16,10605100,2,3375,5000,deadline,generated,16,9,15000,coordinated-exact-bundle-frontier,fresh-development
SCORE-COORDINATED-EXACT-BUNDLE-FRONTIER-311,holdout,general,10610000,5,3375,5000,deadline,high,0,10,5000,coordinated-exact-bundle-frontier,sealed-holdout
SCORE-COORDINATED-EXACT-BUNDLE-FRONTIER-311,holdout,general,10610100,5,3375,5000,fixed,default,0,8,10000,coordinated-exact-bundle-frontier,sealed-holdout
SCORE-COORDINATED-EXACT-BUNDLE-FRONTIER-311,holdout,multiteam-12,10611000,5,3375,5000,deadline,low,12,9,15000,coordinated-exact-bundle-frontier,sealed-holdout
SCORE-COORDINATED-EXACT-BUNDLE-FRONTIER-311,holdout,multiteam-12,10611100,5,3375,5000,fixed,generated,12,10,5000,coordinated-exact-bundle-frontier,sealed-holdout
SCORE-COORDINATED-EXACT-BUNDLE-FRONTIER-311,holdout,multiteam-16,10612000,5,3375,5000,deadline,default,16,8,10000,coordinated-exact-bundle-frontier,sealed-holdout
SCORE-COORDINATED-EXACT-BUNDLE-FRONTIER-311,holdout,multiteam-16,10612100,5,3375,5000,fixed,high,16,9,15000,coordinated-exact-bundle-frontier,sealed-holdout
SCORE-COORDINATED-EXACT-BUNDLE-FRONTIER-311,holdout,multiteam-24,10613000,4,3375,5000,deadline,low,24,10,5000,coordinated-exact-bundle-frontier,sealed-holdout
SCORE-COORDINATED-EXACT-BUNDLE-FRONTIER-311,holdout,multiteam-24,10613100,4,3375,5000,fixed,generated,20,8,10000,coordinated-exact-bundle-frontier,sealed-holdout
SCORE-COORDINATED-EXACT-BUNDLE-FRONTIER-311,holdout,multiteam-32,10614000,4,3375,5000,deadline,default,30,9,15000,coordinated-exact-bundle-frontier,sealed-holdout
SCORE-COORDINATED-EXACT-BUNDLE-FRONTIER-311,holdout,multiteam-32,10614100,4,3375,5000,fixed,high,30,10,5000,coordinated-exact-bundle-frontier,sealed-holdout
SCORE-COORDINATED-EXACT-BUNDLE-FRONTIER-311,holdout,multiteam-24,10615000,4,3375,5000,deadline,default,18,8,10000,coordinated-exact-bundle-frontier,sealed-holdout
SCORE-COORDINATED-EXACT-BUNDLE-FRONTIER-311,holdout,multiteam-16,10615100,4,3375,5000,fixed,low,16,10,15000,coordinated-exact-bundle-frontier,sealed-holdout
