experiment_id,split,suite,first_seed,count,budget_ms,role_ms,role_mode,fuel_profile,spot_count,players,scope,authority
SCORE-CURRENT-DAY-SPARSE-SIDECAR-250,development,general,9660000,3,3375,5000,fixed,low,0,8,parent-protected-current-day-sparse-sidecar,fresh-development
SCORE-CURRENT-DAY-SPARSE-SIDECAR-250,development,general,9660100,3,3375,5000,deadline,generated,0,9,parent-protected-current-day-sparse-sidecar,fresh-development
SCORE-CURRENT-DAY-SPARSE-SIDECAR-250,development,multiteam-12,9661000,3,3375,5000,fixed,low,12,10,parent-protected-current-day-sparse-sidecar,fresh-development
SCORE-CURRENT-DAY-SPARSE-SIDECAR-250,development,multiteam-12,9661100,3,3375,5000,deadline,high,12,8,parent-protected-current-day-sparse-sidecar,fresh-development
SCORE-CURRENT-DAY-SPARSE-SIDECAR-250,development,multiteam-16,9662000,3,3375,5000,fixed,default,16,9,parent-protected-current-day-sparse-sidecar,fresh-development
SCORE-CURRENT-DAY-SPARSE-SIDECAR-250,development,multiteam-16,9662100,3,3375,5000,deadline,low,16,10,parent-protected-current-day-sparse-sidecar,fresh-development
SCORE-CURRENT-DAY-SPARSE-SIDECAR-250,development,multiteam-24,9663000,2,3375,5000,fixed,high,24,8,parent-protected-current-day-sparse-sidecar,fresh-development
SCORE-CURRENT-DAY-SPARSE-SIDECAR-250,development,multiteam-24,9663100,2,3375,5000,deadline,default,24,9,parent-protected-current-day-sparse-sidecar,fresh-development
SCORE-CURRENT-DAY-SPARSE-SIDECAR-250,development,multiteam-32,9664000,2,3375,5000,fixed,low,30,10,parent-protected-current-day-sparse-sidecar,fresh-development
SCORE-CURRENT-DAY-SPARSE-SIDECAR-250,development,multiteam-32,9664100,2,3375,5000,deadline,high,30,8,parent-protected-current-day-sparse-sidecar,fresh-development
SCORE-CURRENT-DAY-SPARSE-SIDECAR-250,development,multiteam-24,9665000,2,3375,5000,fixed,generated,18,10,parent-protected-current-day-sparse-sidecar,fresh-development
SCORE-CURRENT-DAY-SPARSE-SIDECAR-250,development,multiteam-16,9665100,2,3375,5000,deadline,generated,16,8,parent-protected-current-day-sparse-sidecar,fresh-development
SCORE-CURRENT-DAY-SPARSE-SIDECAR-250,holdout,general,9670000,5,3375,5000,fixed,low,0,8,parent-protected-current-day-sparse-sidecar,sealed-holdout
SCORE-CURRENT-DAY-SPARSE-SIDECAR-250,holdout,general,9670100,5,3375,5000,deadline,generated,0,9,parent-protected-current-day-sparse-sidecar,sealed-holdout
SCORE-CURRENT-DAY-SPARSE-SIDECAR-250,holdout,multiteam-12,9671000,5,3375,5000,fixed,low,12,10,parent-protected-current-day-sparse-sidecar,sealed-holdout
SCORE-CURRENT-DAY-SPARSE-SIDECAR-250,holdout,multiteam-12,9671100,5,3375,5000,deadline,high,12,8,parent-protected-current-day-sparse-sidecar,sealed-holdout
SCORE-CURRENT-DAY-SPARSE-SIDECAR-250,holdout,multiteam-16,9672000,5,3375,5000,fixed,default,16,9,parent-protected-current-day-sparse-sidecar,sealed-holdout
SCORE-CURRENT-DAY-SPARSE-SIDECAR-250,holdout,multiteam-16,9672100,5,3375,5000,deadline,low,16,10,parent-protected-current-day-sparse-sidecar,sealed-holdout
SCORE-CURRENT-DAY-SPARSE-SIDECAR-250,holdout,multiteam-24,9673000,4,3375,5000,fixed,high,24,8,parent-protected-current-day-sparse-sidecar,sealed-holdout
SCORE-CURRENT-DAY-SPARSE-SIDECAR-250,holdout,multiteam-24,9673100,4,3375,5000,deadline,default,24,9,parent-protected-current-day-sparse-sidecar,sealed-holdout
SCORE-CURRENT-DAY-SPARSE-SIDECAR-250,holdout,multiteam-32,9674000,4,3375,5000,fixed,low,30,10,parent-protected-current-day-sparse-sidecar,sealed-holdout
SCORE-CURRENT-DAY-SPARSE-SIDECAR-250,holdout,multiteam-32,9674100,4,3375,5000,deadline,high,30,8,parent-protected-current-day-sparse-sidecar,sealed-holdout
SCORE-CURRENT-DAY-SPARSE-SIDECAR-250,holdout,multiteam-24,9675000,4,3375,5000,fixed,generated,18,10,parent-protected-current-day-sparse-sidecar,sealed-holdout
SCORE-CURRENT-DAY-SPARSE-SIDECAR-250,holdout,multiteam-16,9675100,4,3375,5000,deadline,generated,16,8,parent-protected-current-day-sparse-sidecar,sealed-holdout
