experiment_id,split,source,tier,map_side,days,agents,spot_counts,fuel_profiles,role_modes,first_seed,count,scope,authority
SCORE-DENSE-SPARSE-FRONTIER-190,consumed,btc-replay,very-hard,32,10,8,24,high,native,0,1,m-3877-single-agent-sparse-exchange,opened-189
SCORE-DENSE-SPARSE-FRONTIER-190,development,new-dense-stratified,easy,14,5,4,12|14|18|24,default|high,fixed|native,4710000,12,sparse-frontier-score-and-equivalence,fresh-development
SCORE-DENSE-SPARSE-FRONTIER-190,development,new-dense-stratified,medium,20,7,4,12|14|18|24,default|high,fixed|native,4711000,12,sparse-frontier-score-and-equivalence,fresh-development
SCORE-DENSE-SPARSE-FRONTIER-190,development,new-dense-stratified,hard,26,8,6,12|14|18|24|30,default|high,fixed|native,4712000,15,sparse-frontier-score-and-equivalence,fresh-development
SCORE-DENSE-SPARSE-FRONTIER-190,development,new-dense-stratified,very-hard,32,10,8,12|14|18|24|30,default|high,fixed|native,4713000,15,sparse-frontier-score-and-equivalence,fresh-development
SCORE-DENSE-SPARSE-FRONTIER-190,holdout,new-dense-stratified,easy,14,5,4,12|14|18|24,default|high,fixed|native,4720000,24,paired-wtl-tier-tail-and-equivalence,sealed
SCORE-DENSE-SPARSE-FRONTIER-190,holdout,new-dense-stratified,medium,20,7,4,12|14|18|24,default|high,fixed|native,4721000,24,paired-wtl-tier-tail-and-equivalence,sealed
SCORE-DENSE-SPARSE-FRONTIER-190,holdout,new-dense-stratified,hard,26,8,6,12|14|18|24|30,default|high,fixed|native,4722000,30,paired-wtl-tier-tail-and-equivalence,sealed
SCORE-DENSE-SPARSE-FRONTIER-190,holdout,new-dense-stratified,very-hard,32,10,8,12|14|18|24|30,default|high,fixed|native,4723000,30,paired-wtl-tier-tail-and-equivalence,sealed
SCORE-DENSE-SPARSE-FRONTIER-190,btc,target-host,public-match,0,0,0,configured,configured,native,0,1,latency-validity-and-active-path,btc-authoritative
