experiment_id,split,suite,first_seed,count,budget_ms,role_ms,role_mode,fuel_profile,spot_count,public_window_ms,scope,authority
SCORE-F0-QUALITY-ORDER-240,development,stratified-easy,9530000,8,3375,5000,fixed,generated,12,5000,paired-quality-order-vs-parent,fresh-development
SCORE-F0-QUALITY-ORDER-240,development,stratified-easy,9530100,8,3375,5000,deadline,generated,12,5000,paired-quality-order-vs-parent,fresh-development
SCORE-F0-QUALITY-ORDER-240,development,stratified-medium,9531000,8,3375,5000,fixed,generated,18,5000,paired-quality-order-vs-parent,fresh-development
SCORE-F0-QUALITY-ORDER-240,development,stratified-medium,9531100,8,3375,5000,deadline,generated,18,5000,paired-quality-order-vs-parent,fresh-development
SCORE-F0-QUALITY-ORDER-240,development,stratified-hard,9532000,7,3375,5000,fixed,generated,24,15000,paired-quality-order-vs-parent,fresh-development
SCORE-F0-QUALITY-ORDER-240,development,stratified-hard,9532100,7,3375,5000,deadline,generated,24,15000,paired-quality-order-vs-parent,fresh-development
SCORE-F0-QUALITY-ORDER-240,development,stratified-very-hard,9533000,7,3375,5000,fixed,generated,30,15000,paired-quality-order-vs-parent,fresh-development
SCORE-F0-QUALITY-ORDER-240,development,stratified-very-hard,9533100,7,3375,5000,deadline,generated,30,15000,paired-quality-order-vs-parent,fresh-development
SCORE-F0-QUALITY-ORDER-240,holdout,stratified-easy,9540000,14,3375,5000,fixed,generated,12,5000,paired-quality-order-vs-parent,sealed-holdout
SCORE-F0-QUALITY-ORDER-240,holdout,stratified-easy,9540100,14,3375,5000,deadline,generated,12,5000,paired-quality-order-vs-parent,sealed-holdout
SCORE-F0-QUALITY-ORDER-240,holdout,stratified-medium,9541000,14,3375,5000,fixed,generated,18,5000,paired-quality-order-vs-parent,sealed-holdout
SCORE-F0-QUALITY-ORDER-240,holdout,stratified-medium,9541100,14,3375,5000,deadline,generated,18,5000,paired-quality-order-vs-parent,sealed-holdout
SCORE-F0-QUALITY-ORDER-240,holdout,stratified-hard,9542000,13,3375,5000,fixed,generated,24,15000,paired-quality-order-vs-parent,sealed-holdout
SCORE-F0-QUALITY-ORDER-240,holdout,stratified-hard,9542100,13,3375,5000,deadline,generated,24,15000,paired-quality-order-vs-parent,sealed-holdout
SCORE-F0-QUALITY-ORDER-240,holdout,stratified-very-hard,9543000,13,3375,5000,fixed,generated,30,15000,paired-quality-order-vs-parent,sealed-holdout
SCORE-F0-QUALITY-ORDER-240,holdout,stratified-very-hard,9543100,13,3375,5000,deadline,generated,30,15000,paired-quality-order-vs-parent,sealed-holdout
