experiment_id,split,source,tier,map_side,days,agents,spot_counts,fuel_profiles,role_modes,first_seed,count,scope,authority
SCORE-FAIR-DIRECT-FRONTIER-193,consumed,btc-replay,very-hard,32,10,8,30,high,native,0,1,m-3897-column-starvation-attribution,opened-191
SCORE-FAIR-DIRECT-FRONTIER-193,development,new-stratified,tiny,8,4,4,6,low|default|high,fixed|native,4750000,6,parent-versus-fair-direct-frontier,fresh-development
SCORE-FAIR-DIRECT-FRONTIER-193,development,new-stratified,easy,14,5,4,12|14,low|default|high,fixed|native,4751000,9,parent-versus-fair-direct-frontier,fresh-development
SCORE-FAIR-DIRECT-FRONTIER-193,development,new-stratified,medium,20,7,4,12|18,low|default|high,fixed|native,4752000,9,parent-versus-fair-direct-frontier,fresh-development
SCORE-FAIR-DIRECT-FRONTIER-193,development,new-stratified,hard,26,8,6,14|18|24,low|default|high,fixed|native,4753000,12,parent-versus-fair-direct-frontier,fresh-development
SCORE-FAIR-DIRECT-FRONTIER-193,development,new-stratified,very-hard,32,10,8,18|24|30,low|default|high,fixed|native,4754000,15,parent-versus-fair-direct-frontier,fresh-development
SCORE-FAIR-DIRECT-FRONTIER-193,holdout,new-stratified,tiny,8,4,4,6,low|default|high,fixed|native,4760000,12,paired-tier-tail-and-starvation,sealed
SCORE-FAIR-DIRECT-FRONTIER-193,holdout,new-stratified,easy,14,5,4,12|14,low|default|high,fixed|native,4761000,18,paired-tier-tail-and-starvation,sealed
SCORE-FAIR-DIRECT-FRONTIER-193,holdout,new-stratified,medium,20,7,4,12|18,low|default|high,fixed|native,4762000,18,paired-tier-tail-and-starvation,sealed
SCORE-FAIR-DIRECT-FRONTIER-193,holdout,new-stratified,hard,26,8,6,14|18|24,low|default|high,fixed|native,4763000,24,paired-tier-tail-and-starvation,sealed
SCORE-FAIR-DIRECT-FRONTIER-193,holdout,new-stratified,very-hard,32,10,8,18|24|30,low|default|high,fixed|native,4764000,30,paired-tier-tail-and-starvation,sealed
SCORE-FAIR-DIRECT-FRONTIER-193,btc,target-host,public-match,0,0,0,configured,configured,native,0,1,latency-validity-starvation-and-score,btc-authoritative
