experiment_id,split,family,fuel_profile,horizon,first_seed,count,active_agents,total_agents,spot_count,role_mode,oracle_scope
SCORE-MASTER-ADDITIVE-100,development,perimeter-balanced,low,4,1700000,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-MASTER-ADDITIVE-100,holdout,perimeter-balanced,low,4,1700001,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-MASTER-ADDITIVE-100,development,perimeter-duplicate,low,4,1700100,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-MASTER-ADDITIVE-100,holdout,perimeter-duplicate,low,4,1700101,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-MASTER-ADDITIVE-100,development,rare-perimeter,low,4,1700200,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-MASTER-ADDITIVE-100,holdout,rare-perimeter,low,4,1700201,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-MASTER-ADDITIVE-100,development,stock-perimeter,low,4,1700300,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-MASTER-ADDITIVE-100,holdout,stock-perimeter,low,4,1700301,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-MASTER-ADDITIVE-100,development,fuel-perimeter,low,4,1700400,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-MASTER-ADDITIVE-100,holdout,fuel-perimeter,low,4,1700401,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-MASTER-ADDITIVE-100,development,terminal-perimeter,low,4,1700500,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-MASTER-ADDITIVE-100,holdout,terminal-perimeter,low,4,1700501,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-MASTER-ADDITIVE-100,development,perimeter-balanced,default,4,1710000,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-MASTER-ADDITIVE-100,holdout,perimeter-balanced,default,4,1710001,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-MASTER-ADDITIVE-100,development,perimeter-duplicate,default,4,1710100,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-MASTER-ADDITIVE-100,holdout,perimeter-duplicate,default,4,1710101,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-MASTER-ADDITIVE-100,development,rare-perimeter,default,4,1710200,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-MASTER-ADDITIVE-100,holdout,rare-perimeter,default,4,1710201,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-MASTER-ADDITIVE-100,development,stock-perimeter,default,4,1710300,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-MASTER-ADDITIVE-100,holdout,stock-perimeter,default,4,1710301,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-MASTER-ADDITIVE-100,development,fuel-perimeter,default,4,1710400,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-MASTER-ADDITIVE-100,holdout,fuel-perimeter,default,4,1710401,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-MASTER-ADDITIVE-100,development,terminal-perimeter,default,4,1710500,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-MASTER-ADDITIVE-100,holdout,terminal-perimeter,default,4,1710501,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-MASTER-ADDITIVE-100,development,perimeter-balanced,high,4,1720000,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-MASTER-ADDITIVE-100,holdout,perimeter-balanced,high,4,1720001,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-MASTER-ADDITIVE-100,development,perimeter-duplicate,high,4,1720100,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-MASTER-ADDITIVE-100,holdout,perimeter-duplicate,high,4,1720101,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-MASTER-ADDITIVE-100,development,rare-perimeter,high,4,1720200,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-MASTER-ADDITIVE-100,holdout,rare-perimeter,high,4,1720201,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-MASTER-ADDITIVE-100,development,stock-perimeter,high,4,1720300,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-MASTER-ADDITIVE-100,holdout,stock-perimeter,high,4,1720301,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-MASTER-ADDITIVE-100,development,fuel-perimeter,high,4,1720400,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-MASTER-ADDITIVE-100,holdout,fuel-perimeter,high,4,1720401,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-MASTER-ADDITIVE-100,development,terminal-perimeter,high,4,1720500,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-MASTER-ADDITIVE-100,holdout,terminal-perimeter,high,4,1720501,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
