experiment_id,split,suite,first_seed,count,budget_ms,role_ms,role_mode,fuel_profile,spot_count,players,public_window_ms,scope,authority
SCORE-MIDDAY-PREFERRED-BRAND-SPARSE-FLOOR-268,development,general,9900000,3,3375,5000,fixed,low,0,8,5000,midday-preferred-brand-sparse-floor,fresh-development
SCORE-MIDDAY-PREFERRED-BRAND-SPARSE-FLOOR-268,development,general,9900100,3,3375,5000,deadline,generated,0,9,10000,midday-preferred-brand-sparse-floor,fresh-development
SCORE-MIDDAY-PREFERRED-BRAND-SPARSE-FLOOR-268,development,multiteam-12,9901000,3,3375,5000,fixed,low,12,10,15000,midday-preferred-brand-sparse-floor,fresh-development
SCORE-MIDDAY-PREFERRED-BRAND-SPARSE-FLOOR-268,development,multiteam-12,9901100,3,3375,5000,deadline,high,12,8,5000,midday-preferred-brand-sparse-floor,fresh-development
SCORE-MIDDAY-PREFERRED-BRAND-SPARSE-FLOOR-268,development,multiteam-16,9902000,3,3375,5000,fixed,default,16,9,10000,midday-preferred-brand-sparse-floor,fresh-development
SCORE-MIDDAY-PREFERRED-BRAND-SPARSE-FLOOR-268,development,multiteam-16,9902100,3,3375,5000,deadline,low,16,10,15000,midday-preferred-brand-sparse-floor,fresh-development
SCORE-MIDDAY-PREFERRED-BRAND-SPARSE-FLOOR-268,development,multiteam-24,9903000,2,3375,5000,fixed,high,24,8,5000,midday-preferred-brand-sparse-floor,fresh-development
SCORE-MIDDAY-PREFERRED-BRAND-SPARSE-FLOOR-268,development,multiteam-24,9903100,2,3375,5000,deadline,default,24,9,10000,midday-preferred-brand-sparse-floor,fresh-development
SCORE-MIDDAY-PREFERRED-BRAND-SPARSE-FLOOR-268,development,multiteam-32,9904000,2,3375,5000,fixed,low,30,10,15000,midday-preferred-brand-sparse-floor,fresh-development
SCORE-MIDDAY-PREFERRED-BRAND-SPARSE-FLOOR-268,development,multiteam-32,9904100,2,3375,5000,deadline,high,30,8,5000,midday-preferred-brand-sparse-floor,fresh-development
SCORE-MIDDAY-PREFERRED-BRAND-SPARSE-FLOOR-268,development,multiteam-24,9905000,2,3375,5000,fixed,generated,18,10,10000,midday-preferred-brand-sparse-floor,fresh-development
SCORE-MIDDAY-PREFERRED-BRAND-SPARSE-FLOOR-268,development,multiteam-16,9905100,2,3375,5000,deadline,generated,16,9,15000,midday-preferred-brand-sparse-floor,fresh-development
SCORE-MIDDAY-PREFERRED-BRAND-SPARSE-FLOOR-268,holdout,general,9910000,5,3375,5000,deadline,high,0,10,5000,midday-preferred-brand-sparse-floor,sealed-holdout
SCORE-MIDDAY-PREFERRED-BRAND-SPARSE-FLOOR-268,holdout,general,9910100,5,3375,5000,fixed,default,0,8,10000,midday-preferred-brand-sparse-floor,sealed-holdout
SCORE-MIDDAY-PREFERRED-BRAND-SPARSE-FLOOR-268,holdout,multiteam-12,9911000,5,3375,5000,deadline,low,12,9,15000,midday-preferred-brand-sparse-floor,sealed-holdout
SCORE-MIDDAY-PREFERRED-BRAND-SPARSE-FLOOR-268,holdout,multiteam-12,9911100,5,3375,5000,fixed,generated,12,10,5000,midday-preferred-brand-sparse-floor,sealed-holdout
SCORE-MIDDAY-PREFERRED-BRAND-SPARSE-FLOOR-268,holdout,multiteam-16,9912000,5,3375,5000,deadline,default,16,8,10000,midday-preferred-brand-sparse-floor,sealed-holdout
SCORE-MIDDAY-PREFERRED-BRAND-SPARSE-FLOOR-268,holdout,multiteam-16,9912100,5,3375,5000,fixed,high,16,9,15000,midday-preferred-brand-sparse-floor,sealed-holdout
SCORE-MIDDAY-PREFERRED-BRAND-SPARSE-FLOOR-268,holdout,multiteam-24,9913000,4,3375,5000,deadline,low,24,10,5000,midday-preferred-brand-sparse-floor,sealed-holdout
SCORE-MIDDAY-PREFERRED-BRAND-SPARSE-FLOOR-268,holdout,multiteam-24,9913100,4,3375,5000,fixed,generated,20,8,10000,midday-preferred-brand-sparse-floor,sealed-holdout
SCORE-MIDDAY-PREFERRED-BRAND-SPARSE-FLOOR-268,holdout,multiteam-32,9914000,4,3375,5000,deadline,default,30,9,15000,midday-preferred-brand-sparse-floor,sealed-holdout
SCORE-MIDDAY-PREFERRED-BRAND-SPARSE-FLOOR-268,holdout,multiteam-32,9914100,4,3375,5000,fixed,high,30,10,5000,midday-preferred-brand-sparse-floor,sealed-holdout
SCORE-MIDDAY-PREFERRED-BRAND-SPARSE-FLOOR-268,holdout,multiteam-24,9915000,4,3375,5000,deadline,default,18,8,10000,midday-preferred-brand-sparse-floor,sealed-holdout
SCORE-MIDDAY-PREFERRED-BRAND-SPARSE-FLOOR-268,holdout,multiteam-16,9915100,4,3375,5000,fixed,low,16,10,15000,midday-preferred-brand-sparse-floor,sealed-holdout
