experiment_id,split,suite,first_seed,count,budget_ms,role_ms,role_mode,role_mask,fuel_profile,spot_count,players,scope,authority
SCORE-MULTI-WAYPOINT-TANKER-PROVIDER-286,development,general,9960000,3,3375,5000,fixed,1,low,0,8,multi-waypoint-tanker-provider,fresh-development
SCORE-MULTI-WAYPOINT-TANKER-PROVIDER-286,development,general,9960100,3,3375,5000,fixed,2,generated,0,9,multi-waypoint-tanker-provider,fresh-development
SCORE-MULTI-WAYPOINT-TANKER-PROVIDER-286,development,multiteam-12,9961000,3,3375,5000,fixed,4,low,12,10,multi-waypoint-tanker-provider,fresh-development
SCORE-MULTI-WAYPOINT-TANKER-PROVIDER-286,development,multiteam-12,9961100,3,3375,5000,fixed,8,high,12,8,multi-waypoint-tanker-provider,fresh-development
SCORE-MULTI-WAYPOINT-TANKER-PROVIDER-286,development,multiteam-16,9962000,3,3375,5000,fixed,1,default,16,9,multi-waypoint-tanker-provider,fresh-development
SCORE-MULTI-WAYPOINT-TANKER-PROVIDER-286,development,multiteam-16,9962100,3,3375,5000,fixed,16,low,16,10,multi-waypoint-tanker-provider,fresh-development
SCORE-MULTI-WAYPOINT-TANKER-PROVIDER-286,development,multiteam-24,9963000,2,3375,5000,fixed,2,high,24,8,multi-waypoint-tanker-provider,fresh-development
SCORE-MULTI-WAYPOINT-TANKER-PROVIDER-286,development,multiteam-24,9963100,2,3375,5000,fixed,32,default,24,9,multi-waypoint-tanker-provider,fresh-development
SCORE-MULTI-WAYPOINT-TANKER-PROVIDER-286,development,multiteam-32,9964000,2,3375,5000,fixed,4,low,30,10,multi-waypoint-tanker-provider,fresh-development
SCORE-MULTI-WAYPOINT-TANKER-PROVIDER-286,development,multiteam-32,9964100,2,3375,5000,fixed,64,high,30,8,multi-waypoint-tanker-provider,fresh-development
SCORE-MULTI-WAYPOINT-TANKER-PROVIDER-286,development,multiteam-24,9965000,2,3375,5000,fixed,8,generated,18,10,multi-waypoint-tanker-provider,fresh-development
SCORE-MULTI-WAYPOINT-TANKER-PROVIDER-286,development,multiteam-16,9965100,2,3375,5000,fixed,2,generated,16,9,multi-waypoint-tanker-provider,fresh-development
SCORE-MULTI-WAYPOINT-TANKER-PROVIDER-286,holdout,general,9970000,5,3375,5000,fixed,1,high,0,10,multi-waypoint-tanker-provider,sealed-holdout
SCORE-MULTI-WAYPOINT-TANKER-PROVIDER-286,holdout,general,9970100,5,3375,5000,fixed,2,default,0,8,multi-waypoint-tanker-provider,sealed-holdout
SCORE-MULTI-WAYPOINT-TANKER-PROVIDER-286,holdout,multiteam-12,9971000,5,3375,5000,fixed,4,low,12,9,multi-waypoint-tanker-provider,sealed-holdout
SCORE-MULTI-WAYPOINT-TANKER-PROVIDER-286,holdout,multiteam-12,9971100,5,3375,5000,fixed,8,generated,12,10,multi-waypoint-tanker-provider,sealed-holdout
SCORE-MULTI-WAYPOINT-TANKER-PROVIDER-286,holdout,multiteam-16,9972000,5,3375,5000,fixed,16,default,16,8,multi-waypoint-tanker-provider,sealed-holdout
SCORE-MULTI-WAYPOINT-TANKER-PROVIDER-286,holdout,multiteam-16,9972100,5,3375,5000,fixed,32,high,16,9,multi-waypoint-tanker-provider,sealed-holdout
SCORE-MULTI-WAYPOINT-TANKER-PROVIDER-286,holdout,multiteam-24,9973000,4,3375,5000,fixed,1,low,24,10,multi-waypoint-tanker-provider,sealed-holdout
SCORE-MULTI-WAYPOINT-TANKER-PROVIDER-286,holdout,multiteam-24,9973100,4,3375,5000,fixed,64,generated,20,8,multi-waypoint-tanker-provider,sealed-holdout
SCORE-MULTI-WAYPOINT-TANKER-PROVIDER-286,holdout,multiteam-32,9974000,4,3375,5000,fixed,2,default,30,9,multi-waypoint-tanker-provider,sealed-holdout
SCORE-MULTI-WAYPOINT-TANKER-PROVIDER-286,holdout,multiteam-32,9974100,4,3375,5000,fixed,128,high,30,10,multi-waypoint-tanker-provider,sealed-holdout
SCORE-MULTI-WAYPOINT-TANKER-PROVIDER-286,holdout,multiteam-24,9975000,4,3375,5000,fixed,4,default,18,8,multi-waypoint-tanker-provider,sealed-holdout
SCORE-MULTI-WAYPOINT-TANKER-PROVIDER-286,holdout,multiteam-16,9975100,4,3375,5000,fixed,8,low,16,10,multi-waypoint-tanker-provider,sealed-holdout
