experiment_id,split,suite,first_seed,count,budget_ms,role_ms,role_mode,fuel_profile,spot_count,players,scope,authority
SCORE-ONE-SHOT-SPARSE-SIDECAR-251,development,general,9680000,3,3375,5000,fixed,low,0,8,parent-protected-one-shot-sparse-sidecar,fresh-development
SCORE-ONE-SHOT-SPARSE-SIDECAR-251,development,general,9680100,3,3375,5000,deadline,generated,0,9,parent-protected-one-shot-sparse-sidecar,fresh-development
SCORE-ONE-SHOT-SPARSE-SIDECAR-251,development,multiteam-12,9681000,3,3375,5000,fixed,low,12,10,parent-protected-one-shot-sparse-sidecar,fresh-development
SCORE-ONE-SHOT-SPARSE-SIDECAR-251,development,multiteam-12,9681100,3,3375,5000,deadline,high,12,8,parent-protected-one-shot-sparse-sidecar,fresh-development
SCORE-ONE-SHOT-SPARSE-SIDECAR-251,development,multiteam-16,9682000,3,3375,5000,fixed,default,16,9,parent-protected-one-shot-sparse-sidecar,fresh-development
SCORE-ONE-SHOT-SPARSE-SIDECAR-251,development,multiteam-16,9682100,3,3375,5000,deadline,low,16,10,parent-protected-one-shot-sparse-sidecar,fresh-development
SCORE-ONE-SHOT-SPARSE-SIDECAR-251,development,multiteam-24,9683000,2,3375,5000,fixed,high,24,8,parent-protected-one-shot-sparse-sidecar,fresh-development
SCORE-ONE-SHOT-SPARSE-SIDECAR-251,development,multiteam-24,9683100,2,3375,5000,deadline,default,24,9,parent-protected-one-shot-sparse-sidecar,fresh-development
SCORE-ONE-SHOT-SPARSE-SIDECAR-251,development,multiteam-32,9684000,2,3375,5000,fixed,low,30,10,parent-protected-one-shot-sparse-sidecar,fresh-development
SCORE-ONE-SHOT-SPARSE-SIDECAR-251,development,multiteam-32,9684100,2,3375,5000,deadline,high,30,8,parent-protected-one-shot-sparse-sidecar,fresh-development
SCORE-ONE-SHOT-SPARSE-SIDECAR-251,development,multiteam-24,9685000,2,3375,5000,fixed,generated,18,10,parent-protected-one-shot-sparse-sidecar,fresh-development
SCORE-ONE-SHOT-SPARSE-SIDECAR-251,development,multiteam-16,9685100,2,3375,5000,deadline,generated,16,8,parent-protected-one-shot-sparse-sidecar,fresh-development
SCORE-ONE-SHOT-SPARSE-SIDECAR-251,holdout,general,9690000,5,3375,5000,fixed,low,0,8,parent-protected-one-shot-sparse-sidecar,sealed-holdout
SCORE-ONE-SHOT-SPARSE-SIDECAR-251,holdout,general,9690100,5,3375,5000,deadline,generated,0,9,parent-protected-one-shot-sparse-sidecar,sealed-holdout
SCORE-ONE-SHOT-SPARSE-SIDECAR-251,holdout,multiteam-12,9691000,5,3375,5000,fixed,low,12,10,parent-protected-one-shot-sparse-sidecar,sealed-holdout
SCORE-ONE-SHOT-SPARSE-SIDECAR-251,holdout,multiteam-12,9691100,5,3375,5000,deadline,high,12,8,parent-protected-one-shot-sparse-sidecar,sealed-holdout
SCORE-ONE-SHOT-SPARSE-SIDECAR-251,holdout,multiteam-16,9692000,5,3375,5000,fixed,default,16,9,parent-protected-one-shot-sparse-sidecar,sealed-holdout
SCORE-ONE-SHOT-SPARSE-SIDECAR-251,holdout,multiteam-16,9692100,5,3375,5000,deadline,low,16,10,parent-protected-one-shot-sparse-sidecar,sealed-holdout
SCORE-ONE-SHOT-SPARSE-SIDECAR-251,holdout,multiteam-24,9693000,4,3375,5000,fixed,high,24,8,parent-protected-one-shot-sparse-sidecar,sealed-holdout
SCORE-ONE-SHOT-SPARSE-SIDECAR-251,holdout,multiteam-24,9693100,4,3375,5000,deadline,default,24,9,parent-protected-one-shot-sparse-sidecar,sealed-holdout
SCORE-ONE-SHOT-SPARSE-SIDECAR-251,holdout,multiteam-32,9694000,4,3375,5000,fixed,low,30,10,parent-protected-one-shot-sparse-sidecar,sealed-holdout
SCORE-ONE-SHOT-SPARSE-SIDECAR-251,holdout,multiteam-32,9694100,4,3375,5000,deadline,high,30,8,parent-protected-one-shot-sparse-sidecar,sealed-holdout
SCORE-ONE-SHOT-SPARSE-SIDECAR-251,holdout,multiteam-24,9695000,4,3375,5000,fixed,generated,18,10,parent-protected-one-shot-sparse-sidecar,sealed-holdout
SCORE-ONE-SHOT-SPARSE-SIDECAR-251,holdout,multiteam-16,9695100,4,3375,5000,deadline,generated,16,8,parent-protected-one-shot-sparse-sidecar,sealed-holdout
