experiment_id,split,suite,first_seed,count,budget_ms,role_ms,role_mode,fuel_profile,spot_count,players,public_window_ms,scope,authority
SCORE-ORPHAN-RENDEZVOUS-PAIR-SIDECAR-265,development,general,9840000,3,3375,5000,fixed,low,0,8,5000,orphan-rendezvous-pair-sidecar,fresh-development
SCORE-ORPHAN-RENDEZVOUS-PAIR-SIDECAR-265,development,general,9840100,3,3375,5000,deadline,generated,0,9,10000,orphan-rendezvous-pair-sidecar,fresh-development
SCORE-ORPHAN-RENDEZVOUS-PAIR-SIDECAR-265,development,multiteam-12,9841000,3,3375,5000,fixed,low,12,10,15000,orphan-rendezvous-pair-sidecar,fresh-development
SCORE-ORPHAN-RENDEZVOUS-PAIR-SIDECAR-265,development,multiteam-12,9841100,3,3375,5000,deadline,high,12,8,5000,orphan-rendezvous-pair-sidecar,fresh-development
SCORE-ORPHAN-RENDEZVOUS-PAIR-SIDECAR-265,development,multiteam-16,9842000,3,3375,5000,fixed,default,16,9,10000,orphan-rendezvous-pair-sidecar,fresh-development
SCORE-ORPHAN-RENDEZVOUS-PAIR-SIDECAR-265,development,multiteam-16,9842100,3,3375,5000,deadline,low,16,10,15000,orphan-rendezvous-pair-sidecar,fresh-development
SCORE-ORPHAN-RENDEZVOUS-PAIR-SIDECAR-265,development,multiteam-24,9843000,2,3375,5000,fixed,high,24,8,5000,orphan-rendezvous-pair-sidecar,fresh-development
SCORE-ORPHAN-RENDEZVOUS-PAIR-SIDECAR-265,development,multiteam-24,9843100,2,3375,5000,deadline,default,24,9,10000,orphan-rendezvous-pair-sidecar,fresh-development
SCORE-ORPHAN-RENDEZVOUS-PAIR-SIDECAR-265,development,multiteam-32,9844000,2,3375,5000,fixed,low,30,10,15000,orphan-rendezvous-pair-sidecar,fresh-development
SCORE-ORPHAN-RENDEZVOUS-PAIR-SIDECAR-265,development,multiteam-32,9844100,2,3375,5000,deadline,high,30,8,5000,orphan-rendezvous-pair-sidecar,fresh-development
SCORE-ORPHAN-RENDEZVOUS-PAIR-SIDECAR-265,development,multiteam-24,9845000,2,3375,5000,fixed,generated,18,10,10000,orphan-rendezvous-pair-sidecar,fresh-development
SCORE-ORPHAN-RENDEZVOUS-PAIR-SIDECAR-265,development,multiteam-16,9845100,2,3375,5000,deadline,generated,16,9,15000,orphan-rendezvous-pair-sidecar,fresh-development
SCORE-ORPHAN-RENDEZVOUS-PAIR-SIDECAR-265,holdout,general,9850000,5,3375,5000,deadline,high,0,10,5000,orphan-rendezvous-pair-sidecar,sealed-holdout
SCORE-ORPHAN-RENDEZVOUS-PAIR-SIDECAR-265,holdout,general,9850100,5,3375,5000,fixed,default,0,8,10000,orphan-rendezvous-pair-sidecar,sealed-holdout
SCORE-ORPHAN-RENDEZVOUS-PAIR-SIDECAR-265,holdout,multiteam-12,9851000,5,3375,5000,deadline,low,12,9,15000,orphan-rendezvous-pair-sidecar,sealed-holdout
SCORE-ORPHAN-RENDEZVOUS-PAIR-SIDECAR-265,holdout,multiteam-12,9851100,5,3375,5000,fixed,generated,12,10,5000,orphan-rendezvous-pair-sidecar,sealed-holdout
SCORE-ORPHAN-RENDEZVOUS-PAIR-SIDECAR-265,holdout,multiteam-16,9852000,5,3375,5000,deadline,default,16,8,10000,orphan-rendezvous-pair-sidecar,sealed-holdout
SCORE-ORPHAN-RENDEZVOUS-PAIR-SIDECAR-265,holdout,multiteam-16,9852100,5,3375,5000,fixed,high,16,9,15000,orphan-rendezvous-pair-sidecar,sealed-holdout
SCORE-ORPHAN-RENDEZVOUS-PAIR-SIDECAR-265,holdout,multiteam-24,9853000,4,3375,5000,deadline,low,24,10,5000,orphan-rendezvous-pair-sidecar,sealed-holdout
SCORE-ORPHAN-RENDEZVOUS-PAIR-SIDECAR-265,holdout,multiteam-24,9853100,4,3375,5000,fixed,generated,20,8,10000,orphan-rendezvous-pair-sidecar,sealed-holdout
SCORE-ORPHAN-RENDEZVOUS-PAIR-SIDECAR-265,holdout,multiteam-32,9854000,4,3375,5000,deadline,default,30,9,15000,orphan-rendezvous-pair-sidecar,sealed-holdout
SCORE-ORPHAN-RENDEZVOUS-PAIR-SIDECAR-265,holdout,multiteam-32,9854100,4,3375,5000,fixed,high,30,10,5000,orphan-rendezvous-pair-sidecar,sealed-holdout
SCORE-ORPHAN-RENDEZVOUS-PAIR-SIDECAR-265,holdout,multiteam-24,9855000,4,3375,5000,deadline,default,18,8,10000,orphan-rendezvous-pair-sidecar,sealed-holdout
SCORE-ORPHAN-RENDEZVOUS-PAIR-SIDECAR-265,holdout,multiteam-16,9855100,4,3375,5000,fixed,low,16,10,15000,orphan-rendezvous-pair-sidecar,sealed-holdout
