experiment_id,split,suite,first_seed,count,role_mode,role_mask,budget_ms,gate
SCORE-PENULTIMATE-NEIGHBOR-182,attribution,general,1760000,12,fixed,0,5000,consumed-176-blast-radius-only
SCORE-PENULTIMATE-NEIGHBOR-182,anchor,adversarial-balanced-low,1720000,1,fixed,0,5000,consumed-penultimate-causal-closure
SCORE-PENULTIMATE-NEIGHBOR-182,anchor,adversarial-threshold-low,1721000,1,fixed,0,5000,consumed-first-day-negative-control
SCORE-PENULTIMATE-NEIGHBOR-182,anchor,adversarial-terminal-low,1722000,1,fixed,0,5000,consumed-penultimate-causal-closure
SCORE-PENULTIMATE-NEIGHBOR-182,development,general,1820000,18,fixed,0,5000,candidate-vs-parent-fresh-general
SCORE-PENULTIMATE-NEIGHBOR-182,development,general,1820100,9,deadline,0,5000,candidate-vs-parent-fresh-native-role
SCORE-PENULTIMATE-NEIGHBOR-182,development,btc-lowfuel,1820200,4,fixed,128,5000,candidate-vs-parent-fresh-lowfuel
SCORE-PENULTIMATE-NEIGHBOR-182,development,btc-large,1820300,4,fixed,128,5000,candidate-vs-parent-fresh-default
SCORE-PENULTIMATE-NEIGHBOR-182,development,btc-highfuel,1820400,4,fixed,128,5000,candidate-vs-parent-fresh-highfuel
SCORE-PENULTIMATE-NEIGHBOR-182,holdout,general,1821000,48,fixed,0,5000,candidate-vs-parent-global-score-downside
SCORE-PENULTIMATE-NEIGHBOR-182,holdout,general,1821100,24,deadline,0,5000,candidate-vs-parent-native-role
SCORE-PENULTIMATE-NEIGHBOR-182,holdout,btc-lowfuel,1822000,8,fixed,128,5000,candidate-vs-parent-lowfuel
SCORE-PENULTIMATE-NEIGHBOR-182,holdout,btc-large,1822100,8,fixed,128,5000,candidate-vs-parent-default
SCORE-PENULTIMATE-NEIGHBOR-182,holdout,btc-highfuel,1822200,8,fixed,128,5000,candidate-vs-parent-highfuel
SCORE-PENULTIMATE-NEIGHBOR-182,holdout,btc-lowfuel,1822300,4,deadline,0,5000,candidate-vs-parent-lowfuel-native
SCORE-PENULTIMATE-NEIGHBOR-182,holdout,btc-large,1822400,4,deadline,0,5000,candidate-vs-parent-default-native
SCORE-PENULTIMATE-NEIGHBOR-182,holdout,btc-highfuel,1822500,4,deadline,0,5000,candidate-vs-parent-highfuel-native
