experiment_id,split,suite,first_seed,count,budget_ms,role_ms,role_mode,fuel_profile,spot_count,players,public_window_ms,scope,authority
SCORE-PERSISTENT-AGENT-PERMUTATION-253,development,general,9740000,3,3375,5000,fixed,low,0,8,5000,certified-public-continuation-permutation,fresh-development
SCORE-PERSISTENT-AGENT-PERMUTATION-253,development,general,9740100,3,3375,5000,deadline,generated,0,9,10000,certified-public-continuation-permutation,fresh-development
SCORE-PERSISTENT-AGENT-PERMUTATION-253,development,multiteam-12,9741000,3,3375,5000,fixed,low,12,10,15000,certified-public-continuation-permutation,fresh-development
SCORE-PERSISTENT-AGENT-PERMUTATION-253,development,multiteam-12,9741100,3,3375,5000,deadline,high,12,8,5000,certified-public-continuation-permutation,fresh-development
SCORE-PERSISTENT-AGENT-PERMUTATION-253,development,multiteam-16,9742000,3,3375,5000,fixed,default,16,9,10000,certified-public-continuation-permutation,fresh-development
SCORE-PERSISTENT-AGENT-PERMUTATION-253,development,multiteam-16,9742100,3,3375,5000,deadline,low,16,10,15000,certified-public-continuation-permutation,fresh-development
SCORE-PERSISTENT-AGENT-PERMUTATION-253,development,multiteam-24,9743000,2,3375,5000,fixed,high,24,8,5000,certified-public-continuation-permutation,fresh-development
SCORE-PERSISTENT-AGENT-PERMUTATION-253,development,multiteam-24,9743100,2,3375,5000,deadline,default,24,9,10000,certified-public-continuation-permutation,fresh-development
SCORE-PERSISTENT-AGENT-PERMUTATION-253,development,multiteam-32,9744000,2,3375,5000,fixed,low,30,10,15000,certified-public-continuation-permutation,fresh-development
SCORE-PERSISTENT-AGENT-PERMUTATION-253,development,multiteam-32,9744100,2,3375,5000,deadline,high,30,8,5000,certified-public-continuation-permutation,fresh-development
SCORE-PERSISTENT-AGENT-PERMUTATION-253,development,multiteam-24,9745000,2,3375,5000,fixed,generated,18,10,10000,certified-public-continuation-permutation,fresh-development
SCORE-PERSISTENT-AGENT-PERMUTATION-253,development,multiteam-16,9745100,2,3375,5000,deadline,generated,16,8,15000,certified-public-continuation-permutation,fresh-development
SCORE-PERSISTENT-AGENT-PERMUTATION-253,holdout,general,9750000,5,3375,5000,fixed,low,0,8,5000,certified-public-continuation-permutation,sealed-holdout
SCORE-PERSISTENT-AGENT-PERMUTATION-253,holdout,general,9750100,5,3375,5000,deadline,generated,0,9,10000,certified-public-continuation-permutation,sealed-holdout
SCORE-PERSISTENT-AGENT-PERMUTATION-253,holdout,multiteam-12,9751000,5,3375,5000,fixed,low,12,10,15000,certified-public-continuation-permutation,sealed-holdout
SCORE-PERSISTENT-AGENT-PERMUTATION-253,holdout,multiteam-12,9751100,5,3375,5000,deadline,high,12,8,5000,certified-public-continuation-permutation,sealed-holdout
SCORE-PERSISTENT-AGENT-PERMUTATION-253,holdout,multiteam-16,9752000,5,3375,5000,fixed,default,16,9,10000,certified-public-continuation-permutation,sealed-holdout
SCORE-PERSISTENT-AGENT-PERMUTATION-253,holdout,multiteam-16,9752100,5,3375,5000,deadline,low,16,10,15000,certified-public-continuation-permutation,sealed-holdout
SCORE-PERSISTENT-AGENT-PERMUTATION-253,holdout,multiteam-24,9753000,4,3375,5000,fixed,high,24,8,5000,certified-public-continuation-permutation,sealed-holdout
SCORE-PERSISTENT-AGENT-PERMUTATION-253,holdout,multiteam-24,9753100,4,3375,5000,deadline,default,24,9,10000,certified-public-continuation-permutation,sealed-holdout
SCORE-PERSISTENT-AGENT-PERMUTATION-253,holdout,multiteam-32,9754000,4,3375,5000,fixed,low,30,10,15000,certified-public-continuation-permutation,sealed-holdout
SCORE-PERSISTENT-AGENT-PERMUTATION-253,holdout,multiteam-32,9754100,4,3375,5000,deadline,high,30,8,5000,certified-public-continuation-permutation,sealed-holdout
SCORE-PERSISTENT-AGENT-PERMUTATION-253,holdout,multiteam-24,9755000,4,3375,5000,fixed,generated,18,10,10000,certified-public-continuation-permutation,sealed-holdout
SCORE-PERSISTENT-AGENT-PERMUTATION-253,holdout,multiteam-16,9755100,4,3375,5000,deadline,generated,16,8,15000,certified-public-continuation-permutation,sealed-holdout
