experiment_id,split,suite,first_seed,count,budget_ms,role_ms,role_mode,fuel_profile,spot_count,players,public_window_ms,scope,authority
SCORE-PROTECTED-SPARSE-MASTER-SUPPLY-276,development,general,9940000,3,3375,5000,fixed,low,0,8,5000,protected-sparse-master-supply,fresh-development
SCORE-PROTECTED-SPARSE-MASTER-SUPPLY-276,development,general,9940100,3,3375,5000,deadline,generated,0,9,10000,protected-sparse-master-supply,fresh-development
SCORE-PROTECTED-SPARSE-MASTER-SUPPLY-276,development,multiteam-12,9941000,3,3375,5000,fixed,low,12,10,15000,protected-sparse-master-supply,fresh-development
SCORE-PROTECTED-SPARSE-MASTER-SUPPLY-276,development,multiteam-12,9941100,3,3375,5000,deadline,high,12,8,5000,protected-sparse-master-supply,fresh-development
SCORE-PROTECTED-SPARSE-MASTER-SUPPLY-276,development,multiteam-16,9942000,3,3375,5000,fixed,default,16,9,10000,protected-sparse-master-supply,fresh-development
SCORE-PROTECTED-SPARSE-MASTER-SUPPLY-276,development,multiteam-16,9942100,3,3375,5000,deadline,low,16,10,15000,protected-sparse-master-supply,fresh-development
SCORE-PROTECTED-SPARSE-MASTER-SUPPLY-276,development,multiteam-24,9943000,2,3375,5000,fixed,high,24,8,5000,protected-sparse-master-supply,fresh-development
SCORE-PROTECTED-SPARSE-MASTER-SUPPLY-276,development,multiteam-24,9943100,2,3375,5000,deadline,default,24,9,10000,protected-sparse-master-supply,fresh-development
SCORE-PROTECTED-SPARSE-MASTER-SUPPLY-276,development,multiteam-32,9944000,2,3375,5000,fixed,low,30,10,15000,protected-sparse-master-supply,fresh-development
SCORE-PROTECTED-SPARSE-MASTER-SUPPLY-276,development,multiteam-32,9944100,2,3375,5000,deadline,high,30,8,5000,protected-sparse-master-supply,fresh-development
SCORE-PROTECTED-SPARSE-MASTER-SUPPLY-276,development,multiteam-24,9945000,2,3375,5000,fixed,generated,18,10,10000,protected-sparse-master-supply,fresh-development
SCORE-PROTECTED-SPARSE-MASTER-SUPPLY-276,development,multiteam-16,9945100,2,3375,5000,deadline,generated,16,9,15000,protected-sparse-master-supply,fresh-development
SCORE-PROTECTED-SPARSE-MASTER-SUPPLY-276,holdout,general,9950000,5,3375,5000,deadline,high,0,10,5000,protected-sparse-master-supply,sealed-holdout
SCORE-PROTECTED-SPARSE-MASTER-SUPPLY-276,holdout,general,9950100,5,3375,5000,fixed,default,0,8,10000,protected-sparse-master-supply,sealed-holdout
SCORE-PROTECTED-SPARSE-MASTER-SUPPLY-276,holdout,multiteam-12,9951000,5,3375,5000,deadline,low,12,9,15000,protected-sparse-master-supply,sealed-holdout
SCORE-PROTECTED-SPARSE-MASTER-SUPPLY-276,holdout,multiteam-12,9951100,5,3375,5000,fixed,generated,12,10,5000,protected-sparse-master-supply,sealed-holdout
SCORE-PROTECTED-SPARSE-MASTER-SUPPLY-276,holdout,multiteam-16,9952000,5,3375,5000,deadline,default,16,8,10000,protected-sparse-master-supply,sealed-holdout
SCORE-PROTECTED-SPARSE-MASTER-SUPPLY-276,holdout,multiteam-16,9952100,5,3375,5000,fixed,high,16,9,15000,protected-sparse-master-supply,sealed-holdout
SCORE-PROTECTED-SPARSE-MASTER-SUPPLY-276,holdout,multiteam-24,9953000,4,3375,5000,deadline,low,24,10,5000,protected-sparse-master-supply,sealed-holdout
SCORE-PROTECTED-SPARSE-MASTER-SUPPLY-276,holdout,multiteam-24,9953100,4,3375,5000,fixed,generated,20,8,10000,protected-sparse-master-supply,sealed-holdout
SCORE-PROTECTED-SPARSE-MASTER-SUPPLY-276,holdout,multiteam-32,9954000,4,3375,5000,deadline,default,30,9,15000,protected-sparse-master-supply,sealed-holdout
SCORE-PROTECTED-SPARSE-MASTER-SUPPLY-276,holdout,multiteam-32,9954100,4,3375,5000,fixed,high,30,10,5000,protected-sparse-master-supply,sealed-holdout
SCORE-PROTECTED-SPARSE-MASTER-SUPPLY-276,holdout,multiteam-24,9955000,4,3375,5000,deadline,default,18,8,10000,protected-sparse-master-supply,sealed-holdout
SCORE-PROTECTED-SPARSE-MASTER-SUPPLY-276,holdout,multiteam-16,9955100,4,3375,5000,fixed,low,16,10,15000,protected-sparse-master-supply,sealed-holdout
