experiment_id,split,suite,first_seed,count,budget_ms,role_ms,role_mode,fuel_profile,spot_count,players,public_window_ms,scope,authority
SCORE-REQUIRED-TERMINAL-LOWER-BOUND-301,development,general,10300000,3,3375,5000,fixed,low,0,8,5000,required-terminal-lower-bound,fresh-development
SCORE-REQUIRED-TERMINAL-LOWER-BOUND-301,development,general,10300100,3,3375,5000,deadline,generated,0,9,10000,required-terminal-lower-bound,fresh-development
SCORE-REQUIRED-TERMINAL-LOWER-BOUND-301,development,multiteam-12,10301000,3,3375,5000,fixed,low,12,10,15000,required-terminal-lower-bound,fresh-development
SCORE-REQUIRED-TERMINAL-LOWER-BOUND-301,development,multiteam-12,10301100,3,3375,5000,deadline,high,12,8,5000,required-terminal-lower-bound,fresh-development
SCORE-REQUIRED-TERMINAL-LOWER-BOUND-301,development,multiteam-16,10302000,3,3375,5000,fixed,default,16,9,10000,required-terminal-lower-bound,fresh-development
SCORE-REQUIRED-TERMINAL-LOWER-BOUND-301,development,multiteam-16,10302100,3,3375,5000,deadline,low,16,10,15000,required-terminal-lower-bound,fresh-development
SCORE-REQUIRED-TERMINAL-LOWER-BOUND-301,development,multiteam-24,10303000,2,3375,5000,fixed,high,24,8,5000,required-terminal-lower-bound,fresh-development
SCORE-REQUIRED-TERMINAL-LOWER-BOUND-301,development,multiteam-24,10303100,2,3375,5000,deadline,default,24,9,10000,required-terminal-lower-bound,fresh-development
SCORE-REQUIRED-TERMINAL-LOWER-BOUND-301,development,multiteam-32,10304000,2,3375,5000,fixed,low,30,10,15000,required-terminal-lower-bound,fresh-development
SCORE-REQUIRED-TERMINAL-LOWER-BOUND-301,development,multiteam-32,10304100,2,3375,5000,deadline,high,30,8,5000,required-terminal-lower-bound,fresh-development
SCORE-REQUIRED-TERMINAL-LOWER-BOUND-301,development,multiteam-24,10305000,2,3375,5000,fixed,generated,18,10,10000,required-terminal-lower-bound,fresh-development
SCORE-REQUIRED-TERMINAL-LOWER-BOUND-301,development,multiteam-16,10305100,2,3375,5000,deadline,generated,16,9,15000,required-terminal-lower-bound,fresh-development
SCORE-REQUIRED-TERMINAL-LOWER-BOUND-301,holdout,general,10310000,5,3375,5000,deadline,high,0,10,5000,required-terminal-lower-bound,sealed-holdout
SCORE-REQUIRED-TERMINAL-LOWER-BOUND-301,holdout,general,10310100,5,3375,5000,fixed,default,0,8,10000,required-terminal-lower-bound,sealed-holdout
SCORE-REQUIRED-TERMINAL-LOWER-BOUND-301,holdout,multiteam-12,10311000,5,3375,5000,deadline,low,12,9,15000,required-terminal-lower-bound,sealed-holdout
SCORE-REQUIRED-TERMINAL-LOWER-BOUND-301,holdout,multiteam-12,10311100,5,3375,5000,fixed,generated,12,10,5000,required-terminal-lower-bound,sealed-holdout
SCORE-REQUIRED-TERMINAL-LOWER-BOUND-301,holdout,multiteam-16,10312000,5,3375,5000,deadline,default,16,8,10000,required-terminal-lower-bound,sealed-holdout
SCORE-REQUIRED-TERMINAL-LOWER-BOUND-301,holdout,multiteam-16,10312100,5,3375,5000,fixed,high,16,9,15000,required-terminal-lower-bound,sealed-holdout
SCORE-REQUIRED-TERMINAL-LOWER-BOUND-301,holdout,multiteam-24,10313000,4,3375,5000,deadline,low,24,10,5000,required-terminal-lower-bound,sealed-holdout
SCORE-REQUIRED-TERMINAL-LOWER-BOUND-301,holdout,multiteam-24,10313100,4,3375,5000,fixed,generated,20,8,10000,required-terminal-lower-bound,sealed-holdout
SCORE-REQUIRED-TERMINAL-LOWER-BOUND-301,holdout,multiteam-32,10314000,4,3375,5000,deadline,default,30,9,15000,required-terminal-lower-bound,sealed-holdout
SCORE-REQUIRED-TERMINAL-LOWER-BOUND-301,holdout,multiteam-32,10314100,4,3375,5000,fixed,high,30,10,5000,required-terminal-lower-bound,sealed-holdout
SCORE-REQUIRED-TERMINAL-LOWER-BOUND-301,holdout,multiteam-24,10315000,4,3375,5000,deadline,default,18,8,10000,required-terminal-lower-bound,sealed-holdout
SCORE-REQUIRED-TERMINAL-LOWER-BOUND-301,holdout,multiteam-16,10315100,4,3375,5000,fixed,low,16,10,15000,required-terminal-lower-bound,sealed-holdout
