experiment_id,split,suite,first_seed,count,budget_ms,role_ms,role_mode,fuel_profile,spot_count,players,scope,authority
SCORE-SPARSE-CANONICAL-MASTER-SUPPLY-275,development,general,9920000,3,3375,5000,fixed,low,0,8,additive-sparse-columns-existing-master,fresh-development
SCORE-SPARSE-CANONICAL-MASTER-SUPPLY-275,development,general,9920100,3,3375,5000,deadline,generated,0,9,additive-sparse-columns-existing-master,fresh-development
SCORE-SPARSE-CANONICAL-MASTER-SUPPLY-275,development,multiteam-12,9921000,3,3375,5000,fixed,low,12,10,additive-sparse-columns-existing-master,fresh-development
SCORE-SPARSE-CANONICAL-MASTER-SUPPLY-275,development,multiteam-12,9921100,3,3375,5000,deadline,high,12,8,additive-sparse-columns-existing-master,fresh-development
SCORE-SPARSE-CANONICAL-MASTER-SUPPLY-275,development,multiteam-16,9922000,3,3375,5000,fixed,default,16,9,additive-sparse-columns-existing-master,fresh-development
SCORE-SPARSE-CANONICAL-MASTER-SUPPLY-275,development,multiteam-16,9922100,3,3375,5000,deadline,low,16,10,additive-sparse-columns-existing-master,fresh-development
SCORE-SPARSE-CANONICAL-MASTER-SUPPLY-275,development,multiteam-24,9923000,2,3375,5000,fixed,high,24,8,additive-sparse-columns-existing-master,fresh-development
SCORE-SPARSE-CANONICAL-MASTER-SUPPLY-275,development,multiteam-24,9923100,2,3375,5000,deadline,default,24,9,additive-sparse-columns-existing-master,fresh-development
SCORE-SPARSE-CANONICAL-MASTER-SUPPLY-275,development,multiteam-32,9924000,2,3375,5000,fixed,low,30,10,additive-sparse-columns-existing-master,fresh-development
SCORE-SPARSE-CANONICAL-MASTER-SUPPLY-275,development,multiteam-32,9924100,2,3375,5000,deadline,high,30,8,additive-sparse-columns-existing-master,fresh-development
SCORE-SPARSE-CANONICAL-MASTER-SUPPLY-275,development,multiteam-24,9925000,2,3375,5000,fixed,generated,18,10,additive-sparse-columns-existing-master,fresh-development
SCORE-SPARSE-CANONICAL-MASTER-SUPPLY-275,development,multiteam-16,9925100,2,3375,5000,deadline,generated,16,9,additive-sparse-columns-existing-master,fresh-development
SCORE-SPARSE-CANONICAL-MASTER-SUPPLY-275,holdout,general,9930000,5,3375,5000,deadline,high,0,10,additive-sparse-columns-existing-master,sealed-holdout
SCORE-SPARSE-CANONICAL-MASTER-SUPPLY-275,holdout,general,9930100,5,3375,5000,fixed,default,0,8,additive-sparse-columns-existing-master,sealed-holdout
SCORE-SPARSE-CANONICAL-MASTER-SUPPLY-275,holdout,multiteam-12,9931000,5,3375,5000,deadline,low,12,9,additive-sparse-columns-existing-master,sealed-holdout
SCORE-SPARSE-CANONICAL-MASTER-SUPPLY-275,holdout,multiteam-12,9931100,5,3375,5000,fixed,generated,12,10,additive-sparse-columns-existing-master,sealed-holdout
SCORE-SPARSE-CANONICAL-MASTER-SUPPLY-275,holdout,multiteam-16,9932000,5,3375,5000,deadline,default,16,8,additive-sparse-columns-existing-master,sealed-holdout
SCORE-SPARSE-CANONICAL-MASTER-SUPPLY-275,holdout,multiteam-16,9932100,5,3375,5000,fixed,high,16,9,additive-sparse-columns-existing-master,sealed-holdout
SCORE-SPARSE-CANONICAL-MASTER-SUPPLY-275,holdout,multiteam-24,9933000,4,3375,5000,deadline,low,24,10,additive-sparse-columns-existing-master,sealed-holdout
SCORE-SPARSE-CANONICAL-MASTER-SUPPLY-275,holdout,multiteam-24,9933100,4,3375,5000,fixed,generated,20,8,additive-sparse-columns-existing-master,sealed-holdout
SCORE-SPARSE-CANONICAL-MASTER-SUPPLY-275,holdout,multiteam-32,9934000,4,3375,5000,deadline,default,30,9,additive-sparse-columns-existing-master,sealed-holdout
SCORE-SPARSE-CANONICAL-MASTER-SUPPLY-275,holdout,multiteam-32,9934100,4,3375,5000,fixed,high,30,10,additive-sparse-columns-existing-master,sealed-holdout
SCORE-SPARSE-CANONICAL-MASTER-SUPPLY-275,holdout,multiteam-24,9935000,4,3375,5000,deadline,default,18,8,additive-sparse-columns-existing-master,sealed-holdout
SCORE-SPARSE-CANONICAL-MASTER-SUPPLY-275,holdout,multiteam-16,9935100,4,3375,5000,fixed,low,16,10,additive-sparse-columns-existing-master,sealed-holdout
