experiment_id,split,suite,first_seed,count,budget_ms,role_ms,role_mode,fuel_profile,spot_count,players,scope,authority
SCORE-SPARSE-ROUTE-CANDIDATE-SUPPLY-248,development,general,9630000,3,3375,5000,fixed,low,0,8,additive-sparse-candidate-vs-parent,fresh-development
SCORE-SPARSE-ROUTE-CANDIDATE-SUPPLY-248,development,general,9630100,3,3375,5000,deadline,generated,0,9,additive-sparse-candidate-vs-parent,fresh-development
SCORE-SPARSE-ROUTE-CANDIDATE-SUPPLY-248,development,multiteam-12,9631000,3,3375,5000,fixed,low,12,10,additive-sparse-candidate-vs-parent,fresh-development
SCORE-SPARSE-ROUTE-CANDIDATE-SUPPLY-248,development,multiteam-12,9631100,3,3375,5000,deadline,high,12,8,additive-sparse-candidate-vs-parent,fresh-development
SCORE-SPARSE-ROUTE-CANDIDATE-SUPPLY-248,development,multiteam-16,9632000,3,3375,5000,fixed,default,16,9,additive-sparse-candidate-vs-parent,fresh-development
SCORE-SPARSE-ROUTE-CANDIDATE-SUPPLY-248,development,multiteam-16,9632100,3,3375,5000,deadline,low,16,10,additive-sparse-candidate-vs-parent,fresh-development
SCORE-SPARSE-ROUTE-CANDIDATE-SUPPLY-248,development,multiteam-24,9633000,2,3375,5000,fixed,high,24,8,additive-sparse-candidate-vs-parent,fresh-development
SCORE-SPARSE-ROUTE-CANDIDATE-SUPPLY-248,development,multiteam-24,9633100,2,3375,5000,deadline,default,24,9,additive-sparse-candidate-vs-parent,fresh-development
SCORE-SPARSE-ROUTE-CANDIDATE-SUPPLY-248,development,multiteam-32,9634000,2,3375,5000,fixed,low,30,10,additive-sparse-candidate-vs-parent,fresh-development
SCORE-SPARSE-ROUTE-CANDIDATE-SUPPLY-248,development,multiteam-32,9634100,2,3375,5000,deadline,high,30,8,additive-sparse-candidate-vs-parent,fresh-development
SCORE-SPARSE-ROUTE-CANDIDATE-SUPPLY-248,development,multiteam-24,9635000,2,3375,5000,fixed,generated,18,10,additive-sparse-candidate-vs-parent,fresh-development
SCORE-SPARSE-ROUTE-CANDIDATE-SUPPLY-248,development,multiteam-16,9635100,2,3375,5000,deadline,generated,16,8,additive-sparse-candidate-vs-parent,fresh-development
SCORE-SPARSE-ROUTE-CANDIDATE-SUPPLY-248,holdout,general,9640000,5,3375,5000,fixed,low,0,8,additive-sparse-candidate-vs-parent,sealed-holdout
SCORE-SPARSE-ROUTE-CANDIDATE-SUPPLY-248,holdout,general,9640100,5,3375,5000,deadline,generated,0,9,additive-sparse-candidate-vs-parent,sealed-holdout
SCORE-SPARSE-ROUTE-CANDIDATE-SUPPLY-248,holdout,multiteam-12,9641000,5,3375,5000,fixed,low,12,10,additive-sparse-candidate-vs-parent,sealed-holdout
SCORE-SPARSE-ROUTE-CANDIDATE-SUPPLY-248,holdout,multiteam-12,9641100,5,3375,5000,deadline,high,12,8,additive-sparse-candidate-vs-parent,sealed-holdout
SCORE-SPARSE-ROUTE-CANDIDATE-SUPPLY-248,holdout,multiteam-16,9642000,5,3375,5000,fixed,default,16,9,additive-sparse-candidate-vs-parent,sealed-holdout
SCORE-SPARSE-ROUTE-CANDIDATE-SUPPLY-248,holdout,multiteam-16,9642100,5,3375,5000,deadline,low,16,10,additive-sparse-candidate-vs-parent,sealed-holdout
SCORE-SPARSE-ROUTE-CANDIDATE-SUPPLY-248,holdout,multiteam-24,9643000,4,3375,5000,fixed,high,24,8,additive-sparse-candidate-vs-parent,sealed-holdout
SCORE-SPARSE-ROUTE-CANDIDATE-SUPPLY-248,holdout,multiteam-24,9643100,4,3375,5000,deadline,default,24,9,additive-sparse-candidate-vs-parent,sealed-holdout
SCORE-SPARSE-ROUTE-CANDIDATE-SUPPLY-248,holdout,multiteam-32,9644000,4,3375,5000,fixed,low,30,10,additive-sparse-candidate-vs-parent,sealed-holdout
SCORE-SPARSE-ROUTE-CANDIDATE-SUPPLY-248,holdout,multiteam-32,9644100,4,3375,5000,deadline,high,30,8,additive-sparse-candidate-vs-parent,sealed-holdout
SCORE-SPARSE-ROUTE-CANDIDATE-SUPPLY-248,holdout,multiteam-24,9645000,4,3375,5000,fixed,generated,18,10,additive-sparse-candidate-vs-parent,sealed-holdout
SCORE-SPARSE-ROUTE-CANDIDATE-SUPPLY-248,holdout,multiteam-16,9645100,4,3375,5000,deadline,generated,16,8,additive-sparse-candidate-vs-parent,sealed-holdout
