experiment_id,split,family,fuel_profile,horizon,first_seed,count,active_agents,total_agents,spot_count,role_mode,scope
SCORE-TANKER-CANONICAL-CARAVAN-158,development,rendezvous-chain,low,4,3630000,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-CANONICAL-CARAVAN-158,development,split-duty,low,4,3630100,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-CANONICAL-CARAVAN-158,development,stock-cycle,low,4,3630200,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-CANONICAL-CARAVAN-158,development,rare-return,low,4,3630300,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-CANONICAL-CARAVAN-158,development,rendezvous-chain,default,4,3640000,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-CANONICAL-CARAVAN-158,development,split-duty,default,4,3640100,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-CANONICAL-CARAVAN-158,development,stock-cycle,default,4,3640200,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-CANONICAL-CARAVAN-158,development,rare-return,default,4,3640300,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-CANONICAL-CARAVAN-158,development,rendezvous-chain,high,4,3650000,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-CANONICAL-CARAVAN-158,development,split-duty,high,4,3650100,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-CANONICAL-CARAVAN-158,development,stock-cycle,high,4,3650200,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-CANONICAL-CARAVAN-158,development,rare-return,high,4,3650300,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-CANONICAL-CARAVAN-158,holdout,rendezvous-chain,low,4,3660000,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-CANONICAL-CARAVAN-158,holdout,split-duty,low,4,3660100,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-CANONICAL-CARAVAN-158,holdout,stock-cycle,low,4,3660200,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-CANONICAL-CARAVAN-158,holdout,rare-return,low,4,3660300,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-CANONICAL-CARAVAN-158,holdout,rendezvous-chain,default,4,3670000,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-CANONICAL-CARAVAN-158,holdout,split-duty,default,4,3670100,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-CANONICAL-CARAVAN-158,holdout,stock-cycle,default,4,3670200,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-CANONICAL-CARAVAN-158,holdout,rare-return,default,4,3670300,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-CANONICAL-CARAVAN-158,holdout,rendezvous-chain,high,4,3680000,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-CANONICAL-CARAVAN-158,holdout,split-duty,high,4,3680100,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-CANONICAL-CARAVAN-158,holdout,stock-cycle,high,4,3680200,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-CANONICAL-CARAVAN-158,holdout,rare-return,high,4,3680300,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
