experiment_id,split,family,fuel_profile,horizon,first_seed,count,active_agents,total_agents,spot_count,role_mode,scope
SCORE-TANKER-CARAVAN-PRESEED-155,development,split-duty,low,4,3200100,1,3,3,3,two-patrol-one-tanker,consumed-exact-anchor
SCORE-TANKER-CARAVAN-PRESEED-155,development,rendezvous-chain,low,4,3410000,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-CARAVAN-PRESEED-155,development,split-duty,low,4,3410100,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-CARAVAN-PRESEED-155,development,stock-cycle,low,4,3410200,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-CARAVAN-PRESEED-155,development,rare-return,low,4,3410300,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-CARAVAN-PRESEED-155,development,rendezvous-chain,default,4,3420000,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-CARAVAN-PRESEED-155,development,split-duty,default,4,3420100,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-CARAVAN-PRESEED-155,development,stock-cycle,default,4,3420200,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-CARAVAN-PRESEED-155,development,rare-return,default,4,3420300,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-CARAVAN-PRESEED-155,development,rendezvous-chain,high,4,3430000,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-CARAVAN-PRESEED-155,development,split-duty,high,4,3430100,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-CARAVAN-PRESEED-155,development,stock-cycle,high,4,3430200,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-CARAVAN-PRESEED-155,development,rare-return,high,4,3430300,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-CARAVAN-PRESEED-155,holdout,rendezvous-chain,low,4,3440000,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-CARAVAN-PRESEED-155,holdout,split-duty,low,4,3440100,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-CARAVAN-PRESEED-155,holdout,stock-cycle,low,4,3440200,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-CARAVAN-PRESEED-155,holdout,rare-return,low,4,3440300,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-CARAVAN-PRESEED-155,holdout,rendezvous-chain,default,4,3450000,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-CARAVAN-PRESEED-155,holdout,split-duty,default,4,3450100,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-CARAVAN-PRESEED-155,holdout,stock-cycle,default,4,3450200,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-CARAVAN-PRESEED-155,holdout,rare-return,default,4,3450300,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-CARAVAN-PRESEED-155,holdout,rendezvous-chain,high,4,3460000,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-CARAVAN-PRESEED-155,holdout,split-duty,high,4,3460100,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-CARAVAN-PRESEED-155,holdout,stock-cycle,high,4,3460200,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-CARAVAN-PRESEED-155,holdout,rare-return,high,4,3460300,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
