experiment_id,split,family,fuel_profile,horizon,first_seed,count,active_agents,total_agents,spot_count,role_mode,scope
SCORE-TANKER-JOINT-CARAVAN-153,development,split-duty,low,4,3200100,1,3,3,3,two-patrol-one-tanker,consumed-exact-anchor
SCORE-TANKER-JOINT-CARAVAN-153,development,rendezvous-chain,low,4,3350000,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-JOINT-CARAVAN-153,development,split-duty,low,4,3350100,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-JOINT-CARAVAN-153,development,stock-cycle,low,4,3350200,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-JOINT-CARAVAN-153,development,rare-return,low,4,3350300,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-JOINT-CARAVAN-153,development,rendezvous-chain,default,4,3360000,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-JOINT-CARAVAN-153,development,split-duty,default,4,3360100,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-JOINT-CARAVAN-153,development,stock-cycle,default,4,3360200,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-JOINT-CARAVAN-153,development,rare-return,default,4,3360300,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-JOINT-CARAVAN-153,development,rendezvous-chain,high,4,3370000,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-JOINT-CARAVAN-153,development,split-duty,high,4,3370100,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-JOINT-CARAVAN-153,development,stock-cycle,high,4,3370200,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-JOINT-CARAVAN-153,development,rare-return,high,4,3370300,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-JOINT-CARAVAN-153,holdout,rendezvous-chain,low,4,3380000,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-JOINT-CARAVAN-153,holdout,split-duty,low,4,3380100,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-JOINT-CARAVAN-153,holdout,stock-cycle,low,4,3380200,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-JOINT-CARAVAN-153,holdout,rare-return,low,4,3380300,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-JOINT-CARAVAN-153,holdout,rendezvous-chain,default,4,3390000,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-JOINT-CARAVAN-153,holdout,split-duty,default,4,3390100,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-JOINT-CARAVAN-153,holdout,stock-cycle,default,4,3390200,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-JOINT-CARAVAN-153,holdout,rare-return,default,4,3390300,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-JOINT-CARAVAN-153,holdout,rendezvous-chain,high,4,3400000,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-JOINT-CARAVAN-153,holdout,split-duty,high,4,3400100,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-JOINT-CARAVAN-153,holdout,stock-cycle,high,4,3400200,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-JOINT-CARAVAN-153,holdout,rare-return,high,4,3400300,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
