experiment_id,split,family,fuel_profile,first_seed,count,agent_count,spot_count,day_count,terminal_day,role_mode,scope
SCORE-TANKER-PARENT-FIRST-141,development,rendezvous,low,3000000,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-PARENT-FIRST-141,holdout,rendezvous,low,3000001,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-PARENT-FIRST-141,development,split-frontier,low,3000100,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-PARENT-FIRST-141,holdout,split-frontier,low,3000101,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-PARENT-FIRST-141,development,stock-contention,low,3000200,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-PARENT-FIRST-141,holdout,stock-contention,low,3000201,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-PARENT-FIRST-141,development,rare-brand,low,3000300,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-PARENT-FIRST-141,holdout,rare-brand,low,3000301,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-PARENT-FIRST-141,development,mountain-bridge,low,3000400,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-PARENT-FIRST-141,holdout,mountain-bridge,low,3000401,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-PARENT-FIRST-141,development,delayed-claim,low,3000500,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-PARENT-FIRST-141,holdout,delayed-claim,low,3000501,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-PARENT-FIRST-141,development,rendezvous,default,3010000,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-PARENT-FIRST-141,holdout,rendezvous,default,3010001,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-PARENT-FIRST-141,development,split-frontier,default,3010100,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-PARENT-FIRST-141,holdout,split-frontier,default,3010101,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-PARENT-FIRST-141,development,stock-contention,default,3010200,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-PARENT-FIRST-141,holdout,stock-contention,default,3010201,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-PARENT-FIRST-141,development,rare-brand,default,3010300,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-PARENT-FIRST-141,holdout,rare-brand,default,3010301,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-PARENT-FIRST-141,development,mountain-bridge,default,3010400,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-PARENT-FIRST-141,holdout,mountain-bridge,default,3010401,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-PARENT-FIRST-141,development,delayed-claim,default,3010500,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-PARENT-FIRST-141,holdout,delayed-claim,default,3010501,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-PARENT-FIRST-141,development,rendezvous,high,3020000,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-PARENT-FIRST-141,holdout,rendezvous,high,3020001,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-PARENT-FIRST-141,development,split-frontier,high,3020100,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-PARENT-FIRST-141,holdout,split-frontier,high,3020101,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-PARENT-FIRST-141,development,stock-contention,high,3020200,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-PARENT-FIRST-141,holdout,stock-contention,high,3020201,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-PARENT-FIRST-141,development,rare-brand,high,3020300,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-PARENT-FIRST-141,holdout,rare-brand,high,3020301,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-PARENT-FIRST-141,development,mountain-bridge,high,3020400,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-PARENT-FIRST-141,holdout,mountain-bridge,high,3020401,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-PARENT-FIRST-141,development,delayed-claim,high,3020500,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-PARENT-FIRST-141,holdout,delayed-claim,high,3020501,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
