experiment_id,split,family,fuel_profile,first_seed,count,agent_count,spot_count,day_count,terminal_day,role_mode,scope
SCORE-TANKER-POST-PARENT-142,development,rendezvous,low,3100000,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-POST-PARENT-142,holdout,rendezvous,low,3100001,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-POST-PARENT-142,development,split-frontier,low,3100100,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-POST-PARENT-142,holdout,split-frontier,low,3100101,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-POST-PARENT-142,development,stock-contention,low,3100200,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-POST-PARENT-142,holdout,stock-contention,low,3100201,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-POST-PARENT-142,development,rare-brand,low,3100300,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-POST-PARENT-142,holdout,rare-brand,low,3100301,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-POST-PARENT-142,development,mountain-bridge,low,3100400,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-POST-PARENT-142,holdout,mountain-bridge,low,3100401,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-POST-PARENT-142,development,delayed-claim,low,3100500,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-POST-PARENT-142,holdout,delayed-claim,low,3100501,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-POST-PARENT-142,development,rendezvous,default,3110000,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-POST-PARENT-142,holdout,rendezvous,default,3110001,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-POST-PARENT-142,development,split-frontier,default,3110100,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-POST-PARENT-142,holdout,split-frontier,default,3110101,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-POST-PARENT-142,development,stock-contention,default,3110200,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-POST-PARENT-142,holdout,stock-contention,default,3110201,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-POST-PARENT-142,development,rare-brand,default,3110300,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-POST-PARENT-142,holdout,rare-brand,default,3110301,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-POST-PARENT-142,development,mountain-bridge,default,3110400,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-POST-PARENT-142,holdout,mountain-bridge,default,3110401,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-POST-PARENT-142,development,delayed-claim,default,3110500,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-POST-PARENT-142,holdout,delayed-claim,default,3110501,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-POST-PARENT-142,development,rendezvous,high,3120000,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-POST-PARENT-142,holdout,rendezvous,high,3120001,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-POST-PARENT-142,development,split-frontier,high,3120100,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-POST-PARENT-142,holdout,split-frontier,high,3120101,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-POST-PARENT-142,development,stock-contention,high,3120200,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-POST-PARENT-142,holdout,stock-contention,high,3120201,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-POST-PARENT-142,development,rare-brand,high,3120300,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-POST-PARENT-142,holdout,rare-brand,high,3120301,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-POST-PARENT-142,development,mountain-bridge,high,3120400,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-POST-PARENT-142,holdout,mountain-bridge,high,3120401,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-POST-PARENT-142,development,delayed-claim,high,3120500,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-POST-PARENT-142,holdout,delayed-claim,high,3120501,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
