experiment_id,split,family,fuel_profile,horizon,first_seed,count,active_agents,total_agents,spot_count,role_mode,scope
SCORE-TANKER-SAFE-MOBILE-151,development,split-duty,low,4,3200100,1,3,3,3,two-patrol-one-tanker,consumed-exact-anchor
SCORE-TANKER-SAFE-MOBILE-151,development,rendezvous-chain,low,4,3230000,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-SAFE-MOBILE-151,development,split-duty,low,4,3230100,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-SAFE-MOBILE-151,development,stock-cycle,low,4,3230200,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-SAFE-MOBILE-151,development,rare-return,low,4,3230300,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-SAFE-MOBILE-151,development,rendezvous-chain,default,4,3240000,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-SAFE-MOBILE-151,development,split-duty,default,4,3240100,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-SAFE-MOBILE-151,development,stock-cycle,default,4,3240200,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-SAFE-MOBILE-151,development,rare-return,default,4,3240300,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-SAFE-MOBILE-151,development,rendezvous-chain,high,4,3250000,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-SAFE-MOBILE-151,development,split-duty,high,4,3250100,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-SAFE-MOBILE-151,development,stock-cycle,high,4,3250200,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-SAFE-MOBILE-151,development,rare-return,high,4,3250300,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-SAFE-MOBILE-151,holdout,rendezvous-chain,low,4,3260000,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-SAFE-MOBILE-151,holdout,split-duty,low,4,3260100,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-SAFE-MOBILE-151,holdout,stock-cycle,low,4,3260200,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-SAFE-MOBILE-151,holdout,rare-return,low,4,3260300,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-SAFE-MOBILE-151,holdout,rendezvous-chain,default,4,3270000,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-SAFE-MOBILE-151,holdout,split-duty,default,4,3270100,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-SAFE-MOBILE-151,holdout,stock-cycle,default,4,3270200,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-SAFE-MOBILE-151,holdout,rare-return,default,4,3270300,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-SAFE-MOBILE-151,holdout,rendezvous-chain,high,4,3280000,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-SAFE-MOBILE-151,holdout,split-duty,high,4,3280100,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-SAFE-MOBILE-151,holdout,stock-cycle,high,4,3280200,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-SAFE-MOBILE-151,holdout,rare-return,high,4,3280300,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
