experiment_id,split,family,fuel_profile,horizon,first_seed,count,active_agents,total_agents,spot_count,role_mode,scope
SCORE-TANKER-SHARED-REFUEL-COLUMNS-157,development,rendezvous-chain,low,4,3570000,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-parent
SCORE-TANKER-SHARED-REFUEL-COLUMNS-157,development,split-duty,low,5,3570100,1,3,3,4,two-patrol-one-tanker,fresh-candidate-vs-parent
SCORE-TANKER-SHARED-REFUEL-COLUMNS-157,development,stock-cycle,low,4,3570200,1,3,3,5,two-patrol-one-tanker,fresh-candidate-vs-parent
SCORE-TANKER-SHARED-REFUEL-COLUMNS-157,development,rare-return,low,5,3570300,1,3,3,6,two-patrol-one-tanker,fresh-candidate-vs-parent
SCORE-TANKER-SHARED-REFUEL-COLUMNS-157,development,rendezvous-chain,default,5,3580000,1,3,3,4,two-patrol-one-tanker,fresh-candidate-vs-parent
SCORE-TANKER-SHARED-REFUEL-COLUMNS-157,development,split-duty,default,4,3580100,1,3,3,5,two-patrol-one-tanker,fresh-candidate-vs-parent
SCORE-TANKER-SHARED-REFUEL-COLUMNS-157,development,stock-cycle,default,5,3580200,1,3,3,6,two-patrol-one-tanker,fresh-candidate-vs-parent
SCORE-TANKER-SHARED-REFUEL-COLUMNS-157,development,rare-return,default,4,3580300,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-parent
SCORE-TANKER-SHARED-REFUEL-COLUMNS-157,development,rendezvous-chain,high,4,3590000,1,3,3,5,two-patrol-one-tanker,fresh-candidate-vs-parent
SCORE-TANKER-SHARED-REFUEL-COLUMNS-157,development,split-duty,high,5,3590100,1,3,3,6,two-patrol-one-tanker,fresh-candidate-vs-parent
SCORE-TANKER-SHARED-REFUEL-COLUMNS-157,development,stock-cycle,high,4,3590200,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-parent
SCORE-TANKER-SHARED-REFUEL-COLUMNS-157,development,rare-return,high,5,3590300,1,3,3,4,two-patrol-one-tanker,fresh-candidate-vs-parent
SCORE-TANKER-SHARED-REFUEL-COLUMNS-157,holdout,rendezvous-chain,low,5,3600000,3,3,3,4,two-patrol-one-tanker,sealed-candidate-vs-parent
SCORE-TANKER-SHARED-REFUEL-COLUMNS-157,holdout,split-duty,low,4,3600100,3,3,3,5,two-patrol-one-tanker,sealed-candidate-vs-parent
SCORE-TANKER-SHARED-REFUEL-COLUMNS-157,holdout,stock-cycle,low,5,3600200,3,3,3,6,two-patrol-one-tanker,sealed-candidate-vs-parent
SCORE-TANKER-SHARED-REFUEL-COLUMNS-157,holdout,rare-return,low,4,3600300,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-parent
SCORE-TANKER-SHARED-REFUEL-COLUMNS-157,holdout,rendezvous-chain,default,4,3610000,3,3,3,5,two-patrol-one-tanker,sealed-candidate-vs-parent
SCORE-TANKER-SHARED-REFUEL-COLUMNS-157,holdout,split-duty,default,5,3610100,3,3,3,6,two-patrol-one-tanker,sealed-candidate-vs-parent
SCORE-TANKER-SHARED-REFUEL-COLUMNS-157,holdout,stock-cycle,default,4,3610200,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-parent
SCORE-TANKER-SHARED-REFUEL-COLUMNS-157,holdout,rare-return,default,5,3610300,3,3,3,4,two-patrol-one-tanker,sealed-candidate-vs-parent
SCORE-TANKER-SHARED-REFUEL-COLUMNS-157,holdout,rendezvous-chain,high,5,3620000,3,3,3,6,two-patrol-one-tanker,sealed-candidate-vs-parent
SCORE-TANKER-SHARED-REFUEL-COLUMNS-157,holdout,split-duty,high,4,3620100,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-parent
SCORE-TANKER-SHARED-REFUEL-COLUMNS-157,holdout,stock-cycle,high,5,3620200,3,3,3,4,two-patrol-one-tanker,sealed-candidate-vs-parent
SCORE-TANKER-SHARED-REFUEL-COLUMNS-157,holdout,rare-return,high,4,3620300,3,3,3,5,two-patrol-one-tanker,sealed-candidate-vs-parent
