experiment_id,split,family,fuel_profile,first_seed,count,agent_count,spot_count,day_count,terminal_day,role_mode,scope
SCORE-TANKER-TERMINAL-ONLY-144,development,rendezvous,low,3200000,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-TERMINAL-ONLY-144,holdout,rendezvous,low,3200001,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-TERMINAL-ONLY-144,development,split-frontier,low,3200100,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-TERMINAL-ONLY-144,holdout,split-frontier,low,3200101,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-TERMINAL-ONLY-144,development,stock-contention,low,3200200,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-TERMINAL-ONLY-144,holdout,stock-contention,low,3200201,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-TERMINAL-ONLY-144,development,rare-brand,low,3200300,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-TERMINAL-ONLY-144,holdout,rare-brand,low,3200301,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-TERMINAL-ONLY-144,development,mountain-bridge,low,3200400,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-TERMINAL-ONLY-144,holdout,mountain-bridge,low,3200401,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-TERMINAL-ONLY-144,development,delayed-claim,low,3200500,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-TERMINAL-ONLY-144,holdout,delayed-claim,low,3200501,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-TERMINAL-ONLY-144,development,rendezvous,default,3210000,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-TERMINAL-ONLY-144,holdout,rendezvous,default,3210001,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-TERMINAL-ONLY-144,development,split-frontier,default,3210100,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-TERMINAL-ONLY-144,holdout,split-frontier,default,3210101,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-TERMINAL-ONLY-144,development,stock-contention,default,3210200,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-TERMINAL-ONLY-144,holdout,stock-contention,default,3210201,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-TERMINAL-ONLY-144,development,rare-brand,default,3210300,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-TERMINAL-ONLY-144,holdout,rare-brand,default,3210301,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-TERMINAL-ONLY-144,development,mountain-bridge,default,3210400,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-TERMINAL-ONLY-144,holdout,mountain-bridge,default,3210401,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-TERMINAL-ONLY-144,development,delayed-claim,default,3210500,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-TERMINAL-ONLY-144,holdout,delayed-claim,default,3210501,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-TERMINAL-ONLY-144,development,rendezvous,high,3220000,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-TERMINAL-ONLY-144,holdout,rendezvous,high,3220001,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-TERMINAL-ONLY-144,development,split-frontier,high,3220100,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-TERMINAL-ONLY-144,holdout,split-frontier,high,3220101,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-TERMINAL-ONLY-144,development,stock-contention,high,3220200,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-TERMINAL-ONLY-144,holdout,stock-contention,high,3220201,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-TERMINAL-ONLY-144,development,rare-brand,high,3220300,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-TERMINAL-ONLY-144,holdout,rare-brand,high,3220301,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-TERMINAL-ONLY-144,development,mountain-bridge,high,3220400,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-TERMINAL-ONLY-144,holdout,mountain-bridge,high,3220401,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-TERMINAL-ONLY-144,development,delayed-claim,high,3220500,1,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
SCORE-TANKER-TERMINAL-ONLY-144,holdout,delayed-claim,high,3220501,3,3,4,4,4,two-patrol-one-tanker,paired-parent-candidate
