experiment_id,split,family,fuel_profile,horizon,first_seed,count,active_agents,total_agents,spot_count,role_mode,scope
SCORE-TANKER-TRAFFIC-NEUTRAL-159,development,rendezvous-chain,low,4,3690000,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-TRAFFIC-NEUTRAL-159,development,split-duty,low,4,3690100,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-TRAFFIC-NEUTRAL-159,development,stock-cycle,low,4,3690200,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-TRAFFIC-NEUTRAL-159,development,rare-return,low,4,3690300,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-TRAFFIC-NEUTRAL-159,development,rendezvous-chain,default,4,3700000,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-TRAFFIC-NEUTRAL-159,development,split-duty,default,4,3700100,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-TRAFFIC-NEUTRAL-159,development,stock-cycle,default,4,3700200,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-TRAFFIC-NEUTRAL-159,development,rare-return,default,4,3700300,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-TRAFFIC-NEUTRAL-159,development,rendezvous-chain,high,4,3710000,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-TRAFFIC-NEUTRAL-159,development,split-duty,high,4,3710100,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-TRAFFIC-NEUTRAL-159,development,stock-cycle,high,4,3710200,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-TRAFFIC-NEUTRAL-159,development,rare-return,high,4,3710300,1,3,3,3,two-patrol-one-tanker,fresh-candidate-vs-exact
SCORE-TANKER-TRAFFIC-NEUTRAL-159,holdout,rendezvous-chain,low,4,3720000,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-TRAFFIC-NEUTRAL-159,holdout,split-duty,low,4,3720100,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-TRAFFIC-NEUTRAL-159,holdout,stock-cycle,low,4,3720200,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-TRAFFIC-NEUTRAL-159,holdout,rare-return,low,4,3720300,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-TRAFFIC-NEUTRAL-159,holdout,rendezvous-chain,default,4,3730000,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-TRAFFIC-NEUTRAL-159,holdout,split-duty,default,4,3730100,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-TRAFFIC-NEUTRAL-159,holdout,stock-cycle,default,4,3730200,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-TRAFFIC-NEUTRAL-159,holdout,rare-return,default,4,3730300,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-TRAFFIC-NEUTRAL-159,holdout,rendezvous-chain,high,4,3740000,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-TRAFFIC-NEUTRAL-159,holdout,split-duty,high,4,3740100,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-TRAFFIC-NEUTRAL-159,holdout,stock-cycle,high,4,3740200,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
SCORE-TANKER-TRAFFIC-NEUTRAL-159,holdout,rare-return,high,4,3740300,3,3,3,3,two-patrol-one-tanker,sealed-candidate-vs-exact
